Āfrika	Africa
Tronheima	Trondheim
Sēklaugi	Spermatophyte
Tomass Jangs	Thomas Young (scientist)
Daudzkāji	Myriapoda
Placentāļi	Placentalia
Kukaiņēdāji	Insectivora
Trusis	European rabbit
2. tūkstošgade	2nd millennium
1. tūkstošgade	1st millennium
Bezdelīgu piekūns	Eurasian hobby
Meža zoss	Greylag goose
Pelēkā pīle	Gadwall
Antilope	Antelope
Zaķu dzimta	Leporidae
Krastu čurkste	Sand martin
Peļu dzimta	Muridae
Longjērbīene	Longyearbyen
Jūras žagata	Eurasian oystercatcher
Dzilnveidīgie	Piciformes
Platknābis	Northern shoveler
Svīrveidīgie	Apodiformes
Orbitālā stacija	Space station
Lauku cīrulis	Eurasian skylark
Lauku zvirbulis	Eurasian tree sparrow
Hermanis Hese	Hermann Hesse
Tārtiņveidīgie	Charadriiformes
Kušānu valsts	Kushan Empire
Gleivicas incidents	Gleiwitz incident
Dzeltenā cielava	Western yellow wagtail
Centrāleiropas laiks	Central European Time
FIBA Pasaules kauss	FIBA Basketball World Cup
Pūču dzimta	True owl
Britu—amerikāņu karš	War of 1812
Grieze	Corn crake
Lauku balodis	Common wood pigeon
Kaņepītis	Common linnet
Burosa	Borås
Meža cauna	European pine marten
Mežastrazdu dzimta	Thrush (bird)
Mājas čurkste	Common house martin
Dienviddānijas reģions	Region of Southern Denmark
Ziemeļjitlandes reģions	North Denmark Region
Klāss Jans Hintelārs	Klaas-Jan Huntelaar
Ciānūdeņradis	Hydrogen cyanide
Operācija "Fall Weiss"	Fall Weiss (1939)
Vatu jūra	Wadden Sea
Ištaras vārti	Ishtar Gate
Trumse	Tromsø
Laukirbe	Grey partridge
Eirāzijas sloka	Eurasian woodcock
Prešova	Prešov
Mazais dumpis	Little bittern
Zīdaste	Bohemian waxwing
Vekše	Växjö
Sintēstatiusa	Sint Eustatius
Kvartārs	Quaternary
Cionas gudro protokoli	The Protocols of the Elders of Zion
Melnā vārna	Carrion crow
Dzeltenā stērste	Yellowhammer
Dižraibais dzenis	Great spotted woodpecker
Žokļaiņi	Gnathostomata
3. tūkstošgade	3rd millennium
Esbjerga	Esbjerg
Rusīnu valoda	Rusyn language
Madeira	Madeira
Atropīns	Atropine
Sintmārtena	Sint Maarten
Mihails Varnakovs	Mikhail Varnakov (ice hockey, born 1985)
Ondatra	Muskrat
Kontinentālās hokeja līgas Zvaigžņu spēle	Kontinental Hockey League All-Star Game
Aleksejs Murigins	Alexei Murygin
Vasīlijs Košečkins	Vasiliy Koshechkin
Amerika (nozīmju atdalīšana)	Amerika
Pļavas skābene	Sorrel
Snuķaiņi	Proboscidea
Kūzas Nikolaja universitāte	Università degli Studi Niccolò Cusano
Parastais kadiķis	Juniperus communis
Diprotodonti	Diprotodontia
Elektrostatika	Electrostatics
Džērsisitija	Jersey City, New Jersey
Kalmara	Kalmar
Dziedātājstrazds	Song thrush
Blakšu kārta	Hemiptera
Fazānu dzimta	Phasianidae
Dzegužu dzimta	Cuckoo
Šķautne	Edge (geometry)
Atomfizika	Atomic physics
Zutis	European eel
Anadira (upe)	Anadyr River
Poprada	Poprad
Nitra	Nitra
Virsotne	Vertex (geometry)
Gugatnis	Ruff
Sniedze	Snow bunting
Sabulis	Sable
Montpīljera	Montpelier, Vermont
Kajaks	Common gull
Ņižņaja Tunguska	Nizhnyaya Tunguska River
Tilburga	Tilburg
Niedru lija	Western marsh harrier
Viļuja	Vilyuy River
Viļaka	Viļaka
Cekulpīle	Tufted duck
Baltvēderis	Eurasian wigeon
Gregoriāņu dziedājums	Gregorian chant
Treska	Treska
Lāslo I Ārpāds	Ladislaus I of Hungary
Lauku piekūns	Common kestrel
Gruzijas karogs	Flag of Georgia (country)
Sirmgalvis un jūra	The Old Man and the Sea
Auglis (anatomija)	Fetus
Estešunda	Östersund
Luiss Alverto Suaress	Luis Suárez
Starpplanētu zonde	Space probe
Caunas	Marten
Zemes mākslīgais pavadonis	Satellite
Jaks	Yak
Egļu krustknābis	Red crossbill
Eiropas ūdele	European mink
Roskilde	Roskilde
Meža sesks	European polecat
Vidusjitlandes reģions	Central Denmark Region
Huaresa	Ciudad Juárez
Fon Tīzenhauzeni	Tyzenhaus
Kākaulis	Long-tailed duck
Fukuoka	Fukuoka
Mazais gulbis	Tundra swan
Sila virsis	Calluna
Svīru dzimta	Swift
Dumbrvistiņu dzimta	Rallidae
Sloku dzimta	Sandpiper
Komercija	Commerce
Brūnā čakste	Red-backed shrike
Hi-Fi	High fidelity
BMW	BMW
Palestīnas Atbrīvošanas organizācija	Palestine Liberation Organization
Dilles	Dill
Outokumpu (uzņēmums)	Outokumpu
Laionels Ričijs	Lionel Richie
Ausroņi	Eared seal
Kardināls Rišeljē	Cardinal Richelieu
Ņūtona binoms	Binomial theorem
Sējas kaņepe	Cannabis sativa
Kanādas zoss	Canada goose
Nagliņkoks	Clove
Juzefs Goslavskis	Józef Gosławski (sculptor)
Brūnkaklis	Common pochard
M (nozīmju atdalīšana)	M (disambiguation)
Feniķiešu alfabēts	Phoenician alphabet
Degunragputnu dzimta	Hornbill
Egles	Spruce
Bergena	Bergen
Jūras zīriņš	Arctic tern
Ab urbe condita	Ab urbe condita
Denijs DeVito	Danny DeVito
Pļavas ķimene	Caraway
Hērodots	Herodotus
Otello	Othello
Pelēkais zaķis	European hare
Kalašņikovs	Kalashnikov
Zobenvalis	Killer whale
Teilora Svifta	Taylor Swift
Helsingēra	Helsingør
Akmeņtārtiņš	Ruddy turnstone
Parastā zirgkastaņa	Aesculus hippocastanum
Peļņa	Profit (economics)
Alfa Romeo	Alfa Romeo
Lakšadvīpa	Lakshadweep
Sila cīrulis	Woodlark
Na-dene valodas	Na-Dene languages
Kuka Salas	Cook Islands
Martina	Martin, Slovakia
Ciems (administratīva vienība)	Selsoviet
Bardejova	Bardejov
Ūdensstrupaste	European water vole
Īlenknābju dzimta	Recurvirostridae
Skrejvaboļu dzimta	Ground beetle
Āpsis	European badger
Kaķveidīgie	Feliformia
Aston Martin	Aston Martin
Parastais biškrēsliņš	Tansy
Japāņu jūra	Sea of Japan
Plīvurpūču dzimta	Barn-owl
Vejle	Vejle
Koldinga	Kolding
Avia	Avia
Ēre	Ærø
Auto Union	Auto Union
Parastā pīpene	Leucanthemum vulgare
In the Zone	In the Zone
Randersa	Randers
Rietumfrīzu valoda	West Frisian language
Amerikas ūdele	American mink
Jive Records	Jive Records
Blaktis	Heteroptera
Lorena Očoa	Lorena Ochoa
Kaulzivis	Osteichthyes
Formula	Formula (disambiguation)
Austrumāzija	East Asia
V (nozīmju atdalīšana)	V (disambiguation)
F (nozīmju atdalīšana)	F (disambiguation)
I (nozīmju atdalīšana)	I (disambiguation)
Centrālāzija	Central Asia
H (nozīmju atdalīšana)	H (disambiguation)
E (nozīmju atdalīšana)	E (disambiguation)
Dienvidrietumāzija	Western Asia
Salavata Julajeva Sporta pils	Ice Palace Salavat Yulaev
B (nozīmju atdalīšana)	B (disambiguation)
Vācijas Nacionālā bibliotēka	German National Library
Prūsijas karaliste	Kingdom of Prussia
Vinasat-1	Vinasat-1
Ziemeļāzija	North Asia
Īves	Taxus
Akmeņu cauna	Beech marten
Pelēkais ronis	Grey seal
Lielā polārkaija	Glaucous gull
Laurāzijas placentāļi	Laurasiatheria
Ziemeļāfrika	North Africa
Dienvidu Āfrika	Southern Africa
Āfrikas placentāļi	Afrotheria
Bugatti	Bugatti
Austrumāfrika	East Africa
Suņveidīgie	Caniformia
Modern Talking	Modern Talking
W (nozīmju atdalīšana)	W (disambiguation)
Centrālā Āfrika	Central Africa
Mēlndala	Mölndal
Dienvideiropa	Southern Europe
Kungelva	Kungälv
Austrumeiropa	Eastern Europe
Atapasku valodas	Athabaskan languages
Ziemeļeiropa	Northern Europe
Rietumeiropa	Western Europe
Džeimss van Rīmsdaiks	James van Riemsdyk
Centrāleiropa	Central Europe
D (nozīmju atdalīšana)	D (disambiguation)
Afroeirāzija	Afro-Eurasia
Pernels Karls Sabens	P. K. Subban
2009. gada Pasaules čempionāts hokejā junioriem	2009 World Junior Ice Hockey Championships
Ružomberoka	Ružomberok
Kodijs Hodžsons	Cody Hodgson
Jākobs Markstrems	Jacob Markström
N (nozīmju atdalīšana)	N (disambiguation)
Bonaire, Sintēstatiusa un Saba	Caribbean Netherlands
Sanantonio "Rampage"	San Antonio Rampage
Ferrari	Ferrari
Kaiju dzimta	Gull
AC/DC	AC/DC
1981. gada Eiropas čempionāts basketbolā	EuroBasket 1981
FIAT	Fiat Automobiles
1983. gada Eiropas čempionāts basketbolā	EuroBasket 1983
Žuenvila salas	Joinville Island group
Centrālamerika	Central America
Ārstniecības lupstājs	Lovage
Sanktpēterburgas Valsts universitāte	Saint Petersburg State University
Mihails Bakuņins	Mikhail Bakunin
FN SCAR	FN SCAR
Viesnīca	Hotel
Šaka	Shaka
U (nozīmju atdalīšana)	U (disambiguation)
Mājas circenis	House cricket
Peldpīles	Anatinae
Savvaļas zirgs	Wild horse
P (nozīmju atdalīšana)	P (disambiguation)
S (nozīmju atdalīšana)	S (disambiguation)
Dadzīši	Carduelis
Dienvidu atapasku valodas	Southern Athabaskan languages
O (nozīmju atdalīšana)	O (disambiguation)
Adigu valoda	Adyghe language
Q (nozīmju atdalīšana)	Q (disambiguation)
Tlinkitu valoda	Tlingit language
Mērija Džeina Votsone	Mary Jane Watson
Afāru valoda	Afar language
Kristadelfieši	Christadelphians
ISO 3166-2:AR	ISO 3166-2:AR
Lielā smilga	Agrostis gigantea
Ekonomikas antropoloģija	Economic anthropology
Džajapura	Jayapura
Y (nozīmju atdalīšana)	Y (disambiguation)
1979. gada Eiropas čempionāts basketbolā	EuroBasket 1979
Producents	Producer
Caunu apakšdzimta	Mustelinae
Neringa	Neringa municipality
Bitča	Bytča
Bass (balss)	Bass (voice type)
Tenors	Tenor
Basketbols 2008. gada Vasaras Olimpiskajās spēlēs — Sievietes	Basketball at the 2008 Summer Olympics – Women's tournament
Basketbols 2008. gada Vasaras Olimpiskajās spēlēs — Vīrieši	Basketball at the 2008 Summer Olympics – Men's tournament
Dziedāšana	Singing
"Radīti skatuvei" sēriju uzskatījums	List of Glee episodes
Ainu valoda	Ainu language
Tunisijas futbola izlase	Tunisia national football team
What Makes You Beautiful	What Makes You Beautiful
C (nozīmju atdalīšana)	C (disambiguation)
Z (nozīmju atdalīšana)	Z (disambiguation)
Akanu valodas	Akan language
Alfonso Kuarons	Alfonso Cuarón
A (nozīmju atdalīšana)	A (disambiguation)
Džūdija Denča	Judi Dench
Turku pirts	Turkish bath
Ādolfs Eihmanis	Adolf Eichmann
Ēģiptes futbola izlase	Egypt national football team
Kosas	Equisetum
Bezdelīgas	Hirundo
Darba ekonomika	Labour economics
Kanēlis	Cinnamon
Džefersonsitija	Jefferson City, Missouri
Abduss Salams	Abdus Salam
Džeksona	Jackson, Mississippi
Ogasta	Augusta, Maine
Batonrūža	Baton Rouge, Louisiana
Magribs	Maghreb
Nožēlojamie (2012. gada filma)	Les Misérables (2012 film)
Sudrabkaija	European herring gull
Lansinga	Lansing, Michigan
Amharu valoda	Amharic
Konkorda (Ņūhempšīra)	Concord, New Hampshire
Armēņu kalendārs	Armenian calendar
Ežu dzimta	Erinaceidae
Linkolna (ASV)	Lincoln, Nebraska
Anapolisa	Annapolis, Maryland
Edijs Redmeins	Eddie Redmayne
Selerija	Celery
Zvīņspārņi	Lepidoptera
Ērnšeldsvīka	Örnsköldsvik
Izraēlas pilsētu uzskaitījums	List of cities in Israel
Paipala	Common quail
Sparģeļi	Asparagus
Kogurjo	Goguryeo
Scenārists	Screenwriter
Grāds (leņķis)	Degree (angle)
Sikspārņi	Bat
Karolīniešu valoda	Carolinian language
Pekče	Baekje
Ārstniecības kumelīte	Matricaria chamomilla
Tārtiņu dzimta	Charadriidae
Silla	Silla
Sprakšķi	Click beetle
Padomju Savienības un Sociālistiskā bloka valstu pārbēdzēju saraksts	List of Soviet and Eastern Bloc defectors
Meško II Lamberts	Mieszko II Lambert
36. gads	36
Eskorjals	El Escorial
Mati	Hair
Perimetrs	Perimeter
Stērstu dzimta	Emberizidae
Berenise Bežo	Bérénice Bejo
Mārtins	Martin
Ralfs Fainss	Ralph Fiennes
Stārķu dzimta	Stork
Austroungārija	Austria-Hungary
Springfīlda (Ilinoisa)	Springfield, Illinois
Tarnobžega	Tarnobrzeg
Sermuļi	Weasel
Koraļļpolipi	Anthozoa
Vampīra dienasgrāmatas	The Vampire Diaries
Maiju civilizācija	Maya civilization
Inku impērija	Inca Empire
Grāfiste	County
Ēstgriba	Appetite
Deivids Petreuss	David Petraeus
Kultūras antropoloģija	Cultural anthropology
Aramiešu valoda	Aramaic language
Frankforta	Frankfort, Kentucky
Garijs Kasparovs	Garry Kasparov
Gorkijas Automobiļu rūpnīca	GAZ
Profesija	Profession
Parastais anīss	Anise
Sauls	Saul
Nukleotīdi	Nucleotide
Zvirbuļi	Passer
Nikotīnamīda adenīndinukleotīds	Nicotinamide adenine dinucleotide
Šķīdumu koligatīvās īpašības	Colligative properties
Lietišķā zinātne	Applied science
Sendvičs	Sandwich
Krāpšana	Fraud
Audums	Textile
Fīldsa prēmija	Fields Medal
Sentpola	Saint Paul, Minnesota
Stilistika	Stylistics (field of study)
Python	Python (programming language)
Prece	Good (economics)
Ralfs-postītājs	Wreck-It Ralph
Islāma kalendārs	Islamic calendar
Lahti	Lahti
Stirols	Styrene
Zvirbuļu dzimta	Sparrow
Aleksis Klero	Alexis Clairaut
Alfrēds fon Šlīfens	Alfred von Schlieffen
PSRS čempionāts hokejā	Soviet Championship League
Apendikulārijas	Larvacea
Kristofers Mārlovs	Christopher Marlowe
Ignacijs Lukasevičs	Ignacy Łukasiewicz
Grāfs	Graf
Johans Štrauss III	Johann Strauss III
Milošs Zemans	Miloš Zeman
Agireiri	Akureyri
Saša Barons Koens	Sacha Baron Cohen
Latvijas PSR karogs	Flag of the Latvian Soviet Socialist Republic
Ūzedoma (pilsēta)	Usedom (town)
FK Kubaņ Krasnodara	FC Kuban Krasnodar
AT4	AT4
FK Zenit Sanktpēterburga	FC Zenit Saint Petersburg
FK Spartak Maskava	FC Spartak Moscow
FK Lokomotiv Maskava	FC Lokomotiv Moscow
Livonijas ordenis	Livonian Order
Nacionālās hokeja līgas Visu zvaigžņu spēle	National Hockey League All-Star Game
Tomāšs Rosickis	Tomáš Rosický
Kājnieki	Infantry
Atvasinājums	Derivative
Fransisko Franko	Francisco Franco
Bīskaps	Bishop
Pēters Gustavs Ležēns Dirihlē	Peter Gustav Lejeune Dirichlet
2011. gada Ēģiptes revolūcija	Egyptian Revolution of 2011
Sauli Nīniste	Sauli Niinistö
Tarja Halonena	Tarja Halonen
Sumatras degunradzis	Sumatran rhinoceros
Kārlis V	Charles V
Marti Ahtisāri	Martti Ahtisaari
Saules piramīda	Pyramid of the Sun
Bills Marijs	Bill Murray
F-15 Eagle	McDonnell Douglas F-15 Eagle
Fatālisms	Fatalism
Melnā kaste	Black box
F-35 Lightning II	Lockheed Martin F-35 Lightning II
Pirmais Čečenijas karš	First Chechen War
Britu īsspalvainais kaķis	British Shorthair
Grieķijas basketbola līga	Greek Basket League
Johans Štrauss	Johann Strauss (disambiguation)
Piti pils	Palazzo Pitti
ESCP Europe	ESCP Europe
Vilisa tornis	Willis Tower
Hyundai	Hyundai
Lietuvas—Krievijas miera līgums	Soviet–Lithuanian Peace Treaty
Septuaginta	Septuagint
Orientēšanās sports	Orienteering
Montgomeri	Montgomery, Alabama
Asamiešu valoda	Assamese language
Džūno	Juneau, Alaska
Senkaku salas	Senkaku Islands
Narcises	Narcissus (plant)
Kaaba	Kaaba
ASV Republikāniskā partija	Republican Party (United States)
Cepamais pulveris	Baking powder
Kriss Smolings	Chris Smalling
Leikēmija	Leukemia
Krili	Krill
Poso ezers	Lake Poso
Astūriešu valoda	Asturian language
Teo Volkots	Theo Walcott
Pagānisms	Paganism
Blīvums	Density
Kevins Durants	Kevin Durant
Šūnas membrāna	Cell membrane
ASV Demokrātiskā partija	Democratic Party (United States)
Somijas prezidents	President of Finland
Avāru valoda	Avar language
Maikls Keriks	Michael Carrick
Avesta (valoda)	Avestan language
Beatrikse	Beatrix of the Netherlands
Tīmekļkamera	Webcam
Škoda	Škoda Auto
Wi-Fi	Wi-Fi
Petriks Foresters	Patrick G. Forrester
Čārlzs Hobo	Charles O. Hobaugh
Šahtarska	Shakhtarsk
INTOSAI	International Organization of Supreme Audit Institutions
Cīruļu dzimta	Lark
Asuāna	Aswan
815. gads	815
816. gads	816
822. gads	822
840. gads	840
823. gads	823
811. gads	811
Erzju valoda	Erzya language
888. gads	888
Asjūta	Asyut
851. gads	851
205. gads	205
107. gads	107
103. gads	103
802. gads	802
Pirmsvasas augi	Bryophyte
Eiropas ūdrs	European otter
804. gads	804
Nīderlandes Karaliste	Kingdom of the Netherlands
119. gads	119
Čendu	Chengdu
118. gads	118
Evu valoda	Ewe language
Brīvās krišanas paātrinājums	Gravitational acceleration
801. gads	801
K (nozīmju atdalīšana)	K (disambiguation)
807. gads	807
Sfagni	Sphagnum
806. gads	806
Pienenes	Taraxacum
Boja	Buoy
Eiropas medus bite	Western honey bee
218. gads	218
Jaguar Cars	Jaguar Cars
197. gads	197
784. gads	784
Ērgļu ģints	Aquila (genus)
904. gads	904
921. gads	921
923. gads	923
1126. gads	1126
Atlantijas makrele	Atlantic mackerel
956. gads	956
952. gads	952
Medūzas	Jellyfish
70. gads	70
Pašvaldības vadītājs	Mayor
81. gads	81
Griničas laiks	Greenwich Mean Time
Sniega leopards	Snow leopard
69. gads	69
87. gads	87
65. gads	65
66. gads	66
Spējā izstrāde	Agile software development
55. gads	55
34. gads	34
Vikipēdija ķīniešu valodā	Chinese Wikipedia
44. gads	44
35. gads	35
64. gads	64
Airkāji	Pinniped
Vecās pasaules peles	Murinae
Lara Guta	Lara Gut
155. gads	155
50. gads	50
45. gads	45
49. gads	49
Ečera	Ecser
978. gads	978
Silēziešu valoda	Silesian language
787. gads	787
Džendžou	Zhengzhou
867. gads	867
865. gads	865
827. gads	827
824. gads	824
847. gads	847
883. gads	883
829. gads	829
813. gads	813
910. gads	910
850. gads	850
808. gads	808
853. gads	853
872. gads	872
873. gads	873
856. gads	856
858. gads	858
831. gads	831
857. gads	857
828. gads	828
826. gads	826
833. gads	833
848. gads	848
834. gads	834
881. gads	881
852. gads	852
803. gads	803
805. gads	805
52. gads	52
62. gads	62
795. gads	795
Avrila Laviņa	Avril Lavigne
846. gads	846
830. gads	830
404. gads	404
Prezidents	President
908. gads	908
896. gads	896
897. gads	897
927. gads	927
890. gads	890
Mihails Gorbačovs	Mikhail Gorbachev
99. gads	99
780. gads	780
Lielais piekūns	Peregrine falcon
Māte Terēze	Mother Teresa
785. gads	785
783. gads	783
Deivids Dreimans	David Draiman
Frīdrihs Moss	Friedrich Mohs
Lokotas republika	Lokot Autonomy
98. gads	98
Zīdtauriņi	Bombycidae
894. gads	894
Urbāns II	Pope Urban II
891. gads	891
892. gads	892
2013. gada Pasaules čempionāts šosejas riteņbraukšanā	2013 UCI Road World Championships
2013.—2014. gada UEFA Čempionu līgas sezona	2013–14 UEFA Champions League
821. gads	821
Tera Patrika	Tera Patrick
809. gads	809
Rūdolfs Klauziuss	Rudolf Clausius
788. gads	788
Ogists Rodēns	Auguste Rodin
Ana Ivanoviča	Ana Ivanovic
Karolīna Vozņacka	Caroline Wozniacki
Sahāras svītrainais sesks	Saharan striped polecat
Monrose	Monrose
Melānija Udēna	Melanie Oudin
Džons Isners—Nikolā Maī (2010. gada Vimbldonas čempionāts)	Isner–Mahut match at the 2010 Wimbledon Championships
Kairas muhāfaza	Cairo Governorate
Petra Kvitova	Petra Kvitová
Teniss 2012. gada Vasaras Olimpiskajās spēlēs	Tennis at the 2012 Summer Olympics
Šņibīši	Calidrid
Karakals	Caracal
Tīmekļa žurnāls	Blog
Dell	Dell
Oskars Vailds	Oscar Wilde
180. gads	180
794. gads	794
Kiribatiešu valoda	Gilbertese language
Soprāns	Soprano
106. gads	106
Ūbeles	Streptopelia
Tropu drudzis	Dengue fever
48. gads	48
Dzeloņainais velnābols	Datura stramonium
Kingstona (Norfolkas Sala)	Kingston, Norfolk Island
Alofi	Alofi, Niue
Džeimstauna	Jamestown, Saint Helena
Franču Polinēzija	French Polynesia
Ruāna	Rouen
576. gads	576
287. gads	287
Jarena	Yaren District
Virve	Rope
Norfolkas Sala	Norfolk Island
Ziemsvētku Sala	Christmas Island
Volters Kronkaits	Walter Cronkite
Florensa Grifita-Džoinere	Florence Griffith Joyner
Vilma Rūdolfa	Wilma Rudolph
Kalkulators	Calculator
Gomiņdan	Kuomintang
812. gads	812
792. gads	792
895. gads	895
790. gads	790
Elija Goldinga	Ellie Goulding
781. gads	781
Čečeni	Chechens
135. gads	135
96. gads	96
NBA Visu zvaigžņu spēles vērtīgākais spēlētājs	NBA All-Star Game Most Valuable Player Award
Papagaiļveidīgie	Parrot
Kakadū	Cockatoo
Lībijas Karaliste	Kingdom of Libya
Krakova	Kraków
Knābis	Beak
Jons Kazlausks	Jonas Kazlauskas
789. gads	789
Akustiskā ģitāra	Acoustic guitar
Skanenis	Sonorant
Sergejs Jeseņins	Sergei Yesenin
Bezprims	Bezprym
Red Bull Crashed Ice	Crashed Ice
Dveins Veids	Dwyane Wade
Baritons	Baritone
Jaroslavs Januss	Jaroslav Janus
Lerija O'Braiena čempionu balva	Larry O'Brien Championship Trophy
Īrijas Brīvvalsts	Irish Free State
Morsbija sala	Moresby Island
Frīdrihs Ketlers	Friedrich Kettler
Tītiņi	Wryneck
.net	.net
.asia	.asia
Pseudomonas aeruginosa	Pseudomonas aeruginosa
Kosmisko lidojumu biedrība	Verein für Raumschiffahrt
Anarhija	Anarchy
Maratonas kauja	Battle of Marathon
797. gads	797
Vitālijs Kļičko	Vitali Klitschko
Peldēšana (sports)	Swimming (sport)
Arābijas pussala	Arabian Peninsula
Smaidiņš	Emoticon
Evaņģēlists Marks	Mark the Evangelist
Dāvids Alaba	David Alaba
Dosts Muhammeds	Dost Mohammad Barakzai
Saskaitīšana	Addition
Liams Hemsvorts	Liam Hemsworth
Ilīrija	Illyria
Sarkanā grāmata	IUCN Red List
Auns (zodiaka zīme)	Aries (astrology)
Dzīvesveids	Lifestyle (sociology)
Superkauss	Super Bowl
Meridiāns	Meridian (geography)
Bokss	Boxing
Mārtiņa Lutera Halles-Vitenbergas universitāte	Martin Luther University of Halle-Wittenberg
.org	.org
Virgin Atlantic	Virgin Atlantic
Closure	Closure (video)
Maikls Massimino	Michael J. Massimino
Stīvens Friks	Stephen Frick
Taurīdas	Taurids
Alfonso XII Burbons	Alfonso XII of Spain
Amadeo I	Amadeo I of Spain
Linkolns (filma)	Lincoln (2012 film)
Raibeņi	Nymphalis
Die Toten Hosen	Die Toten Hosen
Nātru raibeņi	Aglais
Raibeņu cilts	Nymphalini
Modernā pieccīņa	Modern pentathlon
Nazis	Knife
Gelzenkirhenes "Schalke 04"	FC Schalke 04
Kārlis V Habsburgs	Charles V, Holy Roman Emperor
Waterloo (dziesma)	Waterloo (ABBA song)
Mertona	London Borough of Merton
Daudzpunkte	Ellipsis
Augustīns no Kenterberijas	Augustine of Canterbury
Dženifere Anistone	Jennifer Aniston
Īstie raibeņi	Nymphalinae
Jānošs I Sapojai	John Zápolya
Domēna nosaukums	Domain name
Die Ärzte	Die Ärzte
Maldīviešu valoda	Maldivian language
Venēciešu valoda	Venetian language
Malāla Jūsafzaja	Malala Yousafzai
Veru valoda	Võro language
Anglosakši	Anglo-Saxons
Zebras	Zebra
Basanīts	Basanite
Čērdža—Strosas sindroms	Churg–Strauss syndrome
Mošeja	Mosque
Blue (grupa)	Blue (English band)
Akon	Akon
Votu valoda	Votic language
Dolganu valoda	Dolgan language
Ericsson Globe	Ericsson Globe
Valērijs Ļeontjevs	Valery Leontiev
Karš par Austrijas mantojumu	War of the Austrian Succession
Skonto halle	Skonto Hall
Beludžu valoda	Balochi language
ISBN	International Standard Book Number
Dzongke	Dzongkha
Kēnigsbergas tiltu problēma	Seven Bridges of Königsberg
Korsikāņu valoda	Corsican language
125. gads	125
Baltu valodas	Baltic languages
Septiņgadu karš	Seven Years' War
Gāzi grīdā!	Top Gear (2002 TV series)
Čukču valoda	Chukchi language
Saku Suurhall	Saku Suurhall Arena
Hartwall Arena	Hartwall Arena
Bugu valoda	Buginese language
Tumšsarkanā dzeguzene	Epipactis atrorubens
Embrijs	Embryo
Armēnijas karogs	Flag of Armenia
Mākslīgā valoda	Constructed language
Nadja Komaneči	Nadia Comăneci
Fotogrāfs	Photographer
Drake (mūziķis)	Drake (rapper)
Bambaru valoda	Bambara language
Tasmana jūra	Tasman Sea
Čukotkas-Kamčatkas valodas	Chukotko-Kamchatkan languages
Ocelots	Ocelot
Čamorru valoda	Chamorro language
Lisičanska	Lysychansk
Kreolu valodas	Creole language
Berdjanska	Berdyansk
Fidžiešu valoda	Fijian language
Mogulu impērija	Mughal Empire
Sun	Sun (disambiguation)
Dravīdu valodas	Dravidian languages
Baltijas somu valodas	Finnic languages
Bila Cerkva	Bila Tserkva
Eipatorija	Yevpatoria
Čuvašu valoda	Chuvash language
Melitopole	Melitopol
Čečenu valoda	Chechen language
Krimas tatāru valoda	Crimean Tatar language
Dialekts	Dialect
Krī valoda	Cree language
Ļevs Trockis	Leon Trotsky
Algonkinu valodas	Algonquian languages
Litlroka	Little Rock, Arkansas
Starptautiskā teorētiskās un praktiskās ķīmijas savienība	International Union of Pure and Applied Chemistry
Friulu valoda	Friulian language
Ideālisms	Idealism
796. gads	796
Fulu valoda	Fula language
Kāpināšana	Exponentiation
Gagauzu valoda	Gagauz language
798. gads	798
Kardamons	Elettaria cardamomum
793. gads	793
Ežēns Delakruā	Eugène Delacroix
Hārtforda	Hartford, Connecticut
Homofobija	Homophobia
Windows Home Server	Windows Home Server
Baltais grifs	Egyptian vulture
Muzejs	Museum
Rolling Stone	Rolling Stone
Ebreju alfabēts	Hebrew alphabet
Indoirāņu valodas	Indo-Iranian languages
Dovera	Dover, Delaware
Irāņu valodas	Iranian languages
Mordvieši	Mordvins
Volodimira-Volinska	Volodymyr-Volynskyi
ISO 639	ISO 639
Javiešu valoda	Javanese language
Frīdrihs II Lielais	Frederick the Great
Kašmiriešu valoda	Kashmiri language
Karēļu valoda	Karelian language
Ižoru valoda	Ingrian language
Havajiešu valoda	Hawaiian language
Grunvaldes kauja	Battle of Grunwald
Kiņaruandas valoda	Kinyarwanda
Indoāriešu valodas	Indo-Aryan languages
Igbo valoda	Igbo language
Fermi paradokss	Fermi paradox
Slovjanska	Sloviansk
Kirundi	Kirundi
IQ	IQ (disambiguation)
Lielā panda	Giant panda
Kesha	Kesha
Polārlācis	Polar bear
Kramatorska	Kramatorsk
Irokēzu valodas	Iroquoian languages
Karas jūra	Kara Sea
Marsels Reihs-Ranickis	Marcel Reich-Ranicki
Izolēta valoda	Language isolate
Kempbela salas	Campbell Island group
Igors Bobkovs	Igor Bobkov
Kannadu valoda	Kannada language
Radiāns	Radian
1985. gada Eiropas čempionāts basketbolā	EuroBasket 1985
Kašūbu valoda	Kashubian language
PostFinance Arena	PostFinance-Arena
Lībiešu valoda	Livonian language
HC Fribourg-Gottéron	HC Fribourg-Gottéron
Mihaels Grabners	Michael Grabner
Fotoradars	Traffic enforcement camera
2005. gada Pasaules čempionāts šosejas riteņbraukšanā	2005 UCI Road World Championships
Mapuču valoda	Mapuche language
Maiju valodas	Mayan languages
Zibens	Lightning
Peloponesas karš	Peloponnesian War
Hannover 96	Hannover 96
Bērtrands Rasels	Bertrand Russell
Arābu pavasaris	Arab Spring
Plauksta	Hand
Du Fu	Du Fu
Palauiešu valoda	Palauan language
