Yn Affrick	Africa
Crouw-vlaaghey	Raceme
Foillycan yn onnane	Vanessa cardui
Billey cornel	Cornus mas
Peacag	Aglais io
Balsym buigh	Impatiens noli-tangere
Arroghyr	Araucaria araucana
Cappan y druight	Alchemilla mollis
Bossan tessen	Cruciata laevipes
Hetra-veeagheyder	Heterotroph
Steve McQueen	Steve McQueen
Blaa boalley	Erysimum cheiri
Baboon	Baboon
Faro	Faro, Portugal
Billey niau	Ailanthus altissima
Harral Godwinson	Harold Godwinson
Burleek ushtey	Veronica anagallis-aquatica
Queiggey Lion	Leinster
Billey masthag	Pistacia lentiscus
Inbhir Nis	Inverness
Amhrán na bhFiann	Amhrán na bhFiann
Ruble Belarooshagh	Belarusian ruble
Sarcopterygii	Sarcopterygii
Sheshengoaylleeaght	Sociolinguistics
Brattagh ny Shillee	Flag of Chile
Billey smeyr	Morus nigra
Billey ny coyin	Cornus sanguinea
Vervine (lus)	Verbena officinalis
Guilckagh (lus)	Ruscus aculeatus
Gorrymag chadjin	Common blue
Cadee lheeanagh	Eriophorum angustifolium
Mango	Mangifera
Queiggey Cherkasy	Cherkasy Oblast
Reeriaght ny Bretyn Mooar	Kingdom of Great Britain
Cullee choshey	Footwear
Mebyon Kernow	Mebyon Kernow
Coontae Chorkee	County Cork
Colin Firth	Colin Firth
Ard-losserey	Glechoma hederacea
Cabbag lhean	Rumex obtusifolius
Negev	Negev
Polygala vulgaris	Polygala vulgaris
Billey plaaney	Platanus
Sant-Maloù	Saint-Malo
Jessica Biel	Jessica Biel
Queiggey Kherson	Kherson Oblast
Hugh Grant	Hugh Grant
Doirrey	Derry
Kópavogur	Kópavogur
Plantago coronopus	Plantago coronopus
Bossan ingyr	Draba verna
Ard-firryn breck	Lamium maculatum
TV Breizh	TV Breizh
Buighan shellee	Monotropa hypopitys
Bossan friogganagh	Subularia aquatica
Blaa ny jeeigey	Ludwigia palustris
Burleek	Veronica beccabunga
Burley traie	Barbarea verna
Burley garroo	Arabis hirsuta
Jadowniki, Queiggey ny Polynn Beg	Jadowniki, Lesser Poland Voivodeship
Queiggey Lviv	Lviv Oblast
Queiggey Connaghtey	Connacht
Kione (grammeydys)	Subject (grammar)
Shillish	Prunus avium
Beta vulgaris	Beta vulgaris
Erysimum	Erysimum
Caayl ny marrey	Crambe maritima
Bugogue varrey	Hippophae rhamnoides
Billey shillish figgagh	Prunus padus
Beetys	Beetroot
Bananey garroo	Cooking plantain
Eudicotyledonae	Eudicots
Steornavaie	Stornoway
Plastaid	Plastid
Fort Lauderdale, Florida	Fort Lauderdale, Florida
Heertçh	St Kilda, Scotland
Co-heshaght Dellal Seyr Oarpagh	European Free Trade Association
Queiggey Vinnytsia	Vinnytsia Oblast
H. H. Asquith	H. H. Asquith
Corys parlamaidagh	Parliamentary system
Gorllewin Morgannwg	West Glamorgan
Kistershee	Cistercians
Plouganoù	Plougasnou
Lhune ooyl	Cider
Meg Ryan	Meg Ryan
Frans Hals	Frans Hals
Nahariya	Nahariya
Queiggey Volyn	Volyn Oblast
Queiggey Chernihiv	Chernihiv Oblast
Trooid-ghaalaghey	Transpiration
Modi'in Illit	Modi'in Illit
Moan	Anglesey
Zblewo	Zblewo
Eeast scowanagh	Lungfish
The Goon Show	The Goon Show
Pobblaght Hoveidjagh Hoshiallagh ny Kassaghstaan	Kazakh Soviet Socialist Republic
Penmarc'h	Penmarch
Ten Canoes	Ten Canoes
Mooir yn Amlee	Sargasso Sea
Queiggey Poltava	Poltava Oblast
Howard Phillips Lovecraft	H. P. Lovecraft
Brattagh São Tomé as Príncipe	Flag of São Tomé and Príncipe
Coontae ny Galliu	County Galway
Queiggey Kyiv	Kiev Oblast
Surransagh (grammeydys)	Patient (grammar)
Queiggey Zakarpattia	Zakarpattia Oblast
Yn Çhaayr	Chester
Queiggey Sumy	Sumy Oblast
Armys ny Polynn	Coat of arms of Poland
Taganrog	Taganrog
Lofsöngur	Lofsöngur
Queiggey Kharkiv	Kharkiv Oblast
Queiggey Dnipropetrovsk	Dnipropetrovsk Oblast
Mirril	Miracle
Pobblaght Hoveidjagh Hoshiallagh ny Moldaav	Moldavian Soviet Socialist Republic
Crackan-oaylleeaght	Dermatology
The Princess and the Frog	The Princess and the Frog
Queiggey Khmelnytskyi	Khmelnytskyi Oblast
Queiggey Zaporizhia	Zaporizhia Oblast
Ashdod	Ashdod
Coondaeghyn Hostyn	Counties of England
Queiggey Odessa	Odessa Oblast
Queiggey Luhansk	Luhansk Oblast
Lady and the Tramp	Lady and the Tramp
Arrane Ashoonagh ny h-Argenteen	Argentine National Anthem
Reeriaght ny h-Iddaal	Kingdom of Italy
Coigee	Loom
Coontae Cheeill Darey	County Kildare
Mooir Weddell	Weddell Sea
Éamon de Valera	Éamon de Valera
Queiggey Ternopil	Ternopil Oblast
Coontae Ghivlyn	County Dublin
Abbey Road	Abbey Road
Pobblaght Hoveidjagh Hoshiallagh ny Litaan	Lithuanian Soviet Socialist Republic
Eunysseyrys	Entertainment
Queiggey Rivne	Rivne Oblast
Reeriaght Unnaneysit ny Bretyn Mooar as Nerin	United Kingdom of Great Britain and Ireland
Co-vunstoo orgaanagh	Organic compound
Hemichordata	Hemichordate
Mary McAleese	Mary McAleese
Ocseed vercur	Mercury(II) oxide
Farang	Pharynx
Michael Moore	Michael Moore
Cass (grammeydys)	Object (grammar)
Aahjioogh	Trachea
Matt Damon	Matt Damon
Cleeah (cowrey)	Number sign
Cryss yn Arctagh	Arctic Circle
Cappan FIFA y Theihll 2010	2010 FIFA World Cup
Ayrneen fo-vreneenagh	Subatomic particle
Edward Carson	Edward Carson
Ocseed ollymin	Aluminium oxide
An Fál Carrach	Falcarragh
Speied	Spézet
Otradny, Queiggey Samara	Otradny, Samara Oblast
Purt Aer Ghivlyn	Dublin Airport
Queiggey Ivano-Frankivsk	Ivano-Frankivsk Oblast
Coontae Limmeragh	County Limerick
Chris Evans (aghteyr)	Chris Evans (actor)
Kentreen	Centriole
Fuzûlî	Fuzûlî
Coontae Vay Eo	County Mayo
Kristen Bell	Kristen Bell
Lisa Kudrow	Lisa Kudrow
Ooig-oaylleeaght	Speleology
Steat unnaneagh	Unitary state
Coontae Shliggee	County Sligo
Coontae Ghoon ny Ghoal	County Donegal
Coontae Ros Comain	County Roscommon
Shicklaahengoaylleeaght	Psycholinguistics
Sulfeed vercur	Mercury sulfide
Euar	Taxus baccata
Coondaeghyn Nerin	Counties of Ireland
Reeriaght Hostyn	Kingdom of England
Mwaagh slieau	Mountain hare
Heertçh (ellan)	Hirta
Corsaid	Corset
Coontae Cheeill Chennee	County Kilkenny
Vertebra	Spinal vertebra
Christopher Lee	Christopher Lee
Coondaeghyn jesh-chliaghtagh Hostyn	Ceremonial counties of England
Elmint	Element
Truru	Truro
Natalie Wood	Natalie Wood
Queiggey Kirovohrad	Kirovohrad Oblast
Keisht haaue jeeragh	Jigsaw puzzle
Teri Hatcher	Teri Hatcher
Amniota	Amniote
Queiggey Mykolaiv	Mykolaiv Oblast
Eliezer Ben-Yehuda	Eliezer Ben-Yehuda
Please Please Me	Please Please Me
Coontae yn Chlaair	County Clare
Coontae Chaarlagh	County Carlow
Sheelaght	Syllabary
With the Beatles	With the Beatles
Camphire	Henna
Çhengoaylleeaght cho-earrooagh	Computational linguistics
Coontae Cheeill Mantan	County Wicklow
Coontae ny h-Eearvee	County Westmeath
Cluain Ioraird	Clonard, County Meath
Cercopithecidae	Old World monkey
Tree cassyn	Triskelion
Coontae Lhoo	County Louth
Coontae ny Mee	County Meath
Purt Largey	Waterford
Christina Ricci	Christina Ricci
Raisoam	Rhizome
Coontae Uíbh Fhailí	County Offaly
Coontae Cherree	County Kerry
Coontae Phurt Largey	County Waterford
Coontae Logh Garman	County Wexford
Coontae Hybbyrt Aarey	County Tipperary
Jeihagane	Decagon
Cloreed potashum	Potassium chloride
Ogham	Ogham
The Aristocats	The Aristocats
Coontae Vuinaghan	County Monaghan
Kareena Kapoor	Kareena Kapoor Khan
Myn-ockle	Grammatical particle
Cowrey Israel	Emblem of Israel
Croghaneyn-crooin y Reeriaght Unnaneysit	Crown dependencies
Abjad	Abjad
Kione çheerey	Cape (geography)
Brian Cowen	Brian Cowen
Caghlaa-stayd	Phase transition
Slyst Haifa	Haifa District
Coontae yn Lhongfort	County Longford
Brattagh Vannin	Flag of the Isle of Man
Carl Larsson	Carl Larsson
Armys Nerin	Coat of arms of Ireland
Coontae yn Chavan	County Cavan
Álvaro Uribe Vélez	Álvaro Uribe
Lusitania (lhong)	RMS Lusitania
Keyllys Kerch	Kerch Strait
Ammyr Vristol	Bristol Channel
Mary Robinson	Mary Robinson
Pesmad	Parsnip
Impiraght ny Shapaan	Empire of Japan
Slyst Yiass, Israel	Southern District (Israel)
Slyst Veanagh, Israel	Central District (Israel)
Bolgan (bea-oaylleeaght)	Vesicle (biology and chemistry)
Klaksvík	Klaksvík
Coontae Aontrym	County Antrim
Vigdís Finnbogadóttir	Vigdís Finnbogadóttir
Aane ushtey	Marchantiophyta
Coontae Aberdon	Aberdeenshire
Slyst Hwoaie, Israel	Northern District (Israel)
Flagellum	Flagellum
Shliggagh	Sligo
Carboanaayt sodjum	Sodium carbonate
Blaa villish	Viola tricolor
Co-assee	Allelopathy
Çhengoaylleeaght hennaghyssagh	Historical linguistics
Christopher Plummer	Christopher Plummer
Vicente Fox	Vicente Fox
Coontae 'er Managh	County Fermanagh
Coontae yn Doon	County Down
Kentrosoom	Centrosome
Petah Tikva	Petah Tikva
Bootys	Boot
Lus lussagh	Herbaceous plant
Billey feeyney	Vitis
Bussal mwannal	Scarf
Króna Faaroagh	Faroese króna
Thunney	Tonne
Zooey Deschanel	Zooey Deschanel
The Lion King II: Simba's Pride	The Lion King II: Simba's Pride
Taoiseach	Taoiseach
Eaghtyrane ny Frank	President of France
Pobblaght Hoveidjagh Hoshiallagh ny Latvey	Latvian Soviet Socialist Republic
Coontae Ghoirrey	County Londonderry
Holon	Holon
Coontae Heer Eoin	County Tyrone
Slyst Jerusalem	Jerusalem District
Chaetognatha	Chaetognatha
Arrishaght	Mimicry
Coontae Ard Maghey	County Armagh
Far-skeealaght Ghothagh	Gothic fiction
Colloo Trajan	Trajan's Column
Ramat Gan	Ramat Gan
Slyst Tel Aviv	Tel Aviv District
Yn Çhannon	River Shannon
Carlisle	Carlisle, Cumbria
Ivan Shishkin	Ivan Shishkin
Nomenclature d'unités territoriales statistiques	Nomenclature of Territorial Units for Statistics
Charlotte's Web (reddaghey)	Charlotte's Web (disambiguation)
Sandomierz	Sandomierz
Tezuka Osamu	Osamu Tezuka
Ard Maghey	Armagh
Sienna Miller	Sienna Miller
Ardjyn Finnlynn	Regions of Finland
Emily Blunt	Emily Blunt
Slystyn Israel	Districts of Israel
Geayr salicylagh	Salicylic acid
Far-skeealaght scoaghagh	Horror fiction
Unnaneys ny h-Affrick Yiass	Union of South Africa
Gwengamp	Guingamp
Sestroretsk	Sestroretsk
Kristin Kreuk	Kristin Kreuk
Follaghey (bea-oaylleeaght)	Crypsis
Mynreayrtan	Microscope
Ronney:Coondaeghyn thallooin Wheiggey ny Sileesh Eeaghtyragh	Category:Land counties of Lower Silesian Voivodeship
Ronney:Coondaeghyn thallooin Wheiggey Lubusz	Category:Land counties of Lubusz Voivodeship
Ronney:Coondaeghyn thallooin Wheiggey Mazowsze	Category:Land counties of Masovian Voivodeship
Ronney:Coondaeghyn thallooin Wheiggey Podkarpacie	Category:Land counties of Podkarpackie Voivodeship
Ronney:Coondaeghyn thallooin Wheiggey Święty Krzyż	Category:Land counties of Świętokrzyskie Voivodeship
Ronney:Coondaeghyn thallooin Wheiggey Lublin	Category:Land counties of Lublin Voivodeship
Ronney:Coondaeghyn thallooin Wheiggey ny Polynn Beg	Category:Land counties of Lesser Poland Voivodeship
Ronney:Coondaeghyn thallooin Wheiggey Pomorze	Category:Land counties of Pomeranian Voivodeship
Ronney:Coondaeghyn thallooin Wheiggey Kujawy-Pomorze	Category:Land counties of Kuyavian-Pomeranian Voivodeship
Fo-eaddagh	Undergarment
Peso Argenteenagh	Argentine peso
Oaylleeaght lioarlann	Library science
Pobblaght Hoveidjagh Hoshiallagh ny Turkmenistaan	Turkmen Soviet Socialist Republic
Pobblaght Hoveidjagh Hoshiallagh ny Tajikistaan	Tajik Soviet Socialist Republic
Peso Shilleeagh	Chilean peso
Dooarchoo	Otter
Rishon LeZion	Rishon LeZion
Feevey	Fife
Dinan	Dinan
Shennaghys ny h-oaylleeaght as ny çhaghnoaylleeaght	History of science
Baarle Albinagh Ultagh	Ulster Scots dialects
Dollar Soorinamagh	Surinamese dollar
Queiggaghyn Nerin	Provinces of Ireland
Borðoy	Borðoy
Oirr ny Gaeil as Ellan Voaid	Argyll and Bute
Aonghas (ard coonseilagh)	Angus
Jason Segel	Jason Segel
Kastellin	Châteaulin
Enez Eusa	Ushant
Buada (slyst)	Buada District
Kingston, Ontario	Kingston, Ontario
Georges de La Tour	Georges de La Tour
Slieau Aragats	Mount Aragats
Arabee Israelagh	Arab citizens of Israel
Lodainn Heear	West Lothian
Doon Jialgan	Dundalk
Parasoa	Parazoa
Philosophiae Naturalis Principia Mathematica	Philosophiæ Naturalis Principia Mathematica
Coontae Inver Ayre Hwoaie	North Ayrshire
Lítla Dímun	Lítla Dímun
Catarrhini	Catarrhini
Mean Lodainn	Midlothian
Elvis Costello	Elvis Costello
Logh Nay	Lough Neagh
Lannraig Hwoaie	North Lanarkshire
Sir Fynwy	Monmouthshire
Sveinn Björnsson	Sveinn Björnsson
Droghad Aah	Drogheda
Ellynyn feamagh	Applied arts
Rolley ny rollageyn s'niessey da'n Chruinney	List of nearest stars and brown dwarfs
Lodainn Hiar	East Lothian
Coontae Chlagh Manu	Clackmannanshire
Pobblaght ny Polynn (1918-1939)	Second Polish Republic
Agnieszka Radwańska	Agnieszka Radwańska
P. G. Wodehouse	P. G. Wodehouse
Daryl Hannah	Daryl Hannah
Peairt as Ceann Rois	Perth and Kinross
Mark Cavendish	Mark Cavendish
Cill Rìmhinn	St Andrews
Émile Friant	Émile Friant
Ivan Kramskoi	Ivan Kramskoi
Elisabeth Shue	Elisabeth Shue
Coontae Dùn Breatainn Heear	West Dunbartonshire
Pen Sans	Penzance
Karaez-Plougêr	Carhaix-Plouguer
Inver Chleayee	Inverclyde
Çheer ny Gaeil (ard coonseilagh)	Highland (council area)
Corockle meill-eeacklagh	Labiodental consonant
Saint-Omer	Saint-Omer
Ammyr ny h-Albey	North Channel (Great Britain and Ireland)
Logh Garman	Wexford
Innys	Ennis
Coontae Inver Ayre Yiass	South Ayrshire
Coontae Inver Ayre Hiar	East Ayrshire
Ingólfr Arnarson	Ingólfr Arnarson
Lannraig Yiass	South Lanarkshire
Mooir Vretyn	St George's Channel
Pleneventer	Plaintel
Kerniliz	Kernilis
Julia Stiles	Julia Stiles
Henvig	Henvic
Eliza Dushku	Eliza Dushku
Gass (çhengoaylleeaght)	Word stem
Bazeleg-ar-Veineg	Bazouges-la-Pérouse
Niqāb	Niqāb
Breal-Moñforzh	Bréal-sous-Montfort
Brezhiel	Breteil
Elvinieg	Aubigné, Ille-et-Vilaine
Coontae Rinn Friù	Renfrewshire
Fwee (grammeydys)	Voice (grammar)
Moireibh	Moray
Creeaghyn ny h-Albey	Scottish Borders
Sulfaayt sodjum	Sodium sulfate
Coontae Dùn Breatainn Hiar	East Dunbartonshire
Coontae Rinn Friù Hiar	East Renfrewshire
Deynphobblaght ny Mongoil	Mongolian People's Republic
Roger Ebert	Roger Ebert
Thie lhionney	Pub
Liam Aiken	Liam Aiken
Yn Laplann, y Toolynn	Lapland (Sweden)
Bohemian F.C.	Bohemian F.C.
Pleneg-Nantraezh	Pléneuf-Val-André
Eaddagh-snaue	Swimsuit
Buighag	Ranunculus repens
Traie Lee	Tralee
Sir Benfro	Pembrokeshire
Baie Gdańsk	Gdańsk Bay
Caslys-skeeal eddyr-voggyl	Webcomic
Mykines, Ellanyn ny Geyrragh	Mykines
James Connolly	James Connolly
Ankiniz	Ancenis
Baen-Ballon	Bains-sur-Oust
Eaghtyrane Nerin	President of Ireland
Grímsey	Grímsey
Immanaght	Hurling
The Hunchback of Notre Dame (scannane 1996)	The Hunchback of Notre Dame (1996 film)
John Bauer	John Bauer (illustrator)
Ar Merzher-Salaun	La Martyre
Binig	Binic
Goudelin	Goudelin
Bulad-Pestivien	Bulat-Pestivien
Bronn	Broons
Çhengaghyn Celtiagh ellanagh	Insular Celtic languages
Plerin	Plérin
Kerien	Querrien
Yn Cavan	Cavan
Emilie de Ravin	Emilie de Ravin
Reeriaght Nerin	Kingdom of Ireland
Marçhan	Merchant
Çhengaghyn Celtiagh mooarheeragh	Continental Celtic languages
Molan	Moëlan-sur-Mer
Fianna Fáil	Fianna Fáil
Davy I ny h-Albey	David I of Scotland
Yn Agglish Vreck (ard coonseilagh)	Falkirk (council area)
Ivinieg	Yvignac-la-Tour
Bruz	Bruz
Bear	Bégard
Medrigneg	Merdrignac
Plouha	Plouha
Lanneur	Lanmeur
David Letterman	David Letterman
Ronney:Coontae Zielona Góra	Category:Zielona Góra County
Lhune doo	Stout
Ceredigion	Ceredigion
Grianaig	Greenock
Landnámabók	Landnámabók
Strooley (ard coonseilagh)	Stirling (council area)
Sir Gaerfyrddin	Carmarthenshire
Yn Ooive	Navan
Ásgeir Ásgeirsson	Ásgeir Ásgeirsson
Rolley Eaghtyraneyn ny Latvey	President of Latvia
Plouigno	Plouigneau
Kraozon	Crozon
Oarlagh	Inch
Penn-ar-C'hrann	Pencran
Ny h-ellynyn ooasle	Fine art
Coonseil Hreishteilaght ny h-Ashoonyn Unnaneysit	United Nations Trusteeship Council
Anabel Medina Garrigues	Anabel Medina Garrigues
Coontae Puck	Puck County
Ar Faou	Le Faou
Emilio Estevez	Emilio Estevez
Blaa ny feoghaig	Vinca
Ramla	Ramla
Argol, y Vritaan	Argol, Finistère
Tim Henman	Tim Henman
Brasparzh	Brasparts
Longwood, Ellan Helena Noo	Longwood, Saint Helena
Nicanor Duarte Frutos	Nicanor Duarte
Casper, Wyoming	Casper, Wyoming
Faaroee	Faroese people
Breeçhyn cuttagh	Shorts
Nunarput utoqqarsuanngoravit	Nunarput utoqqarsuanngoravit
Barranys	Barony
Kornilieg	Cornillé
Kallag	Callac
Ar Folgoad	Le Folgoët
Corockle lhiattagh	Lateral consonant
Perwenan	Penvénan
Hengoad	Hengoat
Gwimaeg	Guimaëc
Hilion	Hillion
Baen-Veur	Bain-de-Bretagne
Pontekroaz	Pont-Croix
Ploufragan	Ploufragan
Koedlogon	Coëtlogon, Côtes-d'Armor
Taden	Taden
Ar Faoued, Aodoù-an-Arvor	Le Faouët, Côtes-d'Armor
Sant-Denwal	Saint-Denoual
Trêgad	Tréogat
Sant-Maodan	Saint-Maudan
Lannolon	Lanvollon
Kledenn-ar-C'hab	Cléden-Cap-Sizun
Ploveilh	Plomelin
Pont-'n-Abad	Pont-l'Abbé
Plouared	Plouaret
An Dre-Nevez	Saint-Sauveur, Finistère
Eliant	Elliant
Yn Commeeys Celtiagh	Celtic League (political organisation)
Sant-Ke-Porzh-Olued	Saint-Quay-Portrieux
Plual	Pludual
Berrien, y Vritaan	Berrien, Finistère
Saozon-Sevigneg	Cesson-Sévigné
Enez-Sun	Île de Sein
Wu Cheng'en	Wu Cheng'en
Reeriaght ny h-Albey	Kingdom of Scotland
Ashoonaght	Nationality
Corockle cleaoil	Palatal consonant
Gansee	Sweater
Meeiley cherrinagh	Square mile
Mayrnt 2009	March 2009
Aonghas	Angus (disambiguation)
Mean-çheerey Heear Hostyn	West Midlands
Corockle sluggidagh	Glottal consonant
Averil 2009	April 2009
Kemperle	Quimperlé
Mean Souree 2009	June 2009
Mira Awad	Mira Awad
Ashoonyn Celtiagh	Celtic nations
Boaldyn 2009	May 2009
Kate Bosworth	Kate Bosworth
Katharine Isabelle	Katharine Isabelle
Diana Wynne Jones	Diana Wynne Jones
Autumn Reeser	Autumn Reeser
Clara Morgane	Clara Morgane
Natalie Dormer	Natalie Dormer
Kelly Preston	Kelly Preston
Kay Panabaker	Kay Panabaker
Susan Cooper	Susan Cooper
Summer Glau	Summer Glau
Akgul Amanmuradova	Akgul Amanmuradova
Jodie Sweetin	Jodie Sweetin
Urszula Radwańska	Urszula Radwańska
Yn Vritaan	Bretagne
Ágnes Szávay	Ágnes Szávay
Thora Birch	Thora Birch
Ceboidea	New World monkey
Edith Mary Pargeter	Edith Pargeter
Jerrey Geuree 2009	January 2009
Douglas Hyde	Douglas Hyde
Perroz-Gireg	Perros-Guirec
Aiwo (slyst)	Aiwo District
Nólsoy (balley)	Nólsoy
Quincas Borba	Quincas Borba
Douarnenez	Douarnenez
Lambal	Lamballe
Emilianish-Romagnolish	Emiliano-Romagnolo language
Rostrenenn	Rostrenen
Sligo Rovers F.C.	Sligo Rovers F.C.
Fouenant	Fouesnant
Brieg	Briec
Rosko	Roscoff
Bossan gorrym	Jasione montana
Fine Gael	Fine Gael
Damien Johnson	Damien Johnson
Trongisvágur	Trongisvágur
Glassag (foillycan)	Grayling (butterfly)
Oie Houney	Halloween
Corockle farangagh	Pharyngeal consonant
Lhune freillagh	Lager
Eddie Izzard	Eddie Izzard
Manninagh	Manx
Rolley corpaneyn harrish-Neptuneagh	List of trans-Neptunian objects
Kevin Phillips (bluckaneyr)	Kevin Phillips (footballer)
Olonkinbyen	Olonkinbyen
Christy Moore	Christy Moore
Colaashtey ny Trinaid, Divlyn	Trinity College, Dublin
Rolley çheeraghyn as thallooyn foddey ersooyl rere eaghtyr	List of countries and dependencies by area
An Cheathrú Mhór, Shliggagh	Carrowmore
Milagros Sequera	Milagros Sequera
Azura Skye	Azura Skye
Majandra Delfino	Majandra Delfino
Mallika Sherawat	Mallika Sherawat
Maryam d'Abo	Maryam d'Abo
Ruth Wilson (aghteyr)	Ruth Wilson
Cloreed vagnaishum	Magnesium chloride
Kollafjørður	Kollafjørður
Dún Seachlainn	Dunshaughlin
Corockle cooyl-chroymmit	Retroflex consonant
Balley Beg, Cairbre	Ballabeg
Mooinjer Veggey	Mooinjer veggey
Ard neu-chorpagh	Unincorporated area
An Seanchaisleán	Oldcastle, County Meath
Yn Euar	Newry
Slyst Kurortny	Kurortny District
Punt Yernagh	Irish pound
Algaghyn glassey	Green algae
Æðuvík	Æðuvík
Enez Vriad	Île-de-Bréhat
Rosie O'Donnell	Rosie O'Donnell
Ben shee	Banshee
Patrick Pearse	Patrick Pearse
Mur	Mûr-de-Bretagne
Monkontour	Moncontour, Côtes-d'Armor
Ewa (slyst)	Ewa District, Nauru
Alineg	Allineuc
Lesneven	Lesneven
Lokournan	Saint-Renan
Staol	Étables-sur-Mer
Pińczów	Pińczów
Oashyryn bouinagh	Pantyhose
Çhiarn Vannin	Lord of Mann
Aspickys Vannin	Diocese of Sodor and Man
Anikó Kapros	Anikó Kapros
An Leathros	Strandhill
Joseph Mary Plunkett	Joseph Plunkett
Sur-ream	Register (sociolinguistics)
Yn Awin Doo	River Dhoo
Nicki Clyne	Nicki Clyne
Caitlin Stasey	Caitlin Stasey
Meechredjuagh	Agnosticism
Marjorie Estiano	Marjorie Estiano
Enez-Vaz	Île de Batz
Celina Jaitley	Celina Jaitly
Beeal yn Aah	Ballina
Chaim Herzog	Chaim Herzog
Fala	Fala language
Sigmundur Brestisson	Sigmundur Brestisson
Ar C'hembod	Le Cambout
Lolo Ferrari	Lolo Ferrari
Cionn Mhálanna	Malin Head
Ree Vannin	King of Mann
Middletown, Orange County, York Noa	Middletown, Orange County, New York
Britaanee	Bretons
Senoturbellida	Xenoturbella
Robert Englund	Robert Englund
Alan Alda	Alan Alda
Kristján Eldjárn	Kristján Eldjárn
Gerald Durrell	Gerald Durrell
James McFadden	James McFadden
Patrick Hillery	Patrick Hillery
Billey slaanee	Senna (plant)
Saki	Saki
Hal Holbrook	Hal Holbrook
Richard Griffiths	Richard Griffiths
Donald Pleasence	Donald Pleasence
Noo Niglus (persoonid Nollick)	Santa Claus
Mozarabish	Mozarabic language
Skaer	Scaër
Hochschule für Musik Detmold	Hochschule für Musik Detmold
Aberdyfi	Aberdyfi
Pobblaght ny Taiwaan (1895)	Republic of Formosa
Çhengey ashoonagh	National language
Ennalaghey (sheeanaghtys)	Aspirated consonant
Abbyrlhit Coptagh	Coptic alphabet
Çhengoaylleeaght feamagh	Applied linguistics
Baare jiarg-buigh	Anthocharis cardamines
Seán T. O'Kelly	Seán T. O'Kelly
Kiryat Shmona	Kiryat Shmona
Laramie, Wyoming	Laramie, Wyoming
Meneng (slyst)	Meneng District
Baiti (slyst)	Baiti District
Lanniliz	Lannilis
Anibare (slyst)	Anibare District
Anabar (slyst)	Anabar District
Ijuw (slyst)	Ijuw District
Uusimaa Hiar	Eastern Uusimaa
Taole	Taulé
Kore, y Vritaan	Coray
Rosporden	Rosporden
Lanyugon	Jugon-les-Lacs
Gouenoù	Gouesnou
Kommanna	Commana
Gwerliskin	Guerlesquin
Gwiler-Leon	Guilers
Bodiliz	Bodilis
Billey kenney	Arbutus unedo
Sizun	Sizun
Landivizio	Landivisiau
Bee conning	Sonchus oleraceus
Albury, Bretyn Yiass Noa	Albury
Steve Bruce	Steve Bruce
Stephen Kelly	Stephen Kelly (footballer)
Olivier Kapo	Olivier Kapo
Radhi Jaïdi	Radhi Jaïdi
Rory Gallagher	Rory Gallagher
Liam Ridgewell	Liam Ridgewell
Jóannes Eidesgaard	Jóannes Eidesgaard
Sant-Tegoneg	Saint-Thégonnec
John Bruton	John Bruton
Charles Haughey	Charles Haughey
Rheynn (bea-oaylleeaght)	Division (botany)
Magnus VI	Magnus VI of Norway
Þingvallavatn	Þingvallavatn
Abugida	Abugida
Þórisvatn	Þórisvatn
Randolph Quirk	Randolph Quirk
Ym-ysseraght	Media (communication)
Clou iddaalagh	Italic type
Vuk	VUK
Çhengoaylleeaght heiltynagh	Theoretical linguistics
Richard Schiff	Richard Schiff
Sam Huntington	Sam Huntington
Lee Carsley	Lee Carsley
Cameron Jerome	Cameron Jerome
Erskine Hamilton Childers	Erskine Hamilton Childers
Begerel	Bécherel
Thollag 'aiyr Etruscagh	Etruscan shrew
An Arzhanaou	Arzano, Finistère
Loudieg	Loudéac
Balley Aah Luain	Athlone
Sean Faris	Sean Faris
Agglish Ashoonagh Ellanyn ny Geyrragh	Church of the Faroe Islands
Rock Springs, Wyoming	Rock Springs, Wyoming
Nibok (slyst)	Nibok District
Anetan (slyst)	Anetan District
Boe (slyst)	Boe District
John Muir	John Muir
Mehdi Nafti	Mehdi Nafti
Garry O'Connor	Garry O'Connor
Harry Lloyd	Harry Lloyd
Jake Thomas	Jake Thomas
Albert Reynolds	Albert Reynolds
Noel Dempsey	Noel Dempsey
Cearbhall Ó Dálaigh	Cearbhall Ó Dálaigh
Aer Árann	Aer Arann
Liam Cosgrave	Liam Cosgrave
Jack Lynch	Jack Lynch
John A. Costello	John A. Costello
Finn Mac Cooil	Fionn mac Cumhaill
Saum 23	Psalm 23
Tregarvan	Trégarvan
Kampal	Champeaux, Ille-et-Vilaine
Tonkedeg	Tonquédec
Ar Roc'h-Derrien	La Roche-Derrien
Kernouez	Kernouës
Gouenac'h	Gouesnac'h
Ar Forest-Fouenant	La Forêt-Fouesnant
Pleudehen	Pleudihen-sur-Rance
Ar Forest-Landerne	La Forest-Landerneau
Sant-Segal	Saint-Ségal
Lokmaria-Plouzane	Locmaria-Plouzané
Gwinevez	Plounévez-Lochrist
Terrug	Telgruc-sur-Mer
Beeal yn Aah, Coontae Vay Eo	Ballina, County Mayo
Świecie	Świecie
Thing	Thing (assembly)
Kamlez	Camlez
Korle	Corlay
Baile Iúiliáin	Julianstown
An Bóthar Buí, Coontae ny Mee	Enfield, County Meath
