Aphrika	Africa
Ch'ullku	Oxalis
Hatun ch'iwa	Veronica persica
Qallu-qallu	Plantago lanceolata
Una llunku	Symphytum officinale
K'ita waranqaysu	Ranunculus acris
P'ata qachu	Poa annua
Pantanal	Pantanal
Yuraq itapallu	Marrubium vulgare
Llaqi	Rumex crispus
Yawar ch'unqa	Oenothera
Llunku-llunku	Echium vulgare
Ñaqch'a-ñaqch'a	Erodium cicutarium
Sepp Herberger	Sepp Herberger
Kiswar	Buddleja
Kuka	Erythroxylum coca
Ayara	Chenopodium
Zvjezdan Misimović	Zvjezdan Misimović
Hugo Gunckel	Hugo Gunckel Lüer
Siemianowice Śląskie	Siemianowice Śląskie
Piekary Śląskie	Piekary Śląskie
Chicha-chicha	Carex
T'ankar	Berberis
Llikcha	Chenopodium album
Achanqaray	Begonia
Tupu-tupu	Physalis
Chiqan kimsak'uchu	Right triangle
Uquti	Rectum
Alkachu	Cinnamomum camphora
Kawallu kastaña	Aesculus
Piwin	Araucaria araucana
Patrice de Mac-Mahon	Patrice de MacMahon, Duke of Magenta
Mara yura rikch'aq ayllu	Meliaceae
Kapiqantu	Dianthus caryophyllus
Chirimuya	Annona cherimola
Sintuq	Opuntia
Mark Schwarzer	Mark Schwarzer
Universidade Federal da Bahia	Federal University of Bahia
Centro Federal de Educação Tecnológica de Minas Gerais	Centro Federal de Educação Tecnológica de Minas Gerais
Hurutmi	Heliotropium arborescens
Sisal	Sisal
Ariqipa	Arequipa
Chawpi yachay wasi	Secondary school
Qurwara	Mold
T'uyuy	Rowing (sport)
Pawyun	Baboon
Albertville	Albertville
Urqu kalistu	Eucalyptus globulus
Piminta yura	Piper (genus)
Qanchist'upsi k'uslulu	Coccinella septempunctata
Ali Daei	Ali Daei
Kinwara	Cestoda
Augusto Roa	Augusto Roa Bastos
T'ira	Twin
Walter Hallstein	Walter Hallstein
Phaqut	Bassoon
Llanthu	Shadow
Chhalla	Straw
Kina-kina	Cinchona
Phu Bai antanka pampa	Phu Bai International Airport
Qhichipra	Eyelash
Ispiha muña	Spearmint
T'anta ruraq	Baker
Rump'u qillqana	Ballpoint pen
Qhullquy	Flatulence
Chiqniy	Hatred
Piruwpa unanchan	Flag of Peru
Uyariy	Hearing
Norodom Sihanouk	Norodom Sihanouk
Sut'i musyay	Perception
Andreas Herzog	Andreas Herzog
Ch'itana mukmu	Button
Inverness	Inverness
Lakawiti	Cucurbita moschata
Valdivia	Valdivia
Kuraq umu wasi	Abbey
Pachuca de Soto	Pachuca
Piluta Hayt'ay Pachantin Kupa 1962	1962 FIFA World Cup
Aycha wayt'ana	Sarcopterygii
Huwan I	Pope John I
Chiyu	Fuchsia
Paqpa	Agave americana
Pumachu	Calamagrostis
Sapallu	Cucurbita maxima
Kururunku	Passiflora
Siwuk	Foxtail millet
Runtuma	Cyperus
Sisi p'uchqu	Formic acid
0 watakuna kñ	0s BC
Rapra	Wing
Ñawi hampikamayuq	Ophthalmology
Achala	Jewellery
T'iksu pampa	Inclined plane
Reading	Reading, Berkshire
Saynata	Mask
Javier Mascherano	Javier Mascherano
Mysłowice	Mysłowice
Pillku hamachi	Iris germanica
Griguryu X	Pope Gregory X
Sunkha klawil	Dianthus barbatus
Julie Andrews	Julie Andrews
Makabayop huk ñiqin qillqasqan	1 Maccabees
Eusébio	Eusébio
Waynilla	Vanilla (genus)
Khipa qachu	Lolium temulentum
Binidiktu VIII	Pope Benedict VIII
Purun quwi	Montane guinea pig
Llump'ay kamay	Hygiene
Tony Curtis	Tony Curtis
Cartagena (Ispaña)	Cartagena, Spain
Rikuy	Visual perception
Kiwicha	Amaranthus caudatus
Siwis	Cedrela
Pisqu ch'ullku	Oxalis corniculata
Luq'u-luq'u	Rumex obtusifolius
Paqpa yura rikch'aq ayllu	Agavoideae
Hatun rup'u	Malva alcea
Phallchacha	Gentianella
Supikiwa	Stachys arvensis
Pichiw waranqaysu	Consolida regalis
Chanqu	Ranunculus aquatilis
China kalistu	Eucalyptus camaldulensis
Wila qura	Spergula arvensis
Kapuli	Prunus virginiana
Hatun llaqi	Rumex conglomeratus
Kanuwa ruya	Cedrela odorata
Waq'akay (1960 kuyu walltay)	Psycho (1960 film)
Ezra Pound	Ezra Pound
Achira	Canna indica
Angkor	Angkor
Katari	Viperidae
Qiqiri	French horn
Binidiktu II	Pope Benedict II
Francisco Javier	Francis Xavier
San Buenaventura (Chuqiyapu)	San Buenaventura, La Paz
Kawasaki (Kanagawa)	Kawasaki, Kanagawa
Kansai suyu	Kansai region
Einar Gerhardsen	Einar Gerhardsen
Thaksin Shinawatra	Thaksin Shinawatra
Ava Gardner	Ava Gardner
Tukuy mikhuq	Omnivore
George Best	George Best
Mobutu Sese Seko	Mobutu Sese Seko
Alfredo Di Stéfano	Alfredo Di Stéfano
Vytautas Landsbergis	Vytautas Landsbergis
Ch'upu	Abscess
Llantan	Plantago
Quwapaq ñukch'u	Fuchsia boliviana
Siwikunap Apun: Iskaynintin pukara (kuyu walltay)	The Lord of the Rings: The Two Towers
Manuel Scorza	Manuel Scorza
Kankil	Popcorn
Q'utu	Goitre
Rinda	Prunus avium
K'aspicha ruwli	Quercus robur
Lien Khuong antanka pampa	Lien Khuong Airport
Rimulacha	Beta vulgaris
Mihu	Proso millet
Utsu	Chili pepper
Mérida (Mishiku)	Mérida, Yucatán
Kim Young-sam	Kim Young-sam
100 watakuna	100s (decade)
Awaymantu	Physalis peruviana
100 watakuna kñ	100s BC (decade)
Maywood (Illinois)	Maywood, Illinois
Anqas umiña	Turquoise
Lope de Vega	Lope de Vega
Teresina	Teresina
Kimsa khata sisayuq	Eudicots
Pachak Hukniyuq Dalmata Allqu	One Hundred and One Dalmatians
Huwan XXII	Pope John XXII
Mérida suyu (Winisuyla)	Mérida (state)
Machapu	Wind wave
Lluq'i Yupanki	Lloque Yupanqui
Yarqay	Hunger
Sapa Inka	Sapa Inca
Manqu Qhapaq	Manco Cápac
Sinchi Ruq'a	Sinchi Roca
Mayta Qhapaq	Mayta Cápac
Yawar apariy	Bleeding
Qhapaq Yupanki	Cápac Yupanqui
Lelystad	Lelystad
Piluta Hayt'ay Pachantin Kupa 1974	1974 FIFA World Cup
Rurana wakichi	Application software
Siwk patma	Line segment
Onega qucha	Lake Onega
Stiliyan Petrov	Stiliyan Petrov
Inti yaykuy	Sunset
San Pablo pruwinsya	San Pablo Province
Sawintu	Psidium guajava
Griguryu IV	Pope Gregory IV
Eger (Unriya)	Eger
Puka pili	Cinnamon teal
Mata unquy	Scabies
Alan García	Alan García
Iskaynintinchaki	Millipede
Wik'uña	Vicuña
Haq'arwitu	Orthoptera
Gore Vidal	Gore Vidal
Lev Yashin	Lev Yashin
Domenico Scarlatti	Domenico Scarlatti
Ñawi huñuna unquy	Conjunctivitis
Lluqlla	Landslide
Chaki muqu	Ankle
Chawpi p'unchaw	Noon
Hatun yarqay	Famine
Huq'ullu	Tadpole
Roger Milla	Roger Milla
Wichaykuna k'aspi	Ladder
Sopron	Sopron
Wawallku	Doll
Vittorio Emanuele II	Victor Emmanuel II of Italy
Huwan II	Pope John II
Lorenzo Bernardi	Lorenzo Bernardi
California, Berkeley Yachay Suntur	University of California, Berkeley
Anaphilaksiya	Anaphylaxis
Kawsaykuq tantalli ismusqa	Gangrene
Maceió	Maceió
Frank Rijkaard	Frank Rijkaard
10 watakuna kñ	10s BC
Llakikuy	Sadness
Binidiktu XI	Pope Benedict XI
Chaqrusqa	Mixture
Shaquille O'Neal	Shaquille O'Neal
Anahí	Anahí
11 ñiqin pachakwata kñ	11th century BC
Chachakumani (Chuqiyapu)	Chachakumani
Qalla iruru	Tire
Griguryu XI	Pope Gregory XI
Hulyu III	Pope Julius III
Sach'a-sach'a qulluy	Deforestation
1100 watakuna	1100s (decade)
Ratatouille (kuyuchisqa siq'isqa)	Ratatouille (film)
Nicolás de Piérola	Nicolás de Piérola
Manuel Candamo	Manuel Candamo
Unquchiq	Pathogen
Qillqa wayaqacha	Envelope
Helena (santu)	Helena (empress)
Wanay wanu	Guano
Jinan	Jinan
Éric Cantona	Eric Cantona
Cần Thơ antanka pampa	Can Tho International Airport
Hatun Concepción (Chili)	Greater Concepción
110 watakuna	110s
110 watakuna kñ	110s BC
Gabriel Batistuta	Gabriel Batistuta
Blackpool	Blackpool
Binidiktu XII	Pope Benedict XII
Takina	Melody
Trance	Trance music
T'uru	Mud
Adriano Leite Ribeiro	Adriano Leite Ribeiro
Amarumayu suyu (Winisuyla)	Amazonas, Venezuela
Maywiy	Oscillation
Bournemouth	Bournemouth
Gloucester	Gloucester
Huwan VIII	Pope John VIII
Karpa	Tent
Binidiktu V	Pope Benedict V
Asiy	Laughter
Marucha	Pupa
Kuntur	Andean condor
Wirrinatu Musuq Ispaña	New Spain
Techno	Techno
Santa Krus llaqta	Santa Cruz de la Sierra
Laura Pausini	Laura Pausini
Boca Juniors	Boca Juniors
Pedro Calderón de la Barca	Pedro Calderón de la Barca
Climinti III	Pope Clement III
Wapsi antakuyu	Steam locomotive
Pukllanamanta Willakuy	Toy Story
Diego Rivera	Diego Rivera
Qara hampikamayuq	Dermatology
Nyíregyháza	Nyíregyháza
K'askachakuq rimay	Agglutinative language
Aida	Aida
Pavel Nedvěd	Pavel Nedvěd
Ñust'awan K'ayrawan	The Princess and the Frog
Esztergom	Esztergom
Kecskemét	Kecskemét
Mullu	Coral
Inti wayta	Helianthus annuus
Kanuwa	Canoe
Bobby Charlton	Bobby Charlton
Campinas	Campinas
Griguryu XIV	Pope Gregory XIV
Marakaypu	Maracaibo
12 ñiqin pachakwata kñ	12th century BC
Aldo Moro	Aldo Moro
Middlesbrough	Middlesbrough
Ñupchu	Nectar
Nanchang	Nanchang
Paka-paka	Hide-and-seek
Yochanan Vollach	Yochanan Vollach
Georges Cuvier	Georges Cuvier
Omar Bongo	Omar Bongo
Chaki lluchk'ana	Ski
Antonio Ruiz de Montoya	Antonio Ruiz de Montoya
Pallawan Q'arachakiwan	Lady and the Tramp
Liyun V	Pope Leo V
Peterborough	Peterborough
120 watakuna kñ	120s BC
Binidiktu III	Pope Benedict III
120 watakuna	120s
Arhintinap llaqta takin	Argentine National Anthem
Astor Piazolla	Astor Piazzolla
Beşiktaş JK	Beşiktaş J.K.
Sanka	Palate
Teotiwakan	Teotihuacan
Karakum	Karakum Desert
Juan Pablo Montoya	Juan Pablo Montoya
Pichana	Broom
Aya mikhuq	Scavenger
Wanaku	Guanaco
Huwan XXI	Pope John XXI
Climinti IV	Pope Clement IV
Huwan XII	Pope John XII
Achka t'asla	Polyhedron
Awarank'u	Loom
Kastilla	Castile (historical region)
Santiago de Querétaro	Querétaro, Querétaro
George Weah	George Weah
Carlos Reutemann	Carlos Reutemann
Musyay	Sense
Veracruz	Veracruz (city)
Éamon de Valera	Éamon de Valera
Phukuna waqachina	Wind instrument
Contae Bhaile Átha Cliath	County Dublin
Amachana chuku	Helmet
Millq'uti	Esophagus
Allqumiyu yura rikch'aq ayllu	Apocynaceae
Rubén Darío	Rubén Darío
Illwa	Radius
Puka urpi	Ruddy quail-dove
Ruud Gullit	Ruud Gullit
Peba yagua rimaykuna	Peba–Yaguan languages
Changsha	Changsha
Suyt'u usiku delphin	Common bottlenose dolphin
Julio Cortázar	Julio Cortázar
Wilmington (Delaware)	Wilmington, Delaware
Mutsuhito	Emperor Meiji
Abhisit Vejjajiva	Abhisit Vejjajiva
Pedro Alvares Cabral	Pedro Álvares Cabral
Q'uruta ch'uspa	Scrotum
Madagaskar (kuyuchisqa siq'isqa)	Madagascar (2005 film)
Piqwana	Bullet
Mary McAleese	Mary McAleese
Amospa qillqasqan	Book of Amos
29 ñiqin pachakwata kñ	29th century BC
Tiksicha k'allampa	Basidiomycota
Wayaqacha k'allampa	Ascomycota
Villa Alemana	Villa Alemana
Abdiyaspa qillqasqan	Book of Obadiah
United Airlines	United Airlines
Millp'uti	Pharynx
Up	Up (2009 film)
Teresa de Jesús	Teresa of Ávila
Antawaylla antanka pampa	Andahuaylas Airport
Wikipidiya:Ruraqta hark'ay	Wikipedia:Blocking policy
13 ñiqin pachakwata kñ	13th century BC
Punku p'anqa: Wiñay kawsay	Portal:History
Hatun tunqur	Trachea
Lakhdar Belloumi	Lakhdar Belloumi
Pila	Hose
Christophe Dugarry	Christophe Dugarry
La Merced Pallan	Virgin of Mercy
San Matías (Santa Krus)	San Matías, Santa Cruz
Piluta Hayt'ay Pachantin Kupa 2010	2010 FIFA World Cup
Murucha	Spore
Amarumayu sach'a-sach'a suyu	Amazon rainforest
Pukara (sut'ichana)	Pukara (disambiguation)
Makaka	Macaque
Chiloé wat'akuna	Chiloé Archipelago
170 watakuna	170s
Maicon Douglas Sisenando	Maicon Sisenando
Kalyu qullpa	Potassium nitrate
Sankhu	Dough
Mikhap qillqasqan	Book of Micah
Rit'i suchuykachay	Snowboarding
Sololá suyu	Sololá Department
90 watakuna kñ	90s BC
Tuktunnaq sirk'ayuq	Pteridophyte
Chunka iskayniyuq uya	Dodecahedron
Ageop qillqasqan	Book of Haggai
Humu	Reason
Salsa	Sauce
Eseqyelpa qillqasqan	Book of Ezekiel
Akak'ichki	Constipation
Mapuchi	Mapuche
Maki illapapayana	Submachine gun
Ruqyay phiruru	Gramophone record
Wasa ruru rumi	Kidney stone
Paolo Rossi	Paolo Rossi
Romario	Romário
Cafú	Cafu
15 ñiqin pachakwata kñ	15th century BC
Sindikatu	Trade union
Binidiktu IX	Pope Benedict IX
Cien años de soledad	One Hundred Years of Solitude
Békéscsaba	Békéscsaba
Dyus kay	Deity
Tucupita	Tucupita
Kareem Abdul-Jabbar	Kareem Abdul-Jabbar
T'uqyay	Explosion
Waqyaykuna qillqasqa	Book of Lamentations
Bora witoto rimaykuna	Bora–Witoto languages
Yawar tikayay	Coagulation
Kawallu yallinakuy	Equestrianism
Parawayi mayu	Paraguay River
Oliver Stone	Oliver Stone
Atawallpa	Atahualpa
Ch'ultikuy	Underwater diving
Sumaqchawan Sallqawan (kuyuchisqa siq'isqa)	Beauty and the Beast (1991 film)
Binidiktu VII	Pope Benedict VII
Wank'a	Statue
Huwan XVIII	Pope John XVIII
Wilancha	Sacrifice
Nahumpa qillqasqan	Book of Nahum
Habakukpa qillqasqan	Book of Habakkuk
Sakharyap qillqasqan	Book of Zechariah
Pedro Rodríguez Ledesma	Pedro (footballer, born July 1987)
Binidiktu VI	Pope Benedict VI
Ahmed Ben Bella	Ahmed Ben Bella
Lirq'u	Strabismus
Yuyaychinkay	Syncope (medicine)
Lincoln (Lincolnshire)	Lincoln, England
Ben-Hur (1959 kuyu walltay)	Ben-Hur (1959 film)
Lilian Thuram	Lilian Thuram
Christopher Lee	Christopher Lee
Yosemite mamallaqta parki	Yosemite National Park
Wapiti	Elk
Wasi ukhu	Room
Azpeitia	Azpeitia
Garrincha	Garrincha
Mario Kempes	Mario Kempes
Dino Zoff	Dino Zoff
14 ñiqin pachakwata kñ	14th century BC
Lata phukuna waqachina	Brass instrument
Mark Spitz	Mark Spitz
Elemento	Element
Sunqup'iti nanay	Angina pectoris
Bács-Kiskun	Bács-Kiskun County
Sayri	Nicotiana tabacum
Qiru phukuna waqachina	Woodwind instrument
Szolnok	Szolnok
Mahathir bin Mohamad	Mahathir Mohamad
Suchuqrampa	Sled
Winchu	Magnetite
Kutupaksi	Cotopaxi
Darling mayu	Darling River
Genovesa wat'a	Genovesa Island
Kau-hiyun	Kaohsiung
Hampina	Patient
Ñañu tunqur	Bronchus
Qullqa	Warehouse
Huk nasyunkuna rimanakuy qhawaq	Foreign policy
Chimpapura uyayuq	Parallelepiped
Agostinho Neto	Agostinho Neto
Tirisa Lisieuxmanta	Thérèse of Lisieux
Nnamdi Azikiwe	Nnamdi Azikiwe
Contae Cheatharlach	County Carlow
Huwan XIII	Pope John XIII
Huwan XI	Pope John XI
Naha	Naha
Kuru k'arachiq	Hydrozoa
Agostino Casaroli	Agostino Casaroli
Marakaypu qucha	Lake Maracaibo
Antawakuna (kuyuchisqa siq'isqa)	Cars (film)
Surkay	Yawn
Benito Juárez	Benito Juárez
Tuwi puma	Jaguarundi
Peter Schmeichel	Peter Schmeichel
José Sócrates Carvalho Pinto de Sousa	José Sócrates
Lars Løkke Rasmussen	Lars Løkke Rasmussen
Alberto Gilardino	Alberto Gilardino
Wilt Chamberlain	Wilt Chamberlain
Janet Gaynor	Janet Gaynor
Binidiktu IV	Pope Benedict IV
Liyun VII	Pope Leo VII
Ruranakuy paqtachani	Chemical equation
Rod Stewart	Rod Stewart
Kunming	Kunming
Simi hawa tullu	Maxilla
Pura-pura qara	Malacostraca
Q'uncha	Kitchen stove
Sut'i	Meaning (linguistics)
Fabio Capello	Fabio Capello
Quchapampa	Cochabamba
Arthur Rubinstein	Arthur Rubinstein
Fahd bin Abdul-Aziz	Fahd of Saudi Arabia
Samuel Johnson	Samuel Johnson
Allpapi puquq	Tuber
Yura usa	Aphid
16 ñiqin pachakwata kñ	16th century BC
20 ñiqin pachakwata kñ	20th century BC
Tika	Adobe
130 watakuna kñ	130s BC
130 watakuna	130s
Huyi runa	Hui people
Lanzhou	Lanzhou
Franjo Tuđman	Franjo Tuđman
Alija Izetbegović	Alija Izetbegović
David Trezeguet	David Trezeguet
Oseaspa qillqasqan	Book of Hosea
Preston	Preston, Lancashire
Darijo Srna	Darijo Srna
Viña del Mar	Viña del Mar
Natriyu qullpa	Sodium nitrate
Pampa-pampa	Pampas
Mayu atuq	Maned wolf
Mamaqucha yaku	Seawater
São Bernardo do Campo	São Bernardo do Campo
Guarulhos	Guarulhos
Aya wantu	Coffin
Jorge Amado	Jorge Amado
Yura qara	Bark
Sirk'a iskuyay	Arteriosclerosis
Wiraqucha michikuna	The Aristocats
K'iri	Wound
Contae Mhuineacháin	County Monaghan
Achi Tayta iskay ñiqin piti	The Godfather Part II
Ipswich	Ipswich
Kuyuchisqa siq'isqa	Traditional animation
Wiskul	New World vulture
Turu pukllay	Bullfighting
Hastings Banda	Hastings Banda
Kaposvár	Kaposvár
Inlish pinkuyllu	Cor anglais
Miguel de Unamuno	Miguel de Unamuno
Carlos Menem	Carlos Menem
Olivia Newton-John	Olivia Newton-John
Wachachiq	Midwife
Piraña	Piranha
Khipu q'aytu	Quipu
Utuyu	Otuyo
Dennis Bergkamp	Dennis Bergkamp
Sara (sut'ichana)	Sara
Añaka	Candy
Hefei	Hefei
Maki muqu	Wrist
Wanu	Manure
Sut'u	Drop (liquid)
Isaac Albéniz	Isaac Albéniz
Hibon	Gibbon
Carmen (taki aranway)	Carmen
Juan Ponce de León	Juan Ponce de León
K'aklla tullu	Zygomatic bone
Baranya suyu	Baranya County
1780 Hatun Pillunkuy	Great Hurricane of 1780
Rafael Márquez	Rafael Márquez
Wanachay	Punishment
Rinri q'utu qumutu	Pleurotus ostreatus
Amuqlli unquy	Tonsillitis
Atam	Parasitism
Julius Nyerere	Julius Nyerere
Pirqa allallanka	Podarcis muralis
Ernesto Sabato	Ernesto Sabato
Gilbert du Motier de La Fayette	Gilbert du Motier, Marquis de Lafayette
19 ñiqin pachakwata kñ	19th century BC
Oleg Blokhin	Oleh Blokhin
Sikllalla kuyuna	Simple machine
17 ñiqin pachakwata kñ	17th century BC
Dante Gabriel Rossetti	Dante Gabriel Rossetti
Francisco de Toledo	Francisco de Toledo
Rinri uyarina	Headphones
Wikch'unayay	Nausea
Raphiwaqracha suntu	Scarabaeidae
Lionel Jospin	Lionel Jospin
Hristo Stoichkov	Hristo Stoichkov
Umberto II	Umberto II of Italy
Kenny Dalglish	Kenny Dalglish
Tim Cahill	Tim Cahill
Vestmannaeyjar	Vestmannaeyjar
Pukllanamanta Willakuy 2	Toy Story 2
Pukllanamanta Willakuy 3	Toy Story 3
Akawara	Diaper
Robert Zemeckis	Robert Zemeckis
Contae an Chabháin	County Cavan
Álvaro Uribe	Álvaro Uribe
Tikina yaku k'ikllu	Strait of Tiquina
Monsters, Inc.	Monsters, Inc.
Dunaújváros	Dunaújváros
Tatabánya	Tatabánya
Misk'i sirinka	Recorder (musical instrument)
Kawallu kallpanakuy	Horse racing
Yawar wiqi	Ochroma pyramidale
Yura pacha	Vegetation
Sasa samay	Dyspnea
Kachi qucha	Salt lake
Yant'a kuru	Phasmatodea
Lawriqucha pruwinsya	Lauricocha Province
Juan Pablo Duarte	Juan Pablo Duarte
Mary Robinson	Mary Robinson
1400 watakuna	1400s (decade)
Cruzeiro EC	Cruzeiro Esporte Clube
Tangled	Tangled
Yawirka	Cable
Madagaskar 2	Madagascar: Escape 2 Africa
Robin Gibb	Robin Gibb
140 watakuna	140s
Layqa qulluy	Witch-hunt
140 watakuna kñ	140s BC
1410 watakuna	1410s
Sophoniyaspa qillqasqan	Book of Zephaniah
Pest suyu	Pest County
Rigoberta Menchú	Rigoberta Menchú
Roy Keane	Roy Keane
Shanshu	Hoatzin
Hamchi	Bran
Silq'uy	Signature
Wayllunk'a	Swing (seat)
Michael Laudrup	Michael Laudrup
Kitakyūshū	Kitakyushu
Hampi yura	Medicinal plants
María Elena Walsh	María Elena Walsh
Chakra	Field (agriculture)
Leopoldo Lugones	Leopoldo Lugones
Bernardino Rivadavia	Bernardino Rivadavia
1430 watakuna	1430s
Giorgos Karagounis	Giorgos Karagounis
Drum'n'Bass	Drum and bass
Hermosillo	Hermosillo
Davor Šuker	Davor Šuker
Katisismu	Catechism
Awqaq pusaq	Officer (armed forces)
Wallqa	Necklace
18 ñiqin pachakwata kñ	18th century BC
Theodore Richards	Theodore William Richards
Chaqllisinchi nankay	Chemical equilibrium
Pirqa llut'ana	Mortar (masonry)
Ion Iliescu	Ion Iliescu
Patrick Kluivert	Patrick Kluivert
Tullpuna	Dye
Leonid Kravčuk	Leonid Kravchuk
Tapuy	Question
Szekszárd	Szekszárd
Pont du Gard	Pont du Gard
Salgótarján	Salgótarján
P'aqchi	Vault (architecture)
Antonio José de Sucre	Antonio José de Sucre
Ch'iqan	Diagonal
Haikou	Haikou
Mukmu	Bud
1460 watakuna	1460s
Gernika-Lumo	Guernica
Gheorghe Hagi	Gheorghe Hagi
Inuyt runa	Inuit
Franco Baresi	Franco Baresi
1470 watakuna	1470s
Yaku wapsi	Water vapor
Yaku P'asñacha (kuyuchisqa siq'isqa)	The Little Mermaid (1989 film)
Gilberto Silva	Gilberto Silva
Larry Bird	Larry Bird
1480 watakuna	1480s
Mallunwa	Cuscuta
Christopher Plummer	Christopher Plummer
Rui Costa	Rui Costa
Thasnuna	Fire extinguisher
Aragua suyu	Aragua
1490 watakuna	1490s
Hatun yachaq tantari	Supreme court
Kurku kuyuchiq	Limb (anatomy)
Misti luwichu	Gazelle
Abrus precatorius	Abrus precatorius
Qura	Herbaceous plant
Anzoátegui suyu	Anzoátegui
Chiara d'Assisi	Clare of Assisi
Fabien Barthez	Fabien Barthez
Maqchina	Surfactant
Llamk'aq	Working class
Bolívar suyu (Winisuyla)	Bolívar (state)
Miranda suyu	Miranda (state)
Karabubu suyu	Carabobo
Samana p'urucha	Pulmonary alveolus
Sheikh Mujibur Rahman	Sheikh Mujibur Rahman
Bobby Moore	Bobby Moore
T'inkisqa sanampa	Digraph (orthography)
Heves suyu	Heves County
Unquchiq qulluy	Sterilization (microbiology)
Santo André (São Paulo)	Santo André, São Paulo
Uchuy sach'a allqu	Bush dog
25 ñiqin pachakwata kñ	25th century BC
Uchpachamanta (kuyuchisqa siq'isqa)	Cinderella (1950 film)
Ch'utiy	Aggression
Chiliti mayu	Magdalena River
150 watakuna	150s
150 watakuna kñ	150s BC
Yun Bo-seon	Yun Posun
Bartolomé Esteban Murillo	Bartolomé Esteban Murillo
Phiskuna waqachina	Bowed string instrument
Yun Chi-ho	Yun Chi-ho
Giuseppe Meazza	Giuseppe Meazza
Asiwu	Ilex aquifolium
Northampton	Northampton
1520 watakuna	1520s
Guiyang	Guiyang
Pancho Villa	Pancho Villa
Awaq	Weaving
Qillqana phuru	Fountain pen
Wampurushu	Margay
1530 watakuna	1530s
Ngô Đình Diệm	Ngo Dinh Diem
Mengistu Haile Mariam	Mengistu Haile Mariam
Mayusuksu	Dipper
Waka aycha	Beef
Ñawpa pacha	Past
Ronald Koeman	Ronald Koeman
Dejan Stanković	Dejan Stanković
Chuqi challwa	Anchovy
Pampa kuntur	King vulture
Charles Barkley	Charles Barkley
Just Fontaine	Just Fontaine
Saimaa	Saimaa
Barbara Nikomidyamanta	Saint Barbara
Shannon	River Shannon
Phidiyu	Noodle
Chinchilla	Chinchilla
Juan Román Riquelme	Juan Román Riquelme
Phutuy raphi	Cotyledon
Sergio Badilla Castillo	Sergio Badilla Castillo
Érd	Érd
Chutuchupa ukucha	Cricetidae
Raúl Alfonsín	Raúl Alfonsín
Kunan pacha	Present
1550 watakuna	1550s
Ikitus	Iquitos
Inti lluqsiy	Sunrise
Kiya	Kea
Wislla	Ladle (spoon)
Phu Cat antanka pampa	Phu Cat Airport
Yura kurku	Trunk (botany)
Sayakuq rumi	Menhir
1560 watakuna	1560s
Marcel Desailly	Marcel Desailly
Carlos Saavedra	Carlos Saavedra Lamas
1570 watakuna	1570s
Fidelio	Fidelio
Iñuku hawa	Electron shell
Tiqni	Hip
Amanka	Hammock
Phutuy	Germination
Kayma	Scientific modelling
Chiwayru	Common agouti
Buenos Aires Yachay Suntur	University of Buenos Aires
Sirimavo Bandaranaike	Sirimavo Bandaranaike
Billy Joel	Billy Joel
Milan Kučan	Milan Kučan
Hurkay	Salary
Hatun chaha	Anderson's four-eyed opossum
Sinik	Common opossum
Siyantpitsu	Brown-eared woolly opossum
Kilampu	Gray four-eyed opossum
Uqi chikayu	Linnaeus's mouse opossum
Puka chikayu	Red mouse opossum
Aya chaha	White-eared opossum
Cantinflas	Cantinflas
160 watakuna kñ	160s BC
Enrique Hertzog	Enrique Hertzog
Juan José Torres	Juan José Torres
1620 watakuna	1620s
Stefan de Vrij	Stefan de Vrij
Ismael Montes Jatun Yachay Wasi Yachachiqkunaq Wakichikunankupaq	Ismael Montes Teacher Training College
Łobez	Łobez
1630 watakuna	1630s
1640 watakuna	1640s
1650 watakuna	1650s
1660 watakuna	1660s
1670 watakuna	1670s
1690 watakuna	1690s
Millmaqara	Fur
Zheng Zhi	Zheng Zhi
Morlans	Morlaàs
170 watakuna kñ	170s BC
1710 watakuna	1710s
Porvenir munisipyu	Porvenir Municipality
1720 watakuna	1720s
Mexicali	Mexicali
Huwan VI	Pope John VI
Huwan IV	Pope John IV
Huwan VII	Pope John VII
Huwan V	Pope John V
1760 watakuna	1760s
Siqsiy	Itch
Ñawiriy	Reading (process)
Warak'a	Sling (weapon)
Sach'a-sach'amanta Qillqa	The Jungle Book (1967 film)
Yakumuksi	Hydroxide
Kumamoto	Kumamoto
Taupo Qucha	Lake Taupo
Magdalena suyu	Magdalena Department
1790 watakuna	1790s
Concepción Yachay Suntur	University of Concepción
Awriq mayu	Marañón River
Biwa qucha	Lake Biwa
Morelia	Morelia
Saqina	Inheritance
Maria Gaetana Agnesi	Maria Gaetana Agnesi
180 watakuna kñ	180s BC
180 watakuna	180s
Hatun p'unchaw	Party
24 ñiqin pachakwata kñ	24th century BC
Piruwanu Puntifisya Kathuliku Yachay Suntur	Pontifical Catholic University of Peru
Juan Rulfo	Juan Rulfo
Baltra wat'a	Baltra Island
Tim Howard	Tim Howard
Quchapampa pruwinsya	Cercado Province (Cochabamba)
Aguascalientes	Aguascalientes, Aguascalientes
Deodoro da Fonseca	Deodoro da Fonseca
Waskaran rashtaq	Huascarán
Luritu suyu	Loreto Region
Swindon	Swindon
Ukayali	Ucayali River
Takupaya munisipyu (Quchapampa)	Tacopaya Municipality
Villarrica (Chili)	Villarrica, Chile
Lana Turner	Lana Turner
Vitacura	Vitacura
Yungay (Chili)	Yungay, Chile
Ñuñoa (Chili)	Ñuñoa
