ஆப்பிரிக்கா	Africa
ஐக்கிய நாடுகள் சபையின் கடல் சட்ட சாசனம்	United Nations Convention on the Law of the Sea
மாதவிடாய் குப்பி	Menstrual cup
ஜோஷ் ஹட்சர்சன்	Josh Hutcherson
தி ட்விலைட் சாகா: எக்லிப்ஸ்	The Twilight Saga: Eclipse
புதன்கிழமையில் துவங்கும் நெட்டாண்டு	Leap year starting on Wednesday
வியாழக்கிழமையில் துவங்கும் நெட்டாண்டு	Leap year starting on Thursday
தோர்	Thor (film)
திங்கட்கிழமையில் துவங்கும் நெட்டாண்டு	Leap year starting on Monday
சனிக்கிழமையில் துவங்கும் நெட்டாண்டு	Leap year starting on Saturday
செவ்வாய்க்கிழமையில் துவங்கும் நெட்டாண்டு	Leap year starting on Tuesday
வெள்ளிக்கிழமையில் துவங்கும் நெட்டாண்டு	Leap year starting on Friday
ஞாயிற்றுக்கிழமையில் துவங்கும் நெட்டாண்டு	Leap year starting on Sunday
இயேசுவின் திருமுழுக்கு	Baptism of Jesus
ஊரக மின்வசதியாக்க கழக நிறுவனம்	Rural Electrification Corporation
ஜம்னாலால் பஜாஜ்	Jamnalal Bajaj
ஜார்ஜ் எவரஸ்ட்	George Everest
சிறுமுரண் இரும்பியக் காந்தவியல்	Ferrimagnetism
டெனாலி தேசியப் பூங்கா	Denali National Park and Preserve
பேட்டன் (திரைப்படம்)	Patton (film)
பிரேசில் பேரரசு	Empire of Brazil
கப்படோசீயா, துருக்கி	Cappadocia
தற்கொலைத் தாக்குதல்	Suicide attack
புனித தோமையார் மலை	St. Thomas Mount
கெரார்டு ஆன்சன்	Gerhard Armauer Hansen
பெல் ஆய்வுக்கூடங்கள்	Bell Labs
திரித்துவப் புகழ்	Gloria Patri
அய்யாவழி	Ayyavazhi
செயற்கை மழை	Cloud seeding
முதலாம் யசீத்	Yazid I
டோக்கியோ பங்குச் சந்தை	Tokyo Stock Exchange
ரூப்பையா பண்டா	Rupiah Banda
அரையாப்பு பிளேக்கு	Bubonic plague
கெண்டி (தாவரம்)	Nepenthes
வோல்வரின் (திரைப்படம்)	X-Men Origins: Wolverine
அனெரூட் ஜக்நாத்	Anerood Jugnauth
பெர்க்சயர் ஹாதவே	Berkshire Hathaway
ஒக்ஸ்போர்ட் பல்கலைக்கழகப் பதிப்பகம்	Oxford University Press
ஈரப்பசை	Moisture
ஜார்ஜ் குர்ச்சீயெவ்	George Gurdjieff
ஈஎஸ்பிஎன்	ESPN
இருபிளவுப் பரிசோதனை	Double-slit experiment
லோறன்ஸ் லெசிக்	Lawrence Lessig
பிலிப்பு நேரி	Philip Neri
லூயிசு சதுரங்கக் காய்கள்	Lewis chessmen
சரணடைதல் (படைத்துறை)	Capitulation (surrender)
வி-22 ஒஸ்பிரே	Bell Boeing V-22 Osprey
மலமிளக்கி	Laxative
நேச நாடுகளின் சிசிலியப் படையெடுப்பு	Allied invasion of Sicily
குவியம்	Focus
சோயி டொச்	Zoey Deutch
லுண்ட் பல்கலைக்கழகம்	Lund University
மேகி கிரேஸ்	Maggie Grace
அங்குலம்	Inch
மைக்கேல் டெல்	Michael Dell
பி-1 லான்செர்	Rockwell B-1 Lancer
அலனைன்	Alanine
மொரார்ஜி தேசாய்	Morarji Desai
நிலை அலைவு	Libration
வடக்கு ஆப்பிரிக்கப் போர்முனை	North African Campaign
சிவப்பணுவாக்கி	Erythropoietin
சவ்வரிசி	Sago
அடோப் இன்டிசைன்	Adobe InDesign
அண்ட்சிரனனா	Antsiranana
அவ்ரோ வல்கன்	Avro Vulcan
வருடம் 2000 சிக்கல்	Year 2000 problem
ராகுலன்	Rāhula
கம்பம் ஆட்டம்	Pole dance
எ மேன் பார் ஆல் சீசன்ஸ் (திரைப்படம்)	A Man for All Seasons (1966 film)
பஞ்ச வண்ணக்கிளி	Macaw
ஆரஞ்சுச் சாறு	Orange juice
பலத்தீன் நாடு	State of Palestine
உடற் பயிற்சி	Physical exercise
ஐக்கிய நாடுகள் பொதுச் சபை பார்வையாளர்கள்	United Nations General Assembly observers
போரியல் மூல உபாயம்	Military strategy
மிக அருகிய இனம்	Critically endangered
அறிவியல் குறியீடு	Scientific notation
தீங்குயிர்	Pest (organism)
மொங் மக்கள்	Hmong people
முலைப்பால் வெல்லம் தாளாமை	Lactose intolerance
மார்க்கோ போலோ பாலச் சம்பவம்	Marco Polo Bridge Incident
சிறுத்தை	Leopard (disambiguation)
உள்ளீடு/வெளியீடு	Input/output
கடல் ஆமை	Sea turtle
ஜூடித் பட்லர்	Judith Butler
பொன்சி முறைமை	Ponzi scheme
துணிகர மூலதனம்	Venture capital
பேண்தகுநிலை	Sustainability
சுவர் ஓவியம்	Mural
சினை	Roe
எ வாக் டு ரிமெம்பர்	A Walk to Remember
முதனியியல்	Primatology
தலித்	Dalit
சியாரோஸ்கியூரோ	Chiaroscuro
வாஷிங்டன் பல்கலைக்கழகம்	University of Washington
கரோலின்ஸ்கா மையம்	Karolinska Institutet
சதும்	Sodam
ரெனே லென்னக்	René Laennec
நுண்கலை	Fine art
ஏ.எச்-1 கோப்ரா	Bell AH-1 Cobra
அல்ஃபாத்திஹா (குர்ஆன்)	Al-Fatiha
சூரத்துல் பகரா	Al-Baqara
ஐக்கிய நாடுகள் பொறுப்பாட்சி மன்றம்	United Nations Trusteeship Council
ஒருமுனைக் காந்தம்	Magnetic monopole
எக்ஸ்-மென் 2	X2 (film)
இரவுக் காவல் (ஓவியம்)	The Night Watch
கூகுள் நிகழ்படங்கள்	Google Videos
மேத்தியூ பிலிண்டர்சு	Matthew Flinders
ஒருமைய வலய மாதிரி	Concentric zone model
டால்ட்டனின் விதி	Dalton's law
தேன் நிலவு	Honeymoon
மிகக்குறுகிய பாதையை முதலில் திறத்தல்	Open Shortest Path First
இஸ்லாம் தேசம்	Nation of Islam
குறுக்குக் குற்றி	Railroad tie
சேத் ரோகன்	Seth Rogen
சாரோசு சுழற்சி	Saros (astronomy)
ஊடக ஓடை	Streaming media
சேவைத் தரம்	Quality of service
திரைப்பட விழா	Film festival
த பேர்சுயிட் ஒப் கப்பினஸ்	The Pursuit of Happyness
கால் பென்	Kal Penn
ஐக்கிய நாடுகள் செயலகம்	United Nations Secretariat
பாரடேயின் மின்னாற்பகுப்பு விதிகள்	Faraday's laws of electrolysis
சேவை சார் கட்டமைப்பு	Service-oriented architecture
த பிரெஞ்சு கன்னக்சன் (திரைப்படம்)	The French Connection (film)
பிறையன் சிங்கர்	Bryan Singer
எண்முறைக் கையொப்பம்	Digital signature
மனோரஞ்சிதம்	Cananga odorata
கார்த்தூசியன் சபை	Carthusians
டிரிசுதான் டா குன்ஃகா	Tristan da Cunha
அபினிப் போர்கள்	Opium Wars
கிரிஜா பிரசாத் கொய்ராலா	Girija Prasad Koirala
பெரும் அண்டக்குழைவு	Big Crunch
ஜாக்கி ராபின்சன்	Jackie Robinson
அலாப்பா	Xalapa
லோகன் லெர்மன்	Logan Lerman
டிராகூன் நடவடிக்கை	Operation Dragoon
எக்ஸ்-மென் 3	X-Men: The Last Stand
பன்சன் சுடரடுப்பு	Bunsen burner
இலங்கைச் சிங்கம்	Sri Lanka lion
நோர்த் அமெரிக்கன் எக்ஸ்-15	North American X-15
தங்கக் கன்று	Golden calf
மீயொலிவேகம்	Supersonic speed
ஜேசன் கிட்	Jason Kidd
ஜேடன் சிமித்	Jaden Smith
பிளக் காக் டவுன் (திரைப்படம்)	Black Hawk Down (film)
காட்சிக்குட்பட்ட பேரண்டம்	Observable universe
வான் போக்குவரத்து கட்டுப்பாடு	Air traffic control
பெல்லாக்ரா	Pellagra
த தின் ரெட் லைன் (1998 திரைப்படம்)	The Thin Red Line (1998 film)
இஸ்டாக்ஹோம் பல்கலைக்கழகம்	Stockholm University
முனைய துணைக்கோள் ஏவுகலம்	Polar Satellite Launch Vehicle
ஒளிர்மை	Brightness
ஓம்புயிர்	Host (biology)
இழைமணியப் பழையோள்	Mitochondrial Eve
ஆர்-7 ஏவுகணை	R-7 Semyorka
வஸ்தோக் 2	Vostok 2
செயற்கைக் கல முறை	In vitro
செமாஃபோர் (நிரலாக்கம்)	Semaphore (programming)
பெட்ரோனாஸ்	Petronas
கியோமிசு-டேரா	Kiyomizu-dera
கின்சி அளவுகோல்	Kinsey scale
மகாராட்டிரா முதலமைச்சர்களின் பட்டியல்	List of Chief Ministers of Maharashtra
அக்காக்குயில்	Common hawk-cuckoo
ஈரளவு வெளி	Two-dimensional space
மரபணுத்தொகையியல்	Genomics
பொருள் பாதுகாப்பு குறிப்பு தாள்	Material safety data sheet
ஜான் பாய்டு டன்லப்	John Boyd Dunlop
உரிமையியல் சட்டம்	Civil law (common law)
கன்னியாக்குமரி (பேரூராட்சி)	Kanyakumari
உலக பாரம்பரியக் களங்களின் பட்டியல் - ஆபத்தான நிலையிலுள்ளவை	List of World Heritage in Danger
வைக்கிங் கலை	Viking art
எட்டாம் ஸ்தேவான் (திருத்தந்தை)	Pope Stephen VIII
அம்பறாத் தூணி	Quiver
சங்கிராமர்	Guan Yu
சிறப்பு வான்சேவை	Special Air Service
தீவிர இடதுசாரிக் கூட்டணி	Syriza
தேசிய நெடுஞ்சாலை 6 (இந்தியா)	National Highway 6 (India)(old numbering)
பத்திரிக்கு மொதியானோ	Patrick Modiano
ஒட்டுதல்	Grafting
பறக்கும் வல்லுனர்	Flying ace
பன்னாட்டு டென்னிசு கூட்டமைப்பு	International Tennis Federation
ஸ்டான்லி துச்சி	Stanley Tucci
தனிமையுணர்வு	Loneliness
டக்ளஸ் டிசி-8	Douglas DC-8
ரியோ (2011 திரைப்படங்கள்)	Rio (2011 film)
பெல் எக்சு-1	Bell X-1
ஃபிஃபா கழக உலகக் கோப்பை	FIFA Club World Cup
த குயீன் (திரைப்படம்)	The Queen (film)
பங்கு சந்தை குறியீடு	Stock market index
த நோட்புக் (திரைப்படம்)	The Notebook (2004 film)
அஸ்லெப்பியசின் தடி	Rod of Asclepius
2011 கிழக்கு ஆப்பிரிக்கப் பஞ்சம்	2011 East Africa drought
கும்ரான்	Qumran
கர்தினால் (பறவை)	Cardinal (bird)
ஜோஷ் ரட்னோர்	Josh Radnor
அல்டைர் 8800	Altair 8800
அகமத்நகர்	Ahmednagar
கூகிள் காலண்டர்	Google Calendar
பெண்களின் உரிமைகள்	Women's rights
இந்திய சாம்பல் இருவாச்சி	Indian grey hornbill
இரையக உண்குழலியப் பின்னோட்ட நோய்	Gastroesophageal reflux disease
எக்ஸ்-மென்: ஃபர்ஸ்ட் கிளாஸ்	X-Men: First Class
குடியரசுக் கட்சி	Republican Party
கிரேக்க-இத்தாலியப் போர்	Greco-Italian War
குபேரன்	Kubera
ஊரடங்கு	Curfew
உறவு	Interpersonal relationship
சாலமோனின் கோவில்	Solomon's Temple
துகேலா அருவி	Tugela Falls
மரம் (தரவுக் கட்டமைப்பு)	Tree (data structure)
சலேசிய சபை	Salesians of Don Bosco
யானைப் படை	War elephant
ரெட்மாண்ட், வாசிங்டன்	Redmond, Washington
இயேசு, யூதர்களின் அரசர்	Jesus, King of the Jews
மிகையெண் (கணிதம்)	Abundant number
வெள்ளை அறிக்கை	White paper
இசுரேலிய சுதந்திரப் பிரகடனம்	Israeli Declaration of Independence
லெப்டின்	Leptin
மேலாட்சி அரசு முறை	Dominion
ஜேக்சன் ராத்போன்	Jackson Rathbone
ஹராம்	Haram
ஓட்டல் ருவாண்டா	Hotel Rwanda
மாயை	Maya (illusion)
நோக்கியா என்95	Nokia N95
அகில இந்திய முசுலிம் லீக்	All-India Muslim League
ஸ்டான்லி	Stanley
மைக்கேல் பாலின்	Michael Palin
ஜேம்ஸ்	James
சொரிமணல்	Quicksand
மரபணு தொடரிகள்	Promoter (genetics)
ஃபெண்டாஸ்டிக் ஃபோர்	Fantastic Four (2005 film)
இந்தியக் குடியியல் பணிகள்	Civil Services of India
கென்னத் அப்பெல்	Kenneth Appel
தாராசுரம்	Darasuram
தயானந்த சரசுவதி	Dayananda Saraswati
முகம்மது மசிடோ	Muhammadu Maccido
காஜல் அகர்வால்	Kajal Aggarwal
32 இருமம்	32-bit
கார்மென் லுவானா	Carmen Luvana
அர்ப்பணவாழ்வுச் சபைகள்	Institute of consecrated life
பகா எண்களின் பட்டியல்	List of prime numbers
வெற்றுக் கணம்	Empty set
பிராட்வே	Broadway
பயாஸ்	BIOS
ஊமைப்படம்	Silent film
மர்மதேசம் 2	Wrath of the Titans
நோ	Noh
இடைநிலையளவு	Median
ஃபாக்சு பீ2	FOXP2
பிஆர்சிஏ1	BRCA1
அணுக் கடிகாரம்	Atomic clock
பன்னிரண்டாம் கிரகோரி (திருத்தந்தை)	Pope Gregory XII
ஏழாம் இன்னசெண்ட் (திருத்தந்தை)	Pope Innocent VII
முதலாம் மரீனுஸ் (திருத்தந்தை)	Pope Marinus I
உரோமை (தொடர்புடைய பக்கம்)	Roma
மரியா	Mary
டாட்டா	Tata
காக்கா	Kaka
கிரேக்கம்	Greek
குடியரசு	Republic (disambiguation)
இரக்பி	Rugby
இயற்றி	Generator
பதினான்காம் யோவான் (திருத்தந்தை)	Pope John XIV
ஜான் சிமித் (தேடலறிஞர்)	John Smith (explorer)
சுண்டு விரல்	Little finger
பூட்டு	Lock (security device)
லாரன்ஸ் ஒப் அரேபியா (திரைப்படம்)	Lawrence of Arabia (film)
ஆப்பிரிக்க நாடுகளின் பட்டியல்	List of sovereign states and dependent territories in Africa
கட்டுடைய அணுக்க முறைமை	Conditional access
வாய்ஸ் ஆஃப் அமெரிக்கா	Voice of America
மதுரை	Madurai
கலி யுகம்	Kali Yuga
எலிசபெத் பிரௌனிங்	Elizabeth Barrett Browning
பணி விலங்கு	Working animal
சுவெத்லானா அலிலுயேவா	Svetlana Alliluyeva
கிரண் தேசாய்	Kiran Desai
ஸ்ரெபனி றைஸ்	Stephanie Rice
ரோஸ் பைரன்	Rose Byrne
பொருளறிவியல்	Materials science
வேக வரம்பு	Speed limits by country
இந்தியத் தேசிய நாட்காட்டி	Indian national calendar
இந்திய விண்வெளி ஆய்வு மையம்	Indian Space Research Organisation
நானமா	Musk deer
முழுக்கோப்பு	Surjective function
கயிலை மலை	Mount Kailash
சோபியா மைல்ஸ்	Sophia Myles
வியோல டேவிஸ்	Viola Davis
லில்லி காலின்ஸ்	Lily Collins
சியன்னா நகர கத்ரீன்	Catherine of Siena
சித்தார்	Sitar
மரியா பெல்லோ	Maria Bello
இவான் ரசேல் வூட்	Evan Rachel Wood
சாய் லுன்	Cai Lun
கடமான்	Sambar deer
கியூரி	Curie
முப்பரிமாண அச்சாக்கம்	3D printing
தில்லி சுல்தானகம்	Delhi Sultanate
பன்னாட்டு எடைகள் மற்றும் அளவைகள் ஆணையம்	International Bureau of Weights and Measures
எமிலி வாட்சன்	Emily Watson
ஃபெராரி (பக்கவழி நெறிப்படுத்துதல்)	Ferrari (disambiguation)
3 இடியட்சு	3 Idiots
ரீட்டா ஓறா	Rita Ora
தி அமேசிங் ஸ்பைடர் - மேன்	The Amazing Spider-Man (2012 film)
சூன் (இசைகேளி)	Zune
மேரி லூயீஸ் பார்க்கர்	Mary-Louise Parker
மக்களவை (இந்தியா)	Lok Sabha
ஜெகுவெரி	JQuery
சந்தாதாரர் அடையாளத் தொகுதிக்கூறு	Subscriber identity module
எலிசபெத் கில்லீஸ்	Elizabeth Gillies
நெல்லி பிளை	Nellie Bly
உரிமம் பற்றிய ஹெகலின் தத்துவத்தின் திறனாய்வு	Critique of Hegel's Philosophy of Right
இசுரயேல் அரசு (சமாரியா)	Kingdom of Israel (Samaria)
ஆப்கான் பெண்	Afghan Girl
மேரி அன்னிங்	Mary Anning
மிச்சிகன் பல்கலைக்கழகம்	University of Michigan
தாரிக் இப்னு சியாத்	Tariq ibn Ziyad
ஊசித்தட்டான்	Damselfly
அரோமாட்டிக் ஐதரோகார்பன்	Aromatic hydrocarbon
லே	Leh
அக்சாய் சின்	Aksai Chin
யூக்ளிடிய படிமுறைத்தீர்வு	Euclidean algorithm
எடித் கிரசான்	Édith Cresson
அண்ணா அசாரே	Anna Hazare
மான்செஸ்டர் பல்கலைக்கழகம்	University of Manchester
நிலைச் சார்பு	State function
சைலீன் வூட்லி	Shailene Woodley
மரீ கோல்வின்	Marie Colvin
மேரி பிளேர்	Mary Blair
என்கார்ட்டா கலைக்களஞ்சியம்	Encarta
ஹிரோஷிமா சமாதான நினைவகம்	Hiroshima Peace Memorial
ஒலிவியா வில்லியம்ஸ்	Olivia Williams
குளோரியா இசுடீனெம்	Gloria Steinem
வலைப் பந்தாட்டம்	Netball
உயிர்த்தோற்றவியல்	Abiogenesis
இறேந்தை	Lace
பிரான்சிசு டி சேலசு	Francis de Sales
சூறைக்குருவி	Rosy starling
சூனி	Zuni people
ஜொகூர் பாரு	Johor Bahru
ஆர்க்குட்	Orkut
ஜாக்குவஸ் மோனாட்	Jacques Monod
400 மீட்டர் தடை ஓட்டப்போட்டி	400 metres hurdles
மஞ்சள் பத்திரிகை	Yellow journalism
வெள்ளி	Silver (disambiguation)
செவீயா பெருங்கோவில்	Seville Cathedral
ஆர்க்டிக் முயல்	Arctic hare
கட்டாய உரிமம்	Compulsory license
டோரி பிளாக்	Tori Black
பதஞ்சலி	Patanjali
சிலுவைப் பாதை	Stations of the Cross
அம்பேத்கர்	B. R. Ambedkar
மும்தாசு மகால்	Mumtaz Mahal
சுவர்களுக்கு வெளியே அமைந்த புனித பவுல் பேராலயம்	Basilica of Saint Paul Outside the Walls
ஹைலி ஸ்டெயின்பீல்ட்	Hailee Steinfeld
அண்ண மெய்	Palatal consonant
சடாகோ சசாகி	Sadako Sasaki
ஹாரி பாட்டர் அன்ட் த டெத்லி ஹாலோவ்ஸ் - பாகம் 2 (திரைப்படம்)	Harry Potter and the Deathly Hallows – Part 2
புள்ளிமான்	Chital
ஒலிவர் வில்லியம்சன்	Oliver E. Williamson
சாரா கேனிங்	Sara Canning
பீடோஃபிரினே அமௌவன்சிஸ்	Paedophryne amauensis
எம்-கோட்பாடு	M-theory
சான் பிரான்சிஸ்கோ விரிகுடா	San Francisco Bay
மடகாசுக்கர் அரியோந்தி	Brookesia micra
சதுர மைல்	Square mile
ஸ்டான்லி கோஹன் (உயிர்வேதியியலாளர்)	Stanley Cohen (biochemist)
தசைநாண்	Tendon
மெட்ரிக் முறை	Metric system
ஜூன் 2007	June 2007
சக்திச் சொட்டெண்	Quantum number
மாதுரி தீட்சித்	Madhuri Dixit
மார்த்தா	Martha
பபிரூசா	Babirusa
நாவல் (மரம்)	Syzygium cumini
இணைக் கணிப்பீடு	Parallel computing
பமுக்கலெ	Pamukkale
மலை இருவாட்சி	Great hornbill
டிரான்ஸ்ஃபார்மஸ்: டார்க் ஒப் தி மூன்	Transformers: Dark of the Moon
இருமுனைப் போர்	Two-front war
தந்தை தமியான்	Father Damien
தாயாசுடீ	Peccary
காஃகுமானு	Kaʻahumanu
மேரி டயர்	Mary Dyer
செந்தலைக் கொக்கு	Red-crowned crane
பீர்க்கு	Luffa
எரிக் மாஸ்க்கின்	Eric Maskin
மிமி ரோகேர்ஸ்	Mimi Rogers
பீக்கோர்ன்	Bicorne
வெர்ஜினியா வேடு	Virginia Wade
ஸ்டார்மி டேனியல்ஸ்	Stormy Daniels
உலக புகையிலை எதிர்ப்பு நாள்	World No Tobacco Day
அடல் பிகாரி வாச்பாய்	Atal Bihari Vajpayee
மூளைக் கட்டி	Brain tumor
சாரம்	Scaffolding
மத்தேயோ ரீச்சி	Matteo Ricci
மரியா ஒசாவா	Maria Ozawa
அறிவியலுக்கான பொது நூலகம் (நிறுவனம்)	PLOS
சிடிஎம்ஏ	Code division multiple access
அண்ணீ ஹால் (திரைப்படம்)	Annie Hall
ஷேலி ஹாக்கின்ஸ் (நடிகை)	Sally Hawkins
இந்திய-பாகிஸ்தான் போர், 1965	Indo-Pakistani War of 1965
ஜூலை 2006	July 2006
கிருத்திக் ரோஷன்	Hrithik Roshan
இந்தியாவின் பொருளாதாரம்	Economy of India
மானசரோவர்	Lake Manasarovar
இரண்டாவது ஆங்கிலேய மைசூர் போர்	Second Anglo-Mysore War
சூரத்துல் ஆதியாத்தி	Al-Adiyat
ஜாமா பள்ளி, தில்லி	Jama Masjid, Delhi
சூரத்து அல்காரிஆ	Al-Qaria
வைக்கிங் திட்டம்	Viking program
சூரத்துத் தகாஸுர்	At-Takathur
சூரத்துல் அஸ்ரி	Al-Asr
ஜூலை 2007	July 2007
சூரத்துல் ஹுமசா	Al-Humaza
அக்‌ஷய் குமார்	Akshay Kumar
பெப்ரவரி 2007	February 2007
சூரத்துல் ஃபீல்	Al-Fil
மார்ச் 2009	March 2009
கேப் யோர்க் தீபகற்பம்	Cape York Peninsula
பஞ்சதந்திரம்	Panchatantra
சூரத்து குறைஷின்	Quraysh (sura)
ஸூரத்துல் மாஊன்	Al-Ma'un
திருத்தந்தை அர்பன்	Pope Urban
ஸூரத்துல் கவ்ஸர்	Al-Kawthar
ஸூரத்துல் காஃபிரூன்	Al-Kafirun
ஸூரத்துந் நஸ்ர்	An-Nasr
தேசிய சரக்குத் தானுந்து ஓட்டப்போட்டி சங்கம்	NASCAR
டேனியல் கானமென்	Daniel Kahneman
ஃபிரடரிக் கௌலாண்ட் ஹாப்கின்ஸ்	Frederick Gowland Hopkins
சாய் இங்-வென்	Tsai Ing-wen
ஸ்பென்சர் பேர்சிவல்	Spencer Perceval
நருமதை	Narmada River
மகத நாடு	Magadha
கோகிமா	Kohima
மிக்-27	Mikoyan MiG-27
வில்வம்	Aegle marmelos
பென்னி	Penny
கியூலியோ நட்டா	Giulio Natta
லெம்மிங்	Lemming
சூழலியல் அடித்தடம்	Ecological footprint
சாம்முர் அமாத்	Shammuramat
முருங்கை	Moringa oleifera
ஸூரத்துல் லஹப்	Al-Masadd
சிறீவிஜயம்	Srivijaya
முறைபிறழ்புணர்ச்சி	Adultery
ஸூரத்துல் இஃக்லாஸ்	Al-Ikhlas
டயேன் ஃபாசி	Dian Fossey
ஸூரத்துல் ஃபலக்	Al-Falaq
வெண்நுணா	Morinda citrifolia
ஸூரத்துந் நாஸ்	Al-Nas
இந்திய பொதுவுடமைக் கட்சி (மார்க்சிஸ்ட்)	Communist Party of India (Marxist)
ஹதீஸ்	Hadith
பெலிசிட்டி ஜோன்ஸ்	Felicity Jones
ஜூன்கோ டபெய்	Junko Tabei
எலிசபெத் பிளாக்வெல்	Elizabeth Blackwell
லின் மர்குலிஸ்	Lynn Margulis
மில்வினா டீன்	Millvina Dean
அல் ஐன்	Al Ain
மார்ச் 2007	March 2007
பெட்டி ஃப்ரீடன்	Betty Friedan
ஆகஸ்ட் 2007	August 2007
றாமென்	Ramen
பாசுதோரா சொலேர்	Pastora Soler
ஹிப்போவின் மோனிக்கா	Saint Monica
மரியா கொரெற்றி	Maria Goretti
அக்டோபர் 2008	October 2008
தொரீ	Torii
ஏப்ரல் 2009	April 2009
அல்லாஹ்	Allah
ஆலிசு மன்ரோ	Alice Munro
நிக்கி ரீட்	Nikki Reed
தொழுகை	Salat
பக்திவேதாந்த சுவாமி பிரபுபாதா	A. C. Bhaktivedanta Swami Prabhupada
மீயொலி நோட்டம்	Medical ultrasonography
ஹஜ்	Hajj
முழு அக எதிரொளிப்பு	Total internal reflection
சைவ சமயம்	Shaivism
எடித் எட்	Edith Head
நடுக்கோடு (வடிவவியல்)	Median (geometry)
நுட்பப் பகுப்பாய்வு	Technical analysis
பிராடுவே அரங்கு	Broadway theatre
இராவணன்	Ravana
தேவதூதர்	Angel
நவம்பர் 2007	November 2007
தாயும் சேயும் (மைக்கலாஞ்சலோ)	Pietà (Michelangelo)
லியு யங்	Liu Yang (astronaut)
படிப்பினை	Moral
சியாட்டில் சூப்பர்சானிக்ஸ்	Seattle SuperSonics
பயிர்	Crop
நெட்சுகேப் நவிகேட்டர்	Netscape Navigator
பூட்டானிய நாட்டுப்பண்	Druk tsendhen
வந்தனா சிவா	Vandana Shiva
கே. ஆர். நாராயணன்	K. R. Narayanan
நவம்பர் 2006	November 2006
மே 2008	May 2008
அமர்னா நிருபங்கள்	Amarna letters
விட்னி மலை	Mount Whitney
ஒய். ஜி. மகேந்திரன்	Y. G. Mahendra
அருணாச்சலம் முருகானந்தம்	Arunachalam Muruganantham
கரும்பலகை	Blackboard
நோக்கியா லூமியா 920	Nokia Lumia 920
ஞாயிற்றுக்கிழமையில் துவங்கும் சாதாரண ஆண்டு	Common year starting on Sunday
சனிக்கிழமையில் துவங்கும் சாதாரண ஆண்டு	Common year starting on Saturday
புதன்கிழமையில் துவங்கும் சாதாரண ஆண்டு	Common year starting on Wednesday
வெள்ளிக்கிழமையில் துவங்கும் சாதாரண ஆண்டு	Common year starting on Friday
செவ்வாய்க்கிழமையில் துவங்கும் சாதாரண ஆண்டு	Common year starting on Tuesday
திங்கட்கிழமையில் துவங்கும் சாதாரண ஆண்டு	Common year starting on Monday
வியாழக்கிழமையில் துவங்கும் சாதாரண ஆண்டு	Common year starting on Thursday
விடாய்க்கால அணையாடை	Sanitary napkin
கெல்லன் லூட்ஸ்	Kellan Lutz
சாதாரண ஆண்டு	Common year
ஜூன் 2009	June 2009
ஏப்ரல் 2007	April 2007
மே 2007	May 2007
ரொனால்ட் ஜார்ஜ் விரேஃபோர்ட் நோர்ரிஷ்	Ronald George Wreyford Norrish
மார்கரெட் மரி அலக்கோக்	Margaret Mary Alacoque
பரத்பூர் தேசியப் பூங்கா	Keoladeo National Park
சத்திரபதி சிவாசி தொடருந்து நிலையம்	Chhatrapati Shivaji Terminus
நெருஞ்சி	Tribulus terrestris
ஏழாம் ஸ்தேவான் (திருத்தந்தை)	Pope Stephen VII
யூக்ளினா	Euglena
கேம் ஜிகாண்டே	Cam Gigandet
அதர்வண வேதம்	Atharvaveda
சிமோன் சைமன்சு	Simone Simons
மறுமலர்ச்சிக் கட்டிடக்கலை	Renaissance architecture
சூறாவளி குஸ்டாவ்	Hurricane Gustav
எரி சாம்பல்	Fly ash
நீல வாழை	Blue Banana
பாண்டவர்	Pandava
சாம வேதம்	Samaveda
இடை	Waist
அமிதாப புத்தர்	Amitābha
பெப்ரவரி 2010	February 2010
ஏப்ரல் 2008	April 2008
நிக்கோலா பெல்ட்ஸ்	Nicola Peltz
சனவரி 2010	January 2010
மாயா ருடால்ப்	Maya Rudolph
லீ யோங்-அய் (நடிகை)	Lee Young-ae
ரெபெக்கா வெஸ்ட்	Rebecca West
அக்டோபர் 2007	October 2007
ஜூலை 2009	July 2009
மே 2009	May 2009
நவம்பர் 2009	November 2009
நவம்பர் 2008	November 2008
குறிச் சார்பு	Sign function
சிக்ஸ் சிக்மா	Six Sigma
ஜூன் 2006	June 2006
மார்ட்டி (திரைப்படம்)	Marty (film)
த லாஸ்ட் வீக்கென்ட் (திரைப்படம்)	The Lost Weekend (film)
பெர்னார்டோ ஊசே	Bernardo Houssay
எச். ரைடர் அக்கார்டு	H. Rider Haggard
ஆர்.என்.ஏ முதிர்வாக்கம்	RNA splicing
சனவரி 2009	January 2009
தனுசு எ*	Sagittarius A*
சீலாந்திய மொழி	Zeelandic
பார்பரா மோரி	Bárbara Mori
ஊழிநாள் கடிகாரம்	Doomsday Clock
சூன் 2010	June 2010
நுட்பியல் ஒற்றைப்புள்ளி	Technological singularity
சுரேந்திரநகர் மாவட்டம்	Surendranagar district
நரசிம்மர்	Narasimha
ஆஸ் யூ லைக் இட்	As You Like It
சேமிப்பு பரப்பு வலையமைப்பு	Storage area network
கூட்டுத்துவம்	Collectivism
சோலாப்பூர்	Solapur
கல்பனா சாவ்லா	Kalpana Chawla
படத்தொகுப்பு	Film editing
ஏழு அரசுகள் (இங்கிலாந்து)	Heptarchy
மின்னசொட்டா பல்கலைக்கழகம்	University of Minnesota
