ئافرىقا	Africa
رىچارد نىكسون	Richard Nixon
قورساق قىسم	Abdomen
داۋجياۋ دىنى	Taoism
سوپىزم (تەسەۋۋۇپ)	Sufism
ۋېنا تومۇرى	Vein
بېنگال تىلى	Bengali language
تىل	Tongue
پانكرېئاتىت	Pancreas
بويۇن	Neck
ئېغىز بوشلۇقى	Mouth
بوغۇز	Larynx
فالكلاند تاقىم ئاراللىرى	Falkland Islands
سازاڭسىمان ئۆسۈكچە	Vermiform appendix
ئېلىزابېت II	Elizabeth II
تاڭ سۇلالىسى	Tang dynasty
كېننېدى	John F. Kennedy
تاڭ تەيزوڭ	Emperor Taizong of Tang
بالزاك	Honoré de Balzac
مىڭ سۇلالىسى	Ming dynasty
جۇ يۈەنجاڭ	Hongwu Emperor
رېگان	Ronald Reagan
زۇلۇچە	Zulu language
زازا تىلى	Zazaki language
پلازما	Plasma (physics)
رىم گىلادىئاتورلار مەيدانى	Colosseum
Saragossa	Zaragoza
Bélfast	Belfast
ئېلېمېنتلارنىڭ دەۋرىي جەەدۋىلى	Periodic table
قۇرۇق ئۈزۈم	Grape
ھەسەل	Honey
شېكەر	Sugar
روبوت	Robot
ماشىنىسازلىق	Machine
ئايلىنىش سىستېمىسى	Circulatory system
ئىچكى ئاجراتما سىستېمىسى	Endocrine system
كىسلاتا	Acid
سارايېۋو	Sarajevo
تۇز	Salt
فۇنكسىيە	Function (mathematics)
مولېكۇلا	Molecule
ئېنېرگىيە	Energy
ئىنفرا قىزىل نۇر	Infrared
ماسسا	Mass
مېتال	Metal
پولات	Steel
نانو تېخنىكىسى	Nanotechnology
ئەينەك	Glass
ۋاكۇئۇم	Vacuum
ئېلېكترون ئىلمى	Electronics
.توك (توك ئېقىمى)	Electric current
ئىككى پۇتلۇق لامپا	Diode
ئامېرىكىغا قاراشلىق ۋىرگىن تاقىم ئاراللىرى	United States Virgin Islands
شېنياڭ شەھىرى	Shenyang
چۇڭچىڭ شەھىرى	Chongqing
تيەنجىن شەھىرى	Tianjin
Lahor	Lahore
ۋۇخەن شەھىرى	Wuhan
نۆۋەتتىكى ھادىسە	List of sovereign states
ناگويا	Nagoya
تاش قورال دەۋرى	Stone Age
ئېيىق	Bear
فوتوسىنتېز رولى	Photosynthesis
برېتون تىلى	Breton language
پىرېنېي تاغلىرى	Pyrenees
Détroyt	Detroit
بۇرج دۇبەي	Burj Khalifa
Sedichin Sépili	Great Wall of China
ئاياسوڧيا	Hagia Sophia
ئابباسىيلار خاندانلىقى	Abbasid Caliphate
سەلىپنىڭ شەرققە يۈرۈش قىلىشى	Crusades
موڭغۇل ئىمپېرىيىسى	Mongol Empire
ئوسمان ئىمپېرىيىسى	Ottoman Empire
ئىسپانىيە-ئامېرىكا ئۇرۇشى	Spanish–American War
مىللى دارامەت	Gross domestic product
ئېلېكتر	Electricity
يادرو ئېنېرگىيىسى	Nuclear power
ھور ماشىنىسى	Steam engine
Antwérp	Antwerp
باش سۆڭىكى	Skull
ئانار	Pomegranate
ئاپېلسىن	Orange (fruit)
دۇنيا تىلى	Romansh language
جۇاڭزۇ تىلى	Zhuang languages
شىبە تىلى	Xibe language
ئۇيغۇر تىلى	Uyghur language
سىنگال تىلى	Sinhala language
ناخۇئاتل تىلى	Nahuatl
مونتسەررات	Montserrat
خارۋارد ئۇنىۋېرسىتېتى	Harvard University
Pisa	Pisa
باشقۇرتچە	Bashkir language
قېلىپ:Location map Earth	Module talk:Location map/data/Earth/attribution
باغلانغان ئۆردەك	Le Canard enchaîné
ئەرەب تىلى	Arabic language
كيۇسيۇ ئارىلى	Kyushu
خونسيو ئارىلى	Honshu
شىكوكۇ	Shikoku
كورسىكا ئارىلى	Corsica
ئاڧرىقانچە	Afrikaans
بۆرە بورسۇق	Wolverine
ئاۋمېن	Macau
خۇ جىنتاۋ	Hu Jintao
شى جىنپىڭ	Xi Jinping
زىراپە	Giraffe
شېنجېن شەھىرى	Shenzhen
گۇئاڭدوڭ ئۆلكىسى	Guangdong
گۇاڭشى جۇاڭزۇ ئاپتونۇم رايونى	Guangxi
سوۋېت ئىتتىپاقى	Soviet Union
شياڭگاڭ ئۇنىۋېرستېتى	University of Hong Kong
شياڭگاڭ جۇڭگو تىللىرى ئۇنۋېرسىتېتى	Chinese University of Hong Kong
رۇبلى	Ruble
پۇت	Foot
دولا	Shoulder
قالقانبەز	Thyroid
Wikipedia:Tor Jamiyeti	Wikipedia:Village pump
Wérmont Shitati	Vermont
San Diyégo	San Diego
San Xosé	San Jose, California
Dénwér	Denver
Hyuston	Houston
Féniks	Phoenix, Arizona
Dallas	Dallas
Austin	Austin, Texas
Mémfis, Ténnéssi	Memphis, Tennessee
Sharlot	Charlotte, North Carolina
Kolumbu, Oxéo	Columbus, Ohio
گۇاڭجۇ شەھىرى	Guangzhou
جىياڭ جىشى	Chiang Kai-shek
ۋېن جىياباۋ	Wen Jiabao
Guam Aril	Guam
ئامېرىكىغا قاراشلىق ساموئا	American Samoa
شىمالىي مارىئانا فېدېراتسىيىسى	Northern Mariana Islands
نەنجىڭ شەھىرى	Nanjing
بېيجىڭ ئۇنىۋېرسىتېتى	Peking University
ئۈرۈمچى شەھىرى	Ürümqi
جياڭسۇ ئۆلكىسى	Jiangsu
جېجياڭ ئۆلكىسى	Zhejiang
گۇئادەلوپە	Guadeloupe
مارتىنىكا	Martinique
شىزاڭ ئاپتونوم رايونى	Tibet Autonomous Region
دالاي لاما	14th Dalai Lama
تۆگىقۇش	Ostrich
Sakraménto	Sacramento, California
چاۋشيەن	Korea
لى كېچياڭ	Li Keqiang
Manchéstér	Manchester
تۇركس ۋە كايكوس تاقىم ئاراللىرى	Turks and Caicos Islands
ۋىتامىن A	Vitamin A
ياۋروپا چىمپيونلۇق لوڭقىسى	UEFA Champions League
پالمىزارلىق ئىپار مۈشۈكى	Asian palm civet
Pyongyang	Pyongyang
New Testament	New Testament
ئادالەت ۋە تەرەققىيات پارتىيىسى	Justice and Development Party (Turkey)
گۈللىنىش پارتىيىسى	Republican People's Party (Turkey)
مىللى دارامەت بويىچە دۆلەت تەرتىپى	List of countries by GDP (nominal)
خېيلوڭجياڭ ئۆلكىسى	Heilongjiang
ما يىنجىئۇ	Ma Ying-jeou
بۇخارېست	Bucharest
پوئىرتورىكان مۇستەقىللىق پارتىيىسى	Puerto Rican Independence Party
Tirana	Tirana
ئېشەك	Donkey
سىچۈەن ئۆلكىسى	Sichuan
مۇھەممەر قەززافى	Muammar Gaddafi
بارس	Tiger
چۆپ ئاش	Vermicelli
سامسۇڭ گۇرۇھى	Samsung
شىمالىي ياۋروپا	Scandinavia
كىشىنېۋ	Chișinău
بیلگیسايار مۈھەندیسلیغی	Computer science
Şalom	Şalom
ئارۇبا	Aruba
خېبېي ئۆلكىسى	Hebei
پرىنسېتون ئۇنىۋېرستېتى	Princeton University
نېفىت	Petroleum
پېنسىلۋانىيە نېمىس تىلى	Pennsylvania German language
پرژىۋالسكى ياۋا ئات	Przewalski's horse
قوي	Ovis
ئىرلاندىيە	Ireland
Chéshir	Cheshire
Nortumbér Wilayiti	Northumberland
Staffordshir	Staffordshire
ﻟﯘﺷﯜﻥ	Lu Xun
Shimaliy Amptonshir	Northamptonshire
Bédfordshir	Bedfordshire
Kornwél	Cornwall
Bristol	Bristol
Déwonshir	Devon
خالتىلىق چاشقانلار ئائىلىسى	Macropodidae
Nashwil	Nashville, Tennessee
Xampishir	Hampshire
Bérkshir	Berkshire
Bukkinxamshir	Buckinghamshire
Ésséks	Essex
Ként	Kent
Ulanbatur	Ulan Bator
ئېرنېست ھېمىڭۋاي	Ernest Hemingway
Idinburg	Edinburgh
ئاشخاباد	Ashgabat
پىياز	Onion
پەمىدۇر	Tomato
جورج بۇش	George H. W. Bush
بالقانلار	Balkans
پروتېستانت دىنى	Protestantism
سەلەنا	Selena
Atlanta	Atlanta
بېرمۇدا	Bermuda
باش	Head
ۋېللىنگتون	Wellington
روبوتلارنىڭ ئۈچ قانۇنى	Three Laws of Robotics
ئالفېرد نوبىل	Alfred Nobel
لیلا چڑھاو	Lila Downs
907-يىلى	907
Wankuwér	Vancouver
Liwérpol	Liverpool
Brémén	Bremen
يېڭى نورۋېگىيە تىلى	Nynorsk
پوند ستېرلىڭ	Pound sterling
ئانگۋىللا	Anguilla
فائېروس تىل	Faroese language
مۈشۈك ئائىلىسى	Felidae
ISO 3166-1	ISO 3166-1
تاتار تىلى	Tatar language
ئەنگلىيىگە قاراشلىق ۋىرگىن تاقىم ئاراللىرى	British Virgin Islands
كىچىك سېسىق كۈزەنى	Least weasel
فرىزانچە	Frisian languages
ئاق ئاغمىخان	Stoat
قارشىلىق	Electrical resistance and conductance
ناۋاسسا ئاراللىرى	Navassa Island
سېنت بارتھېلەمي ئاراللىرى	Saint Barthélemy
شىمالىي گېرمانىيە دىئالېكتى	Low German
ئاغمىخان ئائىلىسى	Mustelidae
ساينت مارتىن	Saint Martin
بۆكەن	Antelope
قارا بۇلغۇن	Sable
سۈنئىي ھەمراھ	Satellite
قوتاز	Yak
ب م ۋ	BMW
Kuk Taqim Aralliri	Cook Islands
رەشىدە داتى	Rachida Dati
شەرقىي ئاسىيا	East Asia
ئوتتۇرا ئاسىيا	Central Asia
ئاق تۆش بۇلغۇن	Beech marten
ياۋا ئات	Wild horse
ئامخارا تىلى	Amharic
Képinek	Lepidoptera
چاچ	Hair
ھىجرىيە كالېندارى	Islamic calendar
جيامۇسى شەھىرى	Jiamusi
كەبەك	Kebek
دىرىخلې	Peter Gustav Lejeune Dirichlet
ئاستۇرىيە تىلى	Asturian language
قاما	European otter
چېڭدۇ شەھىر	Chengdu
يىلپىز	Snow leopard
جېڭجۇ شەھىرى	Zhengzhou
تېرېسا ئانا	Mother Teresa
DELL شىركىتى	Dell
فرانسىيىگە قاراشلىق پولىنېزىيە	French Polynesia
618-يىلى	618
روژدېستۋو ئاراللىرى	Christmas Island
Krakow	Kraków
بېيجىڭ پايتەخت ئايروپورتى	Beijing Capital International Airport
تىراختور	Tractor Sazi F.C.
ۋېنىسىيە تىلى	Venetian language
تەيۋەن ئۇنۋېرسىتې	National Taiwan University
جامى	Mosque
دۇڭشياڭ تىلى	Santa language
تۇڭگان تىلى	Dungan language
كورسىكا تىلى	Corsican language
فىلىپىنچە	Filipino language
چۇۋاش تىلى	Chuvash language
قرىم تاتار تىلى	Crimean Tatar language
ھايتى كرېئول تىلى	Haitian Creole
قارا قالپاق تىلى	Karakalpak language
ياۋا تىلى	Javanese language
مۈشۈكئېيىق	Giant panda
قالماق تىلى	Kalmyk Oirat
مانجۇ تىلى	Manchu language
كانناداچە	Kannada language
مۇڭغۇل تىللىرى	Mongolic languages
پوچېركا	Hand
دۇفۇ	Du Fu
يېڭى كالېدونىيە	New Caledonia
ئورىياچە	Oriya language
نېپال تىلى	Nepali language
نېئاپول تىلى	Neapolitan language
نورمان تىلى	Norman language
تېئودور روزېۋېلت	Theodore Roosevelt
تېلاۋىف	Tel Aviv
Nis	Nice
سالار تىلى	Salar language
سىتسىلىيە تىلى	Sicilian language
ساردىنىيە تىلى	Sardinian language
ژىيۇل ۋېرن	Jules Verne
سىندى تىلى	Sindhi language
سۇندا تىلى	Sundanese language
شونا تىلى	Shona language
Niué Arili	Niue
تاگالوگ تىلى	Tagalog language
تۈركى تىللار ئائىلىسى	Turkic languages
تونگاچە	Tongan language
ئۇرال تىللىرى	Uralic languages
تىگرىنىيەچە	Tigrinya language
Oksford	Oxford
غەربىي يۇغۇر تىلى	Western Yugur language
تۇنگۇس مانجۇ تىللىرى	Tungusic languages
زاڭزۇ تىلى	Standard Tibetan
سارى ئۇغۇر	Yugur
ۋۇ تىلى	Wu Chinese
ۋىلسون	Woodrow Wilson
ياقۇت تىلى	Sakha language
يورۇباچە	Yoruba language
سېسوتوچە	Sotho language
Rottérdam	Rotterdam
Yéngi Orléan	New Orleans
فۇشەن شەھىر	Foshan
ئوكسفورد ئۇنىۋېرسىتېتى	University of Oxford
ئەھمىدى نىجات	Mahmoud Ahmadinejad
Saynt Xéléna Arili	Saint Helena
بارماق	Digit (anatomy)
ساينت پىئېر ئارىلى ۋە مىكېلون تاقىم ئاراللىرى	Saint Pierre and Miquelon
ئون پەرھىز	Ten Commandments
Yohannésburg	Johannesburg
قاپلان	Leopard
Saltzburg	Salzburg
X نۇرى	X-ray
شىنجاڭ ئۇيغۇر ئاپتونوم رايونى	Xinjiang
Albukwér kwé	Albuquerque, New Mexico
Oklaxoma Shehiri	Oklahoma City
برىسبان	Brisbane
ئىسساك ئاسىموۋ	Isaac Asimov
جەنۇبىي گىئورگىيە ۋە ساندۋىچ ئاراللىرى	South Georgia and the South Sandwich Islands
كۇۋائىت شەھىرى	Kuwait City
ئەرەبلەر	Arabs
سۇمېرلار	Sumer
كولومبو	Colombo
ئالمۇتا	Almaty
قانداغاي	Moose
ۋاللىس ۋە فۇتۇنا تاقىم ئاراللىرى	Wallis and Futuna
تاتار مىللىتى	Tatars
خوككايدو ئارىلى	Hokkaido
ئۇرال تاغلىرى	Ural Mountains
ماددا	Matter
ئوساكا	Osaka
كامبرىج ئۇنىۋېرستېتى	University of Cambridge
ئاكا-ئۇكا رايتلار	Wright brothers
گۇئارانچە	Guarani language
شور دېڭىز	Aral Sea
ئىستانبۇل بوغازى	Bosphorus
Izmir	İzmir
كەئەلىڭ كوكوس تاقىم ئاراللىرى	Cocos (Keeling) Islands
مېرسېدېس - بېنز	Mercedes-Benz
كۋېنسلاند	Queensland
Minnéapolis	Minneapolis
دەرەخ خالتىلىق ئېيىقى	Koala
2011-يىلدىكى ياپونىيە يەر تەۋرەش ۋە دېڭىز تاشقىنى	2011 Tōhoku earthquake and tsunami
لىنگالاچە	Lingala
مالايالامچە	Malayalam
يىپەك يولى	Silk Road
Kalgari	Calgary
ئوستىيىن	Jane Austen
قوڭۇر ئېيىق	Brown bear
كۇرد تىلى	Kurdish languages
مولداۋىيە تىلى	Moldovan language
يېڭى تاش قۇرال دەۋرى	Neolithic
مورېسبى پورتى	Port Moresby
خىمىيىلىك رېئاكسىيە	Chemical reaction
لاھەي	The Hague
جۇاڭزۇ مىللىتى	Zhuang people
ئوسمانلى تۈركچىسى	Ottoman Turkish language
يۇھاننا بايان قىلغان خۇش خەۋەر	Gospel of John
توكېلاۋ تاقىم ئاراللىرى	Tokelau
چاغاتاي ئۇيغۇر يېزىقى	Chagatai language
تۋىچە	Asante dialect
چېڭلۇڭ	Jackie Chan
توخار تىلى	Tocharian languages
ئېلان	Advertising
Zeytun	Olive
ئاۋكلاند	Auckland
سەككىز دۆلەت گۇرۇھى (G8)	G8
ئاۋكادۇر	Avocado
قىزىل قان دانىچىلىرى	Red blood cell
ئوقۇتقۇچى	Teacher
تىز	Knee
ئۆرۈك	Prunus armeniaca
گلۇكوزا	Glucose
Sint-Truiden	Sint-Truiden
ئالتاي تىللىرى سىستېمىسى	Altaic languages
ناتالىيە پورتمەن	Natalie Portman
Ran'gon	Yangon
ناگاساكى	Nagasaki
يوكوخاما	Yokohama
ئادانا	Adana
لازېر نۇرى	Laser
Lyuju shehiri	Liuzhou
خەلق پۇلى يۈەنى	Renminbi
Ritis	Leeds
رەجەپ تاييىپ ئەردوغان	Recep Tayyip Erdoğan
قىزغۇچ سېرىق	Orange (colour)
شىمال بۇغىسى	Reindeer
لۇقا بايان قىلغان خۇش خەۋەر	Gospel of Luke
كونا تاش قۇرال دەۋرى	Paleolithic
ئانتاليا ۋىلايىتى	Antalya Province
ھەزرىتى ئەيسا ئەلچىلىرىنىڭ پائالىيەتلىرى	Acts of the Apostles
پەرۋەز مۇشەررەڧ	Pervez Musharraf
ئادانا ۋىلايىتى	Adana Province
تاشقا ئايلانغان جىسىم	Fossil
بۇرسا	Bursa
ئۇرۇق	Seed
ئەنخۇي ئۆلكىسى	Anhui
خەلقئارا ئولىمپىك كومىتىتى	International Olympic Committee
ماڭلاي	Forehead
ئىچكى موڭغۇل ئاپتونوم رايونى	Inner Mongolia
Nottingxam	Nottingham
راكېتا	Rocket
كۇردىستان	Kurdistan
ستانفورد ئۇنىۋېرستېتى	Stanford University
فۇجيەن ئۆلكىسى	Fujian
Kanzas Shehiri, Missuri	Kansas City, Missouri
كىچىك مۈشۈكئېيىق	Red panda
موڭغۇل مىللىتى	Mongols
ۋەھىيلەر	Book of Revelation
Sirtlan	Hyena
كاسا	Buttocks
خەينەن ئۆلكىسى	Hainan
رىمان	Bernhard Riemann
گەنسۇ ئۆلكىسى	Gansu
ئاق قان ھۈجەيرىسى	White blood cell
ئەنگلىيىلىكلەر	English people
ئاناتول فرانس	Anatole France
ئوتلاق ياۋا مۈشۈكى	African wildcat
جەينەك	Elbow
سۇجۇ شەھىرى	Suzhou
جاڭگال مولۇنى	Jungle cat
بېنگال مولۇنى تاغ مۈشۈكى	Leopard cat
Wénju shehiri	Wenzhou
ۋۇشى شەھىرى	Wuxi
Shawshin shehiri	Shaoxing
خەنزۇ مىللىتى	Han Chinese
نىڭبو شەھىرى	Ningbo
ئابدۇللاھ گۈل	Abdullah Gül
نېمىسلار	Germans
خاربىن شەھىرى	Harbin
Orkéstr	Orchestra
تۈرك قەھۋەسى	Turkish coffee
قىزىل ياقۇت	Ruby
كەشمىر	Kashmir
گالاتا ساراي	Galatasaray S.K.
كەۋىن رۇد	Kevin Rudd
يۈننەن ئۆلكىسى	Yunnan
مالكولم X	Malcolm X
مەۋلانا جالالىددىن رۇمى	Rumi
Plimowt	Plymouth
شەندۇڭ ئۆلكىسى	Shandong
قول	Arm
Dérbi	Derby
ياقۇت رەڭلىك	Emerald
كىرىستال	Crystal
خېنەن ئۆلكىسى	Henan
بۇرسا ۋىلايىتى	Bursa Province
ئارتۋىن ۋىلايىتى	Artvin Province
كىندىك	Navel
ئادىيامان ۋىلايىتى	Adıyaman Province
لياۋنىڭ ئۆلكىسى	Liaoning
خىمىيىلىك باغ	Chemical bond
GNU	GNU
توچىگى ناھىيىسى	Tochigi Prefecture
سېمونت	Cement
جىلىن ئۆلكىسى	Jilin
ئافيون قاراھىسار ۋىلايىتى	Afyonkarahisar Province
بېربېرلار	Berber people
ئېچىتقۇ	Yeast
خۇنەن ئۆلكىسى	Hunan
ھونلار	Huns
چىڭخەي ئۆلكىسى	Qinghai
ئۇيغۇر مىللىتى	Uyghur people
بىلەجىك ۋىلايىتى	Bilecik Province
خۇبېي ئۆلكىسى	Hubei
شەنشى ئۆلكىسى	Shanxi
يۈز	Cheek
قوڭۇر رەڭلىك	Brown
گۇيلىن ئۆلكىسى	Guizhou
بالىكەسىر ۋىلايىتى	Balıkesir Province
كيوتو كىلىشىمنامىسى	Kyoto Protocol
ئانىلار بايرىمى	Mother's Day
خەلقئارا ئىسلام كېڭىشى تەشكىلاتى	Organisation of Islamic Cooperation
چاناققالە ۋىلايىتى	Çanakkale Province
مىياگى ناھىيىسى	Miyagi Prefecture
Luknow	Lucknow
شېنشى ئۆلكىسى	Shaanxi
رىملىقلارغا يېزىلغان خەت	Epistle to the Romans
مالىكىي مەزھىبى	Maliki
ئوقۇغۇچى	Student
Kobe	Kobe
ئىۋاتە ناھىيىسى	Iwate Prefecture
كولۇمبىيە ئۇنىۋېرستېتى	Columbia University
بوستون ئۇنىۋېرستېتى	Boston University
يالې ئۇنىۋېرسىتېتى	Yale University
پېنسىلۋانىيە ئۇنىۋېرستېتى	University of Pennsylvania
Portland, Méané	Portland, Maine
نيۇيورك ئۇنىۋېرستېتى	New York University
ئىتاليانلار	Italians
پارىژ مېتروسى	Paris Métro
پىرىت	Pyrite
فىلىپىلىكلەرگە يېزىلغان خەت	Epistle to the Philippians
ئېگىزلىك گېرمان تىلى	High German languages
قېلىپ:Taxobox	Template:Taxobox
قارا ئېقىم	Kuroshio Current
خەلق گېزىتى	People's Daily
جياڭشى ئۆلكىسى	Jiangxi
ئىلھام ئالىيېۋ	Ilham Aliyev
زاردارى	Asif Ali Zardari
نۇرسۇلتان نازاربايېۋ	Nursultan Nazarbayev
نىڭشيا خۇيزۇ ئاپتونۇم رايونى	Ningxia
ئىسلام كەرىموۋ	Islam Karimov
شۈجو شەھىرى	Xuzhou
Lyenyün'gang shehiri	Lianyungang
ساۋكات مىرزىيويەۋ	Shavkat Mirziyoyev
خۇەيئەن شەھىرى	Huai'an
Yangjo shehiri	Yangzhou
Teyju shehiri, Jyangsu	Taizhou, Jiangsu
Nentung shehiri	Nantong
جاڭجياڭ شەھىرى	Zhenjiang
چاڭجو شەھىر	Changzhou
ئەھمەد داۋۇد ئوغلۇ	Ahmet Davutoğlu
تەيجۇ شەھىرى	Taizhou, Zhejiang
جۇشەن شەھىرى	Zhoushan
شىجياجۇاڭ شەھىرى	Shijiazhuang
تاڭشەن شەھىرى	Tangshan
Chinxuangdaw shehiri	Qinhuangdao
خەندەن شەھىرى	Handan
Bawding shehiri	Baoding
پەنجاب تىلى	Punjabi language
پاشتوچە	Pashto language
ساڭجو شەھىرى	Cangzhou
Langfang shehiri	Langfang
Juxey shehiri	Zhuhai
شەنتۇ شەھىرى	Shantou
Xuyjo shehiri	Huizhou
Dongwen shehiri	Dongguan
Jongshen shehiri	Zhongshan
مىقدار سۆز	Numeral (linguistics)
ئۆت خالتىسى	Gallbladder
Jaypur	Jaipur
فۇجو شەھىرى	Fuzhou
Nenping shehiri	Nanping
Putyen shehiri	Putian
Senming shehiri	Sanming
Chüenju shehiri	Quanzhou
شيامېن شەھىرى	Xiamen
Jyangju shehiri	Zhangzhou
Longyen shehiri	Longyan
Ningdé shehiri	Ningde
Shining shehiri	Xining
تاغىل سېسىق كۈزەن	Marbled polecat
ئادەم ئەلەيھىسسالام	Adam
خۇئاڭشى شەھىرى	Huangshi
ئائومورى ناھىيىسى	Aomori Prefecture
فۇكۇشىما ناھىيىسى	Fukushima Prefecture
تەييۈەن شەھىرى	Taiyuan
داتۇڭ شەھىر	Datong
داليەن شەھىرى	Dalian
ئەنشەن شەھىرى	Anshan
يىڭكۇ شەھىرى	Yingkou
لياۋياڭ شەھەر	Liaoyang
يوزگات ۋىلايىتى	Yozgat Province
چوڭ مېڭە پوستلاق ماددىسى	Cerebral cortex
ئوڭچى	Right-wing politics
كارل ۋون دونىتىز	Karl Dönitz
سۆسۈنە ياقۇت	Amethyst
بىنگۆل ۋىلايىتى	Bingöl Province
تايغان بۇغا	Red deer
ئارداھان ۋىلايىتى	Ardahan Province
ئايدىن ۋىلايىتى	Aydın Province
ئاماسيا ۋىلايىتى	Amasya Province
قازاق مىللىتى	Kazakhs
ئاغرى ۋىلايىتى	Ağrı Province
بۇردۇر ۋىلايىتى	Burdur Province
كورىنتلىقلارغا يېزىلغان بىرىنچى خەت	First Epistle to the Corinthians
باتمان ۋىلايىتى	Batman Province
كۇرىل ئاراللىرى	Kuril Islands
يېڭى يەر	Novaya Zemlya
Patna	Patna
سۇلتان ئاخمەت جامىي	Sultan Ahmed Mosque
ۋان ۋىلايىتى	Van Province
كونيا ۋىلايىتى	Konya Province
ئاكىتا ناھىيىسى	Akita Prefecture
سېگولەن رويال	Ségolène Royal
بولۇ ۋىلايىتى	Bolu Province
دېنىزلى ۋىلايىتى	Denizli Province
شافىئىي مەزھىپى	Shafi'i
گىپىس	Gypsum
ئېڭەك	Chin
ئامېرىكا ياۋا كالىسى	American bison
Léyséstér	Leicester
ساكاريا ۋىلايىتى	Sakarya Province
ئاقساراي ۋىلايىتى	Aksaray Province
قارس ۋىلايىتى	Kars Province
دىيارباقىر ۋىلايىتى	Diyarbakır Province
مور	Mushroom
تەيبېي 101	Taipei 101
ئەدىرنە ۋىلايىتى	Edirne Province
ظوسذث	Lettuce
بىتلىس ۋىلايىتى	Bitlis Province
ئىباراكى ناھىيىسى	Ibaraki Prefecture
ھاتاي ۋىلايىتى	Hatay Province
زىيا گۆكئالىپ	Ziya Gökalp
پان تۈركىزم	Pan-Turkism
يۇگوسلاۋىيە سوتسىيالىست فېدېرال جۇمھۇرىيىتى	Socialist Federal Republic of Yugoslavia
تۈرك	Turkic peoples
بارتىن ۋىلايىتى	Bartın Province
باش بارماق	Thumb
كوجائەلى ۋىلايىتى	Kocaeli Province
تۈرك خاقانلىقى	Turkish people
سازاڭسىمان مەددە	Caenorhabditis elegans
چاڭچۈن شەھىرى	Changchun
جىلىن شەھىرى	Jilin City
ئېمۇ قۇشى	Emu
خاككارى ۋىلايىتى	Hakkâri Province
راۋالپىندى	Rawalpindi
Emir Kusturica	Emir Kusturica
ماشىنىىسازلىق ئىنژىنىرلىقى	Mechanical engineering
ئاينۇ مىللىتى	Ainu people
ئورانگوتان	Ape
يېشىل ياقۇت	Beryl
Markus bayan qilghan xush xewer	Gospel of Mark
ئازۇرىت	Azurite
بېلىز شەھىرى	Belize City
قۇشۇق ئارىلى	Kaşık Island
مارشال	Marshal
Chuju shehiri	Chuzhou
Rékazé shehiri	Samzhubzê District
قىرىم	Crimean Tatars
كىلون تېخنىكىسى	Cloning
پروڧېسسور	Professor
كورىنتلىقلارغا يېزىلغان ئىككىنچى خەت	Second Epistle to the Corinthians
مۇغلا ۋىلايىتى	Muğla Province
ئاسىيا قارا ئېيىق	Asian black bear
گۈلچىلىك	Gardening
ئىغدىر ۋىلايىتى	Iğdır Province
ياماگاتا ناھىيىسى	Yamagata Prefecture
قاڭشارلىق بۆكەن	Saiga antelope
كۈتاھيا ۋىلايىتى	Kütahya Province
كۆك ياقۇت	Sapphire
كۈرەشچى ئايروپىلان	Fighter aircraft
ئېرتىش دەرياسى	Irtysh River
ئىبرانىيلارغا يېزىلغان خەت	Epistle to the Hebrews
گالاتىيلىقلارغا يېزىلغان خەت	Epistle to the Galatians
شاڭ سۇلالىسى	Shang dynasty
كىلىس ۋىلايىتى	Kilis Province
تەكىرداغ ۋىلايىتى	Tekirdağ Province
سان	Thigh
مانىسا ۋىلايىتى	Manisa Province
كىچىك مېڭە	Cerebellum
كولوسىلىقلارغا يېزىلغان خەت	Epistle to the Colossians
ياقۇپ يازغان خەت	Epistle of James
يۇھاننا يازغان بىرىنچى خەت	First Epistle of John
فىلىمۇنغا يېزىلغان خەت	Epistle to Philemon
سالونىكىلىقلارغا يېزىلغان ئىككىنچى خەت	Second Epistle to the Thessalonians
پاۋىل كرۇگمەنن	Paul Krugman
سالونىكىلىقلارغا يېزىلغان بىرىنچى خەت	First Epistle to the Thessalonians
پېترۇس يازغان بىرىنچى خەت	First Epistle of Peter
پېترۇس يازغان ئىككىنچى خەت	Second Epistle of Peter
تىموتىيغا يېزىلغان بىرىنچى خەت	First Epistle to Timothy
ئېسكىموسلار	Eskimo
چىكاگو ئۇنىۋېرستېتى	University of Chicago
ماردىن ۋىلايىتى	Mardin Province
مالاتيا ۋىلايىتى	Malatya Province
مۇش ۋىلايىتى	Muş Province
يۇھاننا يازغان ئىككىنچى خەت	Second Epistle of John
يۇھاننا يازغان ئۈچىنچى خەت	Third Epistle of John
يەھۇدا يازغان خەت	Epistle of Jude
تىموتىيغا يېزىلغان ئىككىنچى خەت	Second Epistle to Timothy
تىتۇسغا يېزىلغان خەت	Epistle to Titus
قىرقلارەلى ۋىلايىتى	Kırklareli Province
ئاليۇمىن ئوكسىدى	Corundum
مەرسىن ۋىلايىتى	Mersin Province
ئوتتۇرا ئاسىيا ياۋا تۆگىسى	Bactrian camel
بۇشەھر ۋىلايىتى	Bushehr Province
تەكلىماكان قۇملۇقى	Taklamakan Desert
پاچاق	Leg
قاشقىئوغلاق	Raccoon dog
ئاشمورە ۋە كارتىئەر ئاراللىرى	Ashmore and Cartier Islands
قىرشەھەر ۋىلايىتى	Kırşehir Province
ئەردەبىل ۋىلايىتى	Ardabil Province
سىنوپ ۋىلايىتى	Sinop Province
Ajax	Ajax (programming)
ئاتىلار بايرىمى	Father's Day
شۆلگەي بېزى	Salivary gland
