អាហ្វ្រិក	Africa
ការ​បញ្ចាំង​ស្លាយ	Diaporama
វីគីភីឌាភាសាខ្មែរ	Volatile organic compound
ប្រទេសនៅអាមេរិកខាងត្បូង	List of sovereign states and dependent territories in South America
ចំប៉ីសៀម	Adenium
ជំនួយ:មាតិកា	Help:Contents
ស៊ីហ្គេមលើកទី២៣	2005 Southeast Asian Games
ច្បាប់ប្រលេឡូក្រាម	Parallelogram law
The Phnom Penh Post	The Phnom Penh Post
ចំនុចប៊្រូការ	Brocard points
ទ្រឹស្តីបទកន្លះបន្ទាត់ពុះមុំ	Angle bisector theorem
AgustaWestland Apache	AgustaWestland Apache
សាលាប្រព័ន្ធសាលារដ្ឋស្រុកម៉ូបាល	Mobile County Public School System
ភ្នំភ្លើងអ៊ីស៊ាឡឺកធ្វើអោយខកខានការហោះហើរនៅអឺរ៉ុប	Air travel disruption after the 2010 Eyjafjallajökull eruption
មីក្រូម៉ែត្រការ៉េ	Orders of magnitude (area)
ព្រៃវែង	Prey Veng (city)
ធនធានដែលមិនកកើតឡើងវិញ	Non-renewable resource
ខ្សែទឹកអៀមីងហ្គើរ	Irminger Current
ស៊ីហ្គេមលើកទី១១	1981 Southeast Asian Games
ជួរភ្នំដងរែក	Dângrêk Mountains
ប៉ាណរវដ្ឋ កិតតិករចម្រើន	Apichet Kittikorncharoen
ប្រាសាទព្រះខ័ន	Preah Khan
វិសមភាព ហាតឌី	Hardy's inequality
រូបមន្តញូតុន-កូត្ស	Newton–Cotes formulas
មធ្យមលោការីត	Logarithmic mean
មធ្យមស្តូឡារស្គី	Stolarsky mean
កបិលវត្ថុ	Kapilavastu
ភ្នំគូលេន	Phnom Kulen
ទីភ្នាក់ងារសហប្រតិបត្តិការអន្តរជាតិជប៉ុន	Japan International Cooperation Agency
ស្វាកន្ទុយស	Black-shanked douc
ប្រាសាទភ្នំក្រោម	Phnom Krom
Nanchang Q-5	Nanchang Q-5
ស៊ីហ្គេមលើកទី២១	2001 Southeast Asian Games
រាត្រីមួយក្រោយសង្គ្រាម	One Evening After the War
ពិធីបុណ្យមាឃបូជា	Magha Puja
ប្រដាល់សេរី	Pradal serey
សុន សេន	Son Sen
គណកម្មាធិការអូឡាំពិកជប៉ុន	Japanese Olympic Committee
ចំនួនតេត្រាអែក	Tetrahedral number
ក្រុងកំពង់ធំ	Kampong Thom (city)
អង់រីកូ ពែរស៊ីកូ	Enrico Persico
ឧបាលិ	Upali
ភ្នំដា	Angkor Borei and Phnom Da
អាំងតេក្រាលសេកង់គូប	Integral of secant cubed
អាំងតេក្រាលអយល័រ	Euler integral
ព្រះពុទ្ធសាសនា​នៅ​ស្រីលង្កា	Buddhism in Sri Lanka
ចំណុចរំពុះ	Boiling point
Coats of arms of dependent territories	Gallery of coats of arms of dependent territories
ក្រុងប៉ោយប៉ែត	Poipet
តារាងលីមីត	List of limits
វិសមភាពភីដូ	Pedoe's inequality
វិសមភាព អឺមីត-អាដាម៉ា	Hermite–Hadamard inequality
របាំព្រះរាជទ្រព្យ	Royal Ballet of Cambodia
ក្រុងកំពង់ឆ្នាំង	Kampong Chhnang (city)
តារាងអាំងតេក្រាលនៃអនុគមន៍ច្រាស់ត្រីកោណមាត្រ	List of integrals of inverse trigonometric functions
គណកម្មាធិការអូឡាំពិកជាតិសិង្ហបុរី	Singapore National Olympic Council
ត្រៃលក្ខណ៍	Three marks of existence
អាកាសយានដ្ឋានអន្តរជាតិភ្នំពេញ	Phnom Penh International Airport
វិសមភាពហាតវីហ្គឺហ្វីនស្លឺ	Hadwiger–Finsler inequality
ព្រះនិព្វាន៤ថ្នាក់	Four stages of enlightenment
វិសមភាពអូណូ	Ono's inequality
សាធារណរដ្ឋខ្មែរ	Khmer Republic
អក្សរខ្មែរ	Khmer alphabet
អាកាសយានដ្ឋានអន្តរជាតិសៀមរាបអង្គរ	Siem Reap International Airport
បច្ចេកវិទ្យាសារពត៌មាន	Online journalism
ក្មេងទំនើង	Juvenile delinquency
ចេនឡា	Chenla Kingdom
វិសមភាព ហ្គោលដិន-ថមសុន	Golden–Thompson inequality
ប្រកែកនយោបាយថៃ ស.ក.២០១០	2010 Thai political protests
ស្ដេចចក្រពត្តិ	Chakravartin
តថាគត	Tathāgata
វិភង្គ	Vibhanga
បុគ្គលបញ្ញត្តិ	Puggalapannatti
ប្រាសាទនាគព័ន្ធ	Neak Pean
ជា ស៊ីម	Chea Sim
នគរឆឹន	Chen (state)
ប្រព័ន្ធផ្សព្វផ្សាយសុក្រិត្យ	Social media optimization
អាំងតេក្រាលប្តូរអថេរ	Integration by substitution
កម្មវីធីសូនីវីហ្គាស	Sony Vegas Pro
ស៊ីហ្គេមលើកទី២៥	2009 Southeast Asian Games
ខ្សែទឹកអេក្វាទ័រខាងត្បូង	South Equatorial Current
សិក្ខាបទ៥	Five Precepts
ការប្រកួតកីឡាជើងឯកចុងបូព៌ា	Far Eastern Championship Games
កងទ័ពអេហ្ស៊ីប	Egyptian Armed Forces
ប្រាសាទប្រែរូប	Pre Rup
ប្រាសាទក្រវាន់	Prasat Kravan
តារាងដេរីវេ	Differentiation rules
មេកានិច​សូលីដ	Solid mechanics
ការប្រកួតកីឡា កម្ពុជា	Cambodian League
ប្រាសាទព្រះគោ	Preah Ko
ប្រាសាទលលៃ	Lolei
ក្បាលស្ពាន	Kbal Spean
ប្រាសាទតាសោម	Ta Som
ស្ពានថ្ម	Spean Thma
អនុគមន៍ស្ករ៉ឺ	Scorer's function
មធ្យមធរណីមាត្រ-អាម៉ូនិក	Geometric–harmonic mean
CAIC Z-10	CAIC Z-10
អាំងតេក្រាលត្រីកោណមាត្រ	Trigonometric integral
សមីការឌីផេរ៉ងស្យែលក្លែរ៉ូ	Clairaut's equation
សាសនា សកល	Religious symbol
រូបមន្តបេយ៉ា	Bellard's formula
វិមានឯករាជ្យ	Independence Monument (Cambodia)
ទ្រឹស្តីបទផលគុណកត្តា	Factor theorem
ប្រតិទិនឈប់សំរាកប្រចាំឆ្នាំ២០០៨	Public holidays in Cambodia
ខ្សែទឹកណរវេយ	Norwegian Current
ទង់ព្រះពុទ្ធសាសនា	Buddhist flag
វិសមភាពញូតុន	Newton's inequalities
មករ	Makara (Hindu mythology)
ISO 3166-1 alpha-2	ISO 3166-1 alpha-2
តំបន់អឌ្ឍច័ន្ទមាស	Golden Crescent
សហរដ្ឋ	Political union
អាស៊ីហ្គេមលើឆ្នេរខ្សាច់	Asian Beach Games
បណ្ឌិត្យ​សភា​នីតិ​អន្តរជាតិ​នៃ​ទីក្រុង​ឡាអេ	Hague Academy of International Law
ស៊ីហ្គេមលើកទី២៦	2011 Southeast Asian Games
សម្រែកនៃដុលោរ៉េស៏	Grito de Dolores
ប្រពលវប្បកម្ម	Intensive farming
សមភាពការ៉េទាំង៤របស់អឺលែរ	Euler's four-square identity
ស៊េរីត្រីកោណមាត្រ	Trigonometric series
រូបមន្តប្រាម៉ាហ្គឹបតា	Brahmagupta's formula
មហាភូតរូប	Mahābhūta
Shenyang J-11	Shenyang J-11
មុំក្នុង	Internal and external angle
ផលបូក រីម៉ាន	Riemann sum
ប្រាសាទអ៊ីវ៉ាឃឹនី	Iwakuni Castle
សមីការហ៊ីល	Hill differential equation
សេដ្ឋកិច្ចតំបន់ អាសីុ	Economy of Asia
គ្រឹះស្ថានឧត្តមសិក្សាសាធារណៈនៅប្រទេសជប៉ុន	List of national universities in Japan
កីឡាអាស៊ីខាងកើតឆ្នាំ១៩៩៣	1993 East Asian Games
កីឡាចុងបូព៌ាឆ្នាំ១៩៣៨	1938 Far Eastern Championship Games
សមភាពការ៉េទាំង៨របស់ដេហ្គេន	Degen's eight-square identity
មធ្យមហេរ៉ុង	Heronian mean
វិសមភាព វេតស្សឹនបុក	Weitzenböck's inequality
រូប	Rūpa
Kawasaki OH-1	Kawasaki OH-1
កីឡាអាស៊ីខាងកើត	East Asian Games
ស៊ីហ្គេមលើកទី២០	1999 Southeast Asian Games
បុណ្យ តារា	Tanabata
ក្រុមមិត្តភក្តិ (Peer group)	Peer group
ក្រុងតាកែវ	Takéo
ស្ពានឃីងតៃ	Kintai Bridge
សមីការកូស៊ី-អយល័រ	Cauchy–Euler equation
ស្ពានខាន់ម៉ុងក្យូ	Kanmon Bridge
កីឡាអាស៊ីខាងត្បូង	South Asian Games
OSGeo	Open Source Geospatial Foundation
វិគីភីឌា:ស្ថានទូតខ្មែរ	Wikipedia:Embassy
Bottleneck	Bottleneck
ប្រៃសណីយ៍ភ័ណ្ឌ	Parcel post
ស៊ីហ្គេមលើកទី១៩	1997 Southeast Asian Games
ស៊ីហ្គេមលើកទី២៧	2013 Southeast Asian Games
ស៊ីហ្គេមលើកទី១៧	1993 Southeast Asian Games
ស៊ីហ្គេមលើកទី១០	1979 Southeast Asian Games
រាជវង្សហុងបាង	Hồng Bàng dynasty
ស៊ីហ្គេមលើកទី២៤	2007 Southeast Asian Games
ស៊ីហ្គេមលើកទី១៤	1987 Southeast Asian Games
កីឡាចុងបូព៌ាឆ្នាំ១៩១៧	1917 Far Eastern Championship Games
ទីឃនិកាយ	Digha Nikaya
នវវិទ្យា	Neology
រដ្ឋសភាជាតិកម្ពុជា	National Assembly (Cambodia)
អនុគមន៍ទ្រីហ្គាំម៉ា	Trigamma function
ហ្វ្រង់កូ រ៉ាសិតទី	Franco Rasetti
ខ្សែទឹករង្វល់របស់មហាសមុទ្រ	Ocean gyre
វ៉ន វេត	Vorn Vet
បញ្ជីរាយនាម កោះនៅកម្ពុជា	List of islands of Cambodia
វិទ្យុតាមអ៊ីនធើណែត	Digital radio
ខ្សែទឹកហ្គ្រីនលែនខាងលិច	West Greenland Current
តូនី វ៉ាការ៉ូ	Tony Vaccaro
កោះទន្សាយ	Koh Thonsáy
អាន ដ្យឿង វឿង	An Dương Vương
ខ្សែទឹកកោះបាហ្វហ្វីន	Baffin Island Current
ខ្មែរលើ	Khmer Loeu
នគរតាវ	Dao (state)
កីឡាឧបទ្វីបអាស៊ីអាគ្នេយ៍លើកទី៣	1965 Southeast Asian Peninsular Games
កីឡាឧបទ្វីបអាស៊ីអាគ្នេយ៍លើកទី៤	1967 Southeast Asian Peninsular Games
កីឡាឧបទ្វីបអាស៊ីអាគ្នេយ៍លើកទី៦	1971 Southeast Asian Peninsular Games
កីឡាឧបទ្វីបអាស៊ីអាគ្នេយ៍លើកទី៨	1975 Southeast Asian Peninsular Games
វិសមភាពស្យ៉ឺរ	Schur's inequality
គមនាគមន៍កម្ពុជា	Transport in Cambodia
អនុគមន៍ហ្គុឌែរម៉ាន់	Gudermannian function
វិធីសាស្រ្តហ្រ្វូបេនៀស	Frobenius method
សាកលវិទ្យាល័យអាគីតា	Akita University
ចន វ៉នណុក	John Warnock
អភិបាលកិច្ចល្អ	Good governance
ឃុនបរម	Khun Borom
មួយម៉ូនីកា	Agnez Mo
Candies	Candies (group)
កីឡាឧបទ្វីបអាស៊ីអាគ្នេយ៍លើកទី១	1959 Southeast Asian Peninsular Games
កីឡាអាស៊ីកណ្ដាល	Central Asian Games
កីឡាអាស៊ីខាងកើតឆ្នាំ២០០៥	2005 East Asian Games
កីឡាឧបទ្វីបអាស៊ីអាគ្នេយ៍លើកទី២	1961 Southeast Asian Peninsular Games
ស៊ីហ្គេមលើកទី១៦	1991 Southeast Asian Games
ស៊ីហ្គេមលើកទី១៥	1989 Southeast Asian Games
ស៊ីហ្គេមលើកទី១៨	1995 Southeast Asian Games
កីឡាឧបទ្វីបអាស៊ីអាគ្នេយ៍លើកទី៧	1973 Southeast Asian Peninsular Games
កីឡាអាស៊ីខាងកើតឆ្នាំ២០០១	2001 East Asian Games
សាកលវិទ្យាល័យហ្វឹគឹអ៊ី	University of Fukui
ខ្មែរក្រោម	Khmer Krom
ស៊ីហ្គេមលើកទី២២	2003 Southeast Asian Games
ស៊ីហ្គេមលើកទី១៣	1985 Southeast Asian Games
ស៊ីហ្គេមលើកទី១២	1983 Southeast Asian Games
ទ្រឹស្តីបទកាសី	Casey's theorem
សមាគមអូឡាំពិកឥណ្ឌា	Indian Olympic Association
កីឡាចុងបូព៌ាឆ្នាំ១៩១៥	1915 Far Eastern Championship Games
កីឡាចុងបូព៌ាឆ្នាំ១៩១៣	1913 Far Eastern Championship Games
ប្រាសាទព្រះប៉ាលីឡៃ	Preah Palilay
សុខ អាន	Sok An
ស្រុកកំពង់ត្រាច	Kampong Trach District
ក្រុងបាវិត	Bavet
ស្រុកសំឡូត	Samlout District
ស្រុកថ្មពួក	Thma Puok District
ស្រុកព្រះនេត្រព្រះ	Preah Netr Preah District
ស្រុកកោះកុង	Koh Kong District
ស្រុកកំពង់ត្រឡាច	Kampong Tralach District
ESET NOD32 Antivirus	ESET NOD32
ស្រីសុរិយោពណ៌ទី២	Ponhea Yat
កេង វ៉ាន់សាក់	Keng Vannsak
វិគីភីឌា:Glossary	Wikipedia:Glossary
នីវរណធម៌	Five hindrances
បុណ្យ	Merit (Buddhism)
ចំណាត់ថ្នាក់ក្រុម:ប្រទេសជប៉ុន	Category:Japan
ចំណាត់ថ្នាក់ក្រុម:ម៉ិកសិច	Category:Mexico
វិធីសាស្រ្តក្នុងការទំនាក់ទំនង	Models of communication
ទ្រឹស្តីបទប្រាម៉ាហ្គឹបតា	Brahmagupta theorem
ចេមនិងផ្លែប៉ែសយក្ស	James and the Giant Peach
ស្ងោរជ្រក់សាច់មាន់	Chicken soup
បន្ទប់សារពត៌មាន	Newsroom
ចំណាត់ថ្នាក់ក្រុម:ឥណ្ឌូនេស៊ី	Category:Indonesia
ចំណាត់ថ្នាក់ក្រុម:សិង្ហបុរី	Category:Singapore
ចំណាត់ថ្នាក់ក្រុម:រូបវិទ្យា	Category:Physics
ចំណាត់ថ្នាក់ក្រុម:វិទ្យាសាស្រ្តធម្មជាតិ	Category:Natural sciences
ចំណាត់ថ្នាក់ក្រុម:ជីវវិទ្យា	Category:Biology
ចំណាត់ថ្នាក់ក្រុម:សាសនា	Category:Religion
ចំណាត់ថ្នាក់ក្រុម:កីឡា	Category:Sports
ចំណាត់ថ្នាក់ក្រុម:វិទ្យាសាស្ត្រ	Category:Science
ប្រជាមតិទាក់ទងនឹងឯករាជភាពរបស់ស្កុតឡែនឆ្នំា២០១៤	Scottish independence referendum, 2014
សំយុត្តនិកាយ	Samyutta Nikaya
សំយោជនៈ	Rebirth (Buddhism)
សាសនាក្នុងប្រទេសចិន	Religion in China
ខួច​គូថ	Rhombus of Michaelis
G8+5	G8+5
ចំនួនហ្គាលីលេ	Galilei number
ត្រីគល់រាំង	Giant barb
ប្រវត្តិសាស្រ្តរបស់ទូរទស្សន៍	History of television
ប្រវត្តិវិទ្យុ	History of radio
ប្រវត្តិសាស្រ្តអ្នកកាសែត	History of journalism
ប្រវត្តិច្បាប់រក្សាសិទ្ធ	History of copyright law
Honda HA-420 HondaJet	Honda HA-420 HondaJet
ទ្រឹស្ដីនៃពណ៌	Color theory
នើនដូ	Steinberg Nuendo
នពតល ប៉័ទមៈ	Noppadon Pattama
ស្ករត្នោត	Palm sugar
អង្គាបុស្ប	Millingtonia
Guizhou JL-9	Guizhou JL-9
ប្រាសាទភ្នំជីសូរ	Phnom Chisor
កោះរុង	Koh Rong
ស្ដង់ដា	Standard
ចំនុចកណ្ដាល	Midpoint
ខុទ្ទកនិកាយ	Khuddaka Nikaya
ចាន់ ស៊ី	Chan Sy
ប៉ាន់ រិទ្ធី	Rithy Panh
ជីវក	Jivaka Kumar Bhaccha
សាកលវិទ្យាល័យកម្ពុជា	University of Cambodia
សាកលវិទ្យាល័យភូមិន្ទភ្នំពេញ	Royal University of Phnom Penh
ទំព័រគំរូ:Dts	Template:Dts
បុណ្យកឋិន	Kathina
គែន	Khene
វិសមភាព កុលហ្គោម៉ូរ៉ូវ	Kolmogorov's inequality
ទីក្រុងរ៉ូមបុរាណ	Ancient Rome
ទំព័រគំរូ:Box-footer	Template:Box-footer
កន្ថឹកក្បាលឆ្នូត	Northern smooth-tailed treeshrew
រឹសគូប	Cube root
ប្រាសាទកោះកេរ	Koh Ker
នរោត្ដម សុរាម្រិត	Norodom Suramarit
អាស៊ីហ្គេមអ៊ីនដរ	Asian Indoor Games
Airbus A318	Airbus A318
អាំងតេក្រាលមាឌ	Volume integral
ការវាយប្រហារដែនអាកាសនៅទីក្រុងបេកដាត ថ្ងៃទី ១២ កក្តដា ២០០៧	July 12, 2007 Baghdad airstrike
ទ្រឹស្តីបទរូទ	Routh's theorem
ក្លឹបបាល់ទាត់ ភ្នំពេញក្រោន	Phnom Penh Crown FC
សញ្ញាណលោការីត	List of logarithmic identities
វត្តភ្នំ	Wat Phnom
ប្រាសាទសំបូរព្រៃគុក	Sambor Prei Kuk
គណបក្សសិទ្ធិមនុស្ស	Human Rights Party (Cambodia)
កោះត្រឡាច	Côn Sơn Island
ក្រុមហ៊ុនអាកាសចរណ៏រ៉ូយ៉ាល់ខ្មែរអ៊ែរឡាញ	Royal Khmer Airlines
អាគីតា	Akita
ស្រុកត្បែងមានជ័យ	Tbaeng Meanchey District
ស្រុកពួក	Puok District
ស្រុកក្រឡាញ់	Kralanh District
ស្រុកជីក្រែង	Chi Kraeng District
ស្រុកអង្គរជុំ	Angkor Chum District
ស្រុកស្រីសន្ធរ	Srey Santhor District
ខណ្ឌទួលគោក	Toul Kork District
ទ្រឹស្ដីបទវ៉ារីញ៉ុង	Varignon's theorem
អនុគមន៍ហ្សេតាបឋម	Prime zeta function
ចំណាយរដ្ឋាភិបាល	Government spending
ប្រវត្តិសាស្ត្រខ្មែរដំបូង	Early history of Cambodia
សារមន្ទីរជាតិ	National Museum of Cambodia
ឧទ្យានជាតិព្រះសុរាម្រិតកុសុមៈគិរីរម្យ	Kirirom National Park
អ្នកសារពត័មាន	Journalist
រង្វង់ប៊្រូការ	Brocard circle
ប៉ែន សុវណ្ណ	Pen Sovan
ស្រុកមង្គលបុរី	Mongkol Borey District
ក្រុងតាខ្មៅ	Ta Khmao
ចំណាត់ថ្នាក់ក្រុម:អូឡាំពិក	Category:Olympic Games
ចំណាត់ថ្នាក់ក្រុម:ព្រះពុទ្ធសាសនា	Category:Buddhism
វប្បធម៍បារាំង	Culture of France
ប្រទេសនៅអាមេរិកខាងជើង	List of sovereign states and dependent territories in North America
បញ្ជីឈ្មោះអនុគមន៍គណិតវិទ្យា	List of mathematical functions
ស្ពានប្រាប់ទិស	Spean Praptos
ប្រអប់ខ្សាច់	Sandbox
Open Access Week	Open Access Week
ណូរី	Norry
ស្ថានីយទូរទស្សន៍	Television channel
ពហុកីឡដ្ឋានជាតិអូឡាំពិក	Olympic Stadium (Phnom Penh)
កិច្ចតែងការ	Lesson plan
ព្រះពុទ្ធសាសនានៅប្រទេសបារាំង	Buddhism in France
ឈិង	Ching (instrument)
សាលាសាធារណៈឡូវែល	Lowell Public Schools
ជំងឺរលាកបំពង់ក	Pharyngitis
ទេសចរបារាំង	Tourism in France
កម្ពុជាសម័យលង្វែក	Longvek
ឃុំប្រាសាទ (ស្រុកព្រះនេត្រព្រះ)	Prasat
អាកាសយានដ្ឋានអន្តរជាតិក្រុងព្រះសីហនុ	Sihanoukville International Airport
អង្គការសង្គមអភិរក្សសត្វព្រៃ	Wildlife Conservation Society
សាកលវិទ្យាល័យអប់រំអៃឈិ	Aichi University of Education
ការដឹងគ្រប់គ្រាន់នៃវិធីដកដង្ហើម១៦យ៉ាង	Anapanasati
សញ្ញាណត្រីកោណខុនវេ	Conway triangle notation
នគរគ័រខាងកើត	Eastern Guo
ចម្ប៉ា	Magnolia × alba
ស្រុកមេមត់	Memot District
ស្រុកលំផាត់	Lumphat District
ឧទ្យានជាតិវីរៈជ័យ	Virachey National Park
ទំព័រគំរូ:Lang-ta	Template:Lang-ta
បរិស្ថាន	Environment (biophysical)
ស៊ុកូឡា	History of chocolate in Spain
យ៉ាបា	Ya ba
ចំនួនអូតូម៉ហ្វីស	Automorphic number
អូរកែវ	Óc Eo
ពហុធាប៊ែរនូយី	Bernoulli polynomials
ច្បាប់កំលាំងរបស់អំពែរ	Ampère's force law
ព្រះធម្មចក្កប្បវត្តនសូត្រ	Dhammacakkappavattana Sutta
សមីការឌីផេរ៉ង់ស្យែល -អាំងតេក្រាល	Integro-differential equation
ប្រាសាទព្រះពិធូរ	Preah Pithu
ការផ្សាយពាណិជ្ជកម្ម	Display advertising
អ្នកលឿង	Neak Leung
ឃុំរលួស (ស្រុកស្វាយចេក)	Roluos
ខេត្តបលិខាំសៃ	Bolikhamsai Province
ខណ្ឌរដ្ឋបាលសាលាភីឡាដេលផ្យា	School District of Philadelphia
ស្ពានព្រះមុនីវង្ស	Monivong Bridge
ភ្នំឧដុង្គ	Oudong
ទ្រឹស្តីបទមីកេល	Miquel's theorem
វិសាខា	Visakha
ជនជាតិចារាយ(ខ្មែរលើ)	Jarai people
អនុស័យ​	Anasuya
ស្ថាបត្យករខ្មែរ	Khmer architecture
តារាងនៃស៊េរីគណិតវិទ្យា	List of mathematical series
ប្រាសាទតានៃ	Ta Nei
ចំងាយពីចំនុចមួយទៅបន្ទាត់	Distance from a point to a line
ទូរគមនាគមន៍នៅប្រទេសកម្ពុជា	Telecommunications in Cambodia
ធម្មសង្គណី	Dhammasangani
ចៅ​សែន​ កុសល​ឈុំ	Chau Sen Cocsal Chhum
ចំណូលរដ្ឋាភិបាល	Government revenue
អភិញ្ញា៦	Abhijñā
ចំនួនថេរត្រីកោណមាត្រពិត	Exact trigonometric constants
បណ្ណាល័យជាតិកម្ពុជា	National Library of Cambodia
បដ្ឋាន	Patthana
កថាវត្ថុ	Kathavatthu
ធាតុកថា	Dhatukatha
ម៉ោងនៅឥណ្ឌូនេស៊ី	Time in Indonesia
យមក	Yamaka
ជញ្ជាំងក្រហម	Redwall (novel)
ខ្មែរឥស្សរៈ	Khmer Issarak
ព្រះរាជាណាចក្រកម្ពុជា (១៩៥៣-១៩៧០)	Kingdom of Cambodia (1953–70)
វត្តព្រះកែវមរកត	Silver Pagoda, Phnom Penh
រូបមន្តតង់សង់កន្លះមុំ	Tangent half-angle formula
ដប់ប្រាំពីរមេសាជោគជ័យ	Dap Prampi Mesa Chokchey
មហេន្ទ្រវម៌្មទី១	Mahendravarman
អង្គការរៃយំ	Reyum Institute of Arts and Culture
សមីការតូរីចេល្លី	Torricelli's equation
កីឡាចុងបូព៌ាឆ្នាំ១៩១៩	1919 Far Eastern Championship Games
បណ្តុំកន្សោមរ៉ាឌីកាល់	Nested radical
កីឡាចុងបូព៌ាឆ្នាំ១៩២១	1921 Far Eastern Championship Games
ច្បាប់នៃកម្ម	Karma in Buddhism
កោណ្ឌញ្ញៈ	Kaundinya
កីឡាចុងបូព៌ាឆ្នាំ១៩៣០	1930 Far Eastern Championship Games
កីឡាចុងបូព៌ាឆ្នាំ១៩២៧	1927 Far Eastern Championship Games
កីឡាចុងបូព៌ាឆ្នាំ១៩២៣	1923 Far Eastern Championship Games
កីឡាចុងបូព៌ាឆ្នាំ១៩៣៤	1934 Far Eastern Championship Games
WNBT	WNBC
កត្តាអាំងតេក្រាល	Integrating factor
ប្រជាសាស្ត្រនៃកម្ពុជា	Demographics of Cambodia
អ្នកស្រែ	Rice People
ការបោះឆ្នោតនៅកម្ពុជា	Elections in Cambodia
រដ្ឋាភិបាលចម្រុះកម្ពុជាប្រជាធិបតេយ្យ	Coalition Government of Democratic Kampuchea
ភ្លេងបានដា	Banda (music)
ធនាគារអេស៊ីលីដា	ACLEDA Bank
ក្លឹបបាល់ទាត់ បៀលប្រាយយូណាយធីត	Build Bright University FC
សញ្ញាជាតិរបស់បណ្ដាប្រជាជាតិនៅអាស៊ី	National emblems and coats of arms of Asia
ណាយ៉ាន់ ចាន់ដា	Nayan Chanda
ប្រាសាទបាតជុំ	Bat Chum
ទ្រឹស្តីបទអូស្រ្តូស្គី	Ostrowski's theorem
ព្រហ្មជាលសូត្រ	Brahmajala Sutta (Theravada)
បណ្ដាញទូរទស្សន៍កម្ពុជា	Cambodian Television Network
Cambodge Soir	Cambodge Soir
ចំណាត់ថ្នាក់ក្រុម:អត្ថបទខ្លីមិនពេញលេញ	Category:Stubs
ចំណាត់ថ្នាក់ក្រុម:ទ្វីប	Category:Continents
ចំណាត់ថ្នាក់ក្រុម:ភូមិវិទ្យា	Category:Geology
ចំណាត់ថ្នាក់ក្រុម:យន្តហោះ	Category:Aircraft
ឆាលេស ហ្គេសស្គី	Charles Geschke
ពិធីបុណ្យចូលឆ្នាំខ្មែរ	Cambodian New Year
ជា វិជ្ជា	Chea Vichea
ព្រះរាជពិធីច្រត់ព្រះនង្គ័ល	Royal Ploughing Ceremony
កាលប្បវត្តិកម្ពុជា	Timeline of Cambodian history
ប្រវត្តិសិល្បៈភាពយន្តខ្មែរ	Cinema of Cambodia
កីឡាឧបទ្វីបអាស៊ីអាគ្នេយ៍ដែលគ្រងនឹងធ្វើនៅឆ្នាំ១៩៦៣	1963 Southeast Asian Peninsular Games
ខ្សែកោងក្លេលី	Clélie
រស់ សេរីសុទ្ធា	Ros Serey Sothea
យុទ្ធនាការកម្ពុជា	Cambodian Campaign
របាំខ្មែរ	Dance in Cambodia
ជូ ដាវី	Davy Chou
បញ្ជីស្រុក ក្រុង និង ខណ្ឌកម្ពុជា	List of Cambodian districts and sections
ក្រឡាន	Kralan
បឹងយក្សឡោម	Lake Yeak Laom
បសេនទិកោសល	Pasenadi
វីរៈ តារា	Virak Dara
ព្រឹទ្ធសភាកម្ពុជា	Senate (Cambodia)
វ៉ិចទ័រប្រាប់ទិស	Direction vector
អនុគមន៍ដសុន	Dawson function
ខេមបូឌា ដេលី	The Cambodia Daily
វត្តឧណ្ណាលោម	Wat Ounalom
ជនជាតិខ្មែរអ៊ីស្លាម	Islam in Cambodia
វិទ្យាស្ថានពុទ្ធសាសនបណ្ឌិត្យ	Buddhist Institute, Cambodia
កម្ពុជាសម័យអាណានិគមបារាំង	French Protectorate of Cambodia
ទំព័រគំរូ:ប្រព័ន្ធព្រះអាទិត្យ	Template:Solar System table
កឹម សុខា	Kem Sokha
សាលារៀនសាធារណៈស៊ីតថល	Seattle Public Schools
បញ្ជីរាយនាមប្រទេសនៅអាស៊ីតាមចំនួនប្រជាជន	List of Asian countries by population
ទន្លេនៅកម្ពុជា	List of rivers of Cambodia
ទុង សៀន	Dong Xian
មធ្យមពីតាករ	Pythagorean means
ដេរីវេនៃអនុគមន៍ត្រីកោណមាត្រ	Differentiation of trigonometric functions
សេដ្ឋកិច្ចគ្រប់គ្រង	Managerial economics
អនុរុទ្ធ	Anuruddha
ស្រុកភ្នំស្រុក	Phnom Srok District
ឃុំនរា	Norea, Cambodia
ពីរ៉ាមីត	Pyramid (geometry)
មង្គលសូត្រ	Mangala Sutta
និតិភូមិ នវរ័ត្ន	Nitipoom Navaratna
បុណ្យភ្ជុំបិណ្ឌ	Pchum Ben
ពហុធាអាបែល	Abel polynomials
ស្ពានគីហ្សូណា	Kizuna bridge
ស្ពានព្រែកតាមាក់	Prek Tamak Bridge
ការគ្រប់គ្រងរបស់ខ្មែរក្រហមនៅកម្ពុជា	Khmer Rouge rule of Cambodia
ទេវទហៈ	Devadaha
យ៉ូសែប ឆ្មារសាឡាស់	Joseph Chhmar Salas
ស៊ីន ស៊ីសាមុត	Sinn Sisamouth
វិសមភាពបាររ៉ូ	Barrow's inequality
ពន្ធតែមប្រិ៍	Stamp duty
ខុជ្ជុត្តរា	Khujjuttara
ជំនួយ:ការកត់ឈ្មោះចូល	Help:Logging in
តារាង គោល	Table of bases
អង្គការមូលនិធិអាស៊ី	The Asia Foundation
សាកលវិទ្យាល័យអន្តរជាតិ	International University, Cambodia
