ਅਫ਼ਰੀਕਾ	Africa
ਸਰਮਾਇਆ (ਕਿਤਾਬ)	Das Kapital
ਸਰਸਵਤੀ ਦੇਵੀ	Saraswati
ਸਾਹਿਤ ਆਲੋਚਨਾ	Literary criticism
ਕੋਰਟਨੀ ਕੌਕਸ	Courteney Cox
ਖੱਸੀਕਰਨ	Castration
ਪੈਰਾਗੁਏਵੀ ਜੰਗ	Paraguayan War
ਚਰਖਾ	Spinning wheel
ਚਿੰਤਕ	Intellectual
ਮੈਕਸ ਬੌਰਨ	Max Born
ਕਾਕੀਨਾਡਾ	Kakinada
ਵਿਗਿਆਨ ਦਾ ਦਰਸ਼ਨ	Philosophy of science
ਖੀਰ	Kheer
ਜਲੇਬੀ	Jalebi
ਅਰਵਿੰਦ ਕੇਜਰੀਵਾਲ	Arvind Kejriwal
ਸ਼ਿਵ ਸੈਨਾ	Shiv Sena
ਪਰੌਂਠਾ	Paratha
ਖੋਰਛੇ ਗੀਯੈਨ	Jorge Guillén
ਗੁਲਦਾਊਦੀਆਂ ਦਾ ਮੰਡੀਕਰਨ	Chrysanthemum
ਹਰਬਰਟ ਮਾਰਕਿਊਜ਼	Herbert Marcuse
ਵੈਂਕਟਰਮਨ ਰਾਮਕ੍ਰਿਸ਼ਣਨ	Venkatraman Ramakrishnan
ਰਜਨੀਕਾਂਤ	Rajinikanth
ਫਰੈਡਰਿਕ ਮੈਕਸ ਮੂਲਰ	Max Müller
ਬੇਰਾਕਰੂਸ	Veracruz
ਭਾਰਤੀ ਉਪਮਹਾਂਦੀਪ	Indian subcontinent
ਹੈਰੋਇਨ	Heroin
ਯੁਕਾਤਾਨ	Yucatán
ਉਲਕਾ ਪਿੰਡ	Meteorite
ਚਿਹਨ-ਵਿਗਿਆਨ	Semiotics
ਚੰਦਰਸ਼ੇਖਰ ਵੈਂਕਟ ਰਾਮਨ	C. V. Raman
ਦਾ ਟਵਾਈਲਾਈਟ ਸਾਗਾ: ਬ੍ਰੇਕਿੰਗ ਡੌਨ 2 (ਫ਼ਿਲਮ)	The Twilight Saga: Breaking Dawn – Part 2
ਦਾ ਟਵਾਈਲਾਈਟ ਸਾਗਾ: ਬ੍ਰੇਕਿੰਗ ਡੌਨ 1 (ਫ਼ਿਲਮ)	The Twilight Saga: Breaking Dawn – Part 1
ਨਮਸਤੇ	Namaste
ਧਰੁਵੀ ਖੇਤਰ	Polar regions of Earth
ਖਵਾਜਾ ਗ਼ੁਲਾਮ ਫ਼ਰੀਦ	Khwaja Ghulam Farid
ਜੈਰਮੀ ਬੈਂਥਮ	Jeremy Bentham
ਜੋਸਿਫ ਡੇਟਜ਼ਨ	Joseph Dietzgen
ਚਾਂਸਲਰ (ਸਿਖਿਆ)	Chancellor (education)
ਵਾਲਟਰ ਬੈਂਜਾਮਿਨ	Walter Benjamin
ਬਾਲ ਠਾਕਰੇ	Bal Thackeray
ਸੋਫੀ ਦੀ ਦੁਨੀਆਂ	Sophie's World
ਏਲੀਨੋਰ ਮਾਰਕਸ	Eleanor Marx
ਰਾਜਾ ਸਲਵਾਨ	Raja Sálbán
ਚਰਬੀਲਾ ਤਿਜ਼ਾਬ	Fatty acid
੨੦੦੮ ਓਲੰਪਿਕ ਖੇਡਾਂ ਦੇ ਵਿੱਚ ਕੁਸ਼ਤੀ – ਮਰਦਾਂ ਦੀ ਫਰੀਸਟਾਈਲ ੬੦ ਕਿਲੋਗਰਾਮ	Wrestling at the 2008 Summer Olympics – Men's freestyle 60 kg
ਕੁਰੱਤੁਲਐਨ ਹੈਦਰ	Qurratulain Hyder
ਜੁਵੇਂਟਸ ਸਟੇਡੀਅਮ	Juventus Stadium
ਇਜੇਵਾਨ	Ijevan
ਪੈਲੇਸ ਆਫ਼ ਵੈਸਟਮਿੰਸਟਰ	Palace of Westminster
ਯਿਨ ਅਤੇ ਯਾਂਗ	Yin and yang
ਬਾਰਾਂਕੀਆ	Barranquilla
ਏ ਕ੍ਰਿਸਮਸ ਕੈਰੋਲ	A Christmas Carol
ਕਾਰਟੇਜ਼ੀ ਗੁਣਕ ਪ੍ਰਬੰਧ	Cartesian coordinate system
ਲਚਕ (ਭੌਤਿਕ ਵਿਗਿਆਨ)	Elasticity (physics)
ਮੌਰੀਆ ਰਾਜਪਾਟ	Maurya Empire
ਦਰਾਮਦ	Import
ਵਾਲਟਰ ਕੌਫ਼ਮੈਨ (ਦਾਰਸ਼ਨਿਕ)	Walter Kaufmann (philosopher)
ਆਬਾਦਾਨ	Abadan, Iran
੨੦,੦੦੦ ਲੀਗਜ਼ ਅੰਡਰ ਦ ਸੀਅ	20,000 Leagues Under the Sea (1954 film)
ਬਿਜਲੀ-ਨਿਖੇੜ	Electrolysis
ਬਰੂਨੋ ਆਪਿਜ਼	Bruno Apitz
ਸੋਮ	Soma
ਥਿਓਰਮ	Theorem
ਖ਼ਲੀਫ਼ਾ	Caliph
ਡੌਇੱਚ ਬੈਂਕ	Deutsche Bank
ਮੋਰੇਲੋਸ	Morelos
ਮੈਕਸ ਗੇਰਸਨ	Max Gerson
ਜੈਪੁਰ	Jaipur
ਕਾਨਪੁਰ	Kanpur
ਇੰਦੌਰ	Indore
ਦਮਨ ਅਤੇ ਦਿਉ	Daman and Diu
ਪਾਂਡੀਚਰੀ	Puducherry
ਰਾਖਵਾਂਕਰਨ	Reservation in India
ਫ਼ੂਚੋ	Fuzhou
ਟੀਹਰੀ ਡੈਮ	Tehri Dam
ਨੈਥੇਨੀਏਲ ਹਥਾਰਨ	Nathaniel Hawthorne
ਅਜਮਲ ਕਸਾਬ	Ajmal Kasab
ਸਾਇਬੇਰੀਆਈ ਟਾਈਗਰ	Siberian tiger
ਏਅਰ ਇੰਡੀਆ	Air India
ਆਦਮ	Adam
ਕੈਰਨ ਹਾਰਨੀ	Karen Horney
ਹਸਨ ਅਬਦਾਲ	Hasan Abdal
ਐਮੰਡਸਨ ਸਮੁੰਦਰ	Amundsen Sea
ਅਪਵਰਤਨ (ਪ੍ਰਕਾਸ਼)	Refraction
ਟੋਨੀ ਮੋਰੀਸਨ	Toni Morrison
ਇਲੀਆ ਕਜ਼ਾਨ	Elia Kazan
ਤਾਈਯੂਆਨ	Taiyuan
ਸਾਊਦੀ ਅਰਬ ਦੇ ਸੂਬੇ	Regions of Saudi Arabia
ਡਾਲੀਆਨ	Dalian
ਅਨਸ਼ਾਨ	Anshan
ਫ਼ੁਸ਼ੁਨ	Fushun
ਪੱਬੀ	Plateau
ਨੈਸ਼ਨਲ ਫਿਲਮ ਡੀਵੈਲਪਮੈਂਟ ਕਾਰਪੋਰੇਸਹਨ ਆਫ਼ ਇੰਡੀਆ	National Film Development Corporation of India
ਪੀਐਰ ਦ ਫ਼ੈਰਮਾ	Pierre de Fermat
ਐੱਸ. ਸੀ. ਬ੍ਰਾਗਾ	S.C. Braga
ਸਪੋਰਤਿੰਗ ਕਲੂਬੇ ਡੀ ਪੁਰਤਗਾਲ	Sporting Clube de Portugal
ਕਲਾਰਾ ਜ਼ੈਟਕਿਨ	Clara Zetkin
ਤੇ ਡਾਨ ਵਹਿੰਦਾ ਰਿਹਾ	And Quiet Flows the Don
ਪ੍ਰਤੱਖ ਪ੍ਰਕਾਸ਼	Visible spectrum
ਕੌਰ (ਨਾਮ)	Kaur
ਚਾਰਲਸ ਬੂਕੋਵਸਕੀ	Charles Bukowski
ਲੁਡਵਿਗ ਫ਼ਿਊਰਬਾਖ	Ludwig Feuerbach
ਡਾਪਲਰ ਪ੍ਰਭਾਵ	Doppler effect
ਕਾਰਲ ਯਾਸਪਸ	Karl Jaspers
ਈ ਐਫ ਸ਼ੂਮੈਕਰ	E. F. Schumacher
ਸ਼ਤਰੰਜ ਕੇ ਖਿਲਾੜੀ (ਫ਼ਿਲਮ)	Shatranj Ke Khilari
ਅਹਿੰਸਾ	Nonviolence
ਫਰਾਂਜ਼ ਬੋਸ	Franz Boas
ਫ੍ਰੇਡਰਿਕ ਕਾਰਲ ਵੋਨ ਸਵੀਗਨੇ	Friedrich Carl von Savigny
ਆਰਨਲਡ ਸੌਮਰਫ਼ੈਲਡ	Arnold Sommerfeld
ਲੀਓ ਲੋਵੈਨਥਾਲ	Leo Löwenthal
ਕਟਿਹਾਰ ਜ਼ਿਲਾ	Katihar district
ਆਲਫ਼ਰਡ ਹਰਮਾਨ ਫ਼੍ਰੀਡ	Alfred Hermann Fried
ਸ਼ਟੇਫ਼ਾਨ ਸਵਾਈਕ	Stefan Zweig
ਹਾਂਸ ਆਈਸਲਰ	Hanns Eisler
ਸਪਾਈਡਰ-ਮੈਨ	Spider-Man
ਐਂਟੀਬਾਡੀ	Antibody
ਰਸਾਇਣਕ ਪਦਾਰਥ	Chemical substance
ਸਮੁੰਦਰੀ ਵਾਵਰੋਲ਼ਾ	Cyclone
ਮੋਮਬੱਤੀ	Candle
ਜੁੰਡੀਰਾਜ	Oligarchy
ਜਾਹਨ ਮਿਲਟਨ	John Milton
ਗਤੀ (ਭੌਤਿਕ ਵਿਗਿਆਨ)	Motion (physics)
ਫਰੈਂਡਜ਼	Friends
ਖਸਰਾ	Measles
ਅਰਦਹਾਨ ਸੂਬਾ	Ardahan Province
ਸਾਊਥਹੈਂਪਟਨ	Southampton
ਸੂਰਜੀ ਪੰਧ	Ecliptic
ਸੋਵੀਅਤ ਯੂਨੀਅਨ ਦੀ ਕਮਿਊਨਿਸਟ ਪਾਰਟੀ	Communist Party of the Soviet Union
ਫੀਫਾ ਵਿਸ਼ਵ ਕੱਪ 2014	2014 FIFA World Cup
ਸਖ਼ਿਨਵਾਲੀ	Tskhinvali
ਗ਼ੁੱਸਾ	Anger
ਈਸਿਸ	Isis
ਬਰੇਲ	Braille
ਸਾਇਟੋਪਲਾਜ਼ਮ	Cytoplasm
ਜੇ ਡੀ ਸੇਲਿੰਗਰ	J. D. Salinger
ਗ਼ੈਰ-ਸਰਕਾਰੀ ਜੱਥੇਬੰਦੀ	Non-governmental organization
ਨਾਈਆਰੀਤ	Nayarit
ਪੁਐਬਲਾ	Puebla
ਗੂੜ੍ਹ ਪਦਾਰਥ	Dark matter
ਓਮਾਨ ਦੀ ਖਾੜੀ	Gulf of Oman
ਆਗਵਾਸਕਾਲੀਐਂਤੇਸ	Aguascalientes
ਮੁਕਤੀਦਾਤਾ ਈਸਾ (ਬੁੱਤ)	Christ the Redeemer (statue)
ਐਮਾ ਗੋਲਡਮਨ	Emma Goldman
ਵਾਰਾਣਸੀ	Varanasi
ਈਥਰਨੈੱਟ	Ethernet
ਅਮਾਸਿਆ ਸੂਬਾ	Amasya Province
ਪ੍ਰਿਜ਼ਨ ਬਰੇਕ	Prison Break
ਆਗਰੀ ਸੂਬਾ	Ağrı Province
ਤਬਰੀਜ਼	Tabriz
ਡਰੈਗਨਫਲਾਈ	Dragonfly
ਪ੍ਰਤੀਕ	Symbol
ਕੁਆਰ ਗੰਦਲ	Aloe vera
ਅਭਿਵਿਅੰਜਨਾਵਾਦ	Expressionism
ਐਮਿਲੀ ਬਰੌਂਟੀ	Emily Brontë
ਪ੍ਰਚੱਲਤ ਮੁਦਰਾਵਾਂ ਦੀ ਸੂਚੀ	List of circulating currencies
ਚਿੰਪੈਂਜ਼ੀ	Chimpanzee
ਇਮਲੀ	Tamarind
ਉਰਾਲ ਦਰਿਆ	Ural River
ਸਾਕਾਤੇਕਾਸ	Zacatecas
ਸੈਲੂਲੋਜ਼	Cellulose
ਏਂਜਲ ਝਰਨਾ	Angel Falls
ਓਮ ਪੁਰੀ	Om Puri
ਲਿਬਰੇਸ਼ਨ ਟਾਈਗਰਜ਼ ਆਫ਼ ਤਾਮਿਲ ਈਲਮ	Liberation Tigers of Tamil Eelam
ਬੰਗਾਲ	Bengal
ਬਾਤਮਾਨ ਸੂਬਾ	Batman Province
ਬਾਰਾਨ	Baran (film)
ਨੈਲੀ ਫਰਟਾਡੋ	Nelly Furtado
ਅੱਨਾ ਅਖਮਾਤੋਵਾ	Anna Akhmatova
ਮੀਰੋਸਲਾਵ ਕਲੋਜ਼	Miroslav Klose
ਨਿਓਲਾ	Mongoose
ਪਟਨਾ	Patna
ਭਾਰਤੀ ਰੁਪਈਆ	Indian rupee
ਵਾਨ	Van Province
ਆਰਥਰ ਮਿਲਰ	Arthur Miller
ਰੰਗ-ਏ-ਖ਼ੁਦਾ	The Color of Paradise
ਪਣ ਬਿਜਲੀ	Hydroelectricity
ਸਪੇਨੀ ਸਾਮਰਾਜ	Spanish Empire
ਸਪੂਤਨਿਕ-1	Sputnik 1
ਏਕੀਕ੍ਰਿਤ ਸਰਕਟ	Integrated circuit
ਨਿਊਕਲੀ ਭੱਠੀ	Nuclear reactor
ਪਰਲ ਐੱਸ. ਬੱਕ	Pearl S. Buck
ਤਰਾਸਦੀ	Tragedy
ਐਪਰਲ ਫੂਲ ਡੇ	April Fools' Day
ਬੰਗਾਲ ਟਾਈਗਰ	Bengal tiger
ਨਹਿਲਵਾਦ	Nihilism
ਫ਼ਾਸ	Fes
ਭੋਪਾਲ	Bhopal
ਵਖਿਆਨ-ਕਲਾ	Rhetoric
ਮੋਂਤੇਰੇਈ	Monterrey
ਜਲ ਚੱਕਰ	Water cycle
ਹੋਮੀਓਪੈਥੀ	Homeopathy
ਇੰਜੀਨੀਅਰ	Engineer
ਉੱਤਰ ਪੱਛਮੀ ਸਮੁੰਦਰੀ ਰਾਹ	Northwest Passage
ਪਾਲੀਮਰ	Polymer
ਜਿਗਰ ਮੋਰਾਦਾਬਾਦੀ	Jigar Moradabadi
ਮਾਰਫ਼ੀਨ	Morphine
ਗੋਹ	Monitor lizard
ਏ. ਟੀ. ਐੱਮ.	Automated teller machine
ਕਾਰਲ ਪੌਪਰ	Karl Popper
ਇਸ਼ਾਰੀਆ	Decimal
ਫ੍ਰੈਕਟਲ	Fractal
ਅਲਕੀਨ	Alkene
ਮੇਜਦੂਨਾਰੋਦਨੀ ਯਾਜ਼ਿਕ	Unua Libro
ਵਾਲਟ ਵਿਟਮੈਨ	Walt Whitman
ਐਲਡਸ ਹਕਸਲੇ	Aldous Huxley
ਸ਼ਾਮ (ਇਲਾਕਾ)	Levant
ਰਸ਼ੀਦ ਜਹਾਂ	Rashid Jahan
ਅਕਾਬਾ ਦੀ ਖਾੜੀ	Gulf of Aqaba
ਦਾ ਵਿੰਚੀ ਕੋਡ	The Da Vinci Code
ਆਜੜੀ	Shepherd
ਮੂਰਾਸਾਕੀ ਸ਼ੀਕੀਬੂ	Murasaki Shikibu
ਮਜੀਦ ਮਜੀਦੀ	Majid Majidi
ਜੀਜ਼ਾ	Giza
ਇਖ਼ਨਾਤੁਨ	Akhenaten
ਏ. ਐਫ. ਸੀ. ਅਜਾਕਸ	AFC Ajax
ਯੂਕਰੇਨੀ ਹਰੀਵਨਾ	Ukrainian hryvnia
ਜਿਬਰੀਲ	Gabriel
ਚੰਬੇਲੀ	Jasmine
ਕੈਫ਼ੀ ਆਜ਼ਮੀ	Kaifi Azmi
ਫ਼ਿਰਾਕ ਗੋਰਖਪੁਰੀ	Firaq Gorakhpuri
ਜੌਨ ਕੀਟਸ	John Keats
ਜਾਹਨ ਗਾਲਜ਼ਵਰਦੀ	John Galsworthy
ਕਾ (ਸਿਰਿਲਿਕ)	Ka (Cyrillic)
ਫ਼ਰਾਮ ਪਣਜੋੜ	Fram Strait
ਸੈਮੂਅਲ ਟੇਲਰ ਕਾਲਰਿਜ	Samuel Taylor Coleridge
ਪੇ (ਸਿਰਿਲਿਕ)	Pe (Cyrillic)
ਰਗੜ	Friction
ਈ (ਸਿਰਿਲਿਕ)	I (Cyrillic)
ਲਹੂ ਦਾ ਦਬਾਅ	Blood pressure
ਖੜੀਆ ਮਿੱਟੀ	Gypsum
ਇਰਾਨ-ਇਰਾਕ ਯੁੱਧ	Iran–Iraq War
ਰਿਡਾਕਸ	Redox
ਸਟੇਡੀਓ ਸਨ ਪਾਓਲੋ	Stadio San Paolo
ਠੋਡੀ	Chin
ਕਾਂਜੀ (ਲਿੱਪੀ)	Kanji
ਜੋਜ਼ਿਫ ਕੋਨਰਾਡ	Joseph Conrad
ਕੋਰਲ ਸਾਗਰ	Coral Sea
ਭਾਰਤ ਦੇ ਸੱਤ ਅਜੂਬੇ	Times of India's list of seven wonders of India
ਸੇਂਟ ਸਾਈਮਨ	Claude Henri de Rouvroy, comte de Saint-Simon
ਕਾਤਾਕਾਨਾ	Katakana
ਸਿਆਸਤਦਾਨ	Politician
ਹਿੰਦਸਾ	Numerical digit
ਆਂਤੋਨੀਓ ਗਰਾਮਸ਼ੀ	Antonio Gramsci
ਖੁੰਭ	Mushroom
ਜਨ ਗਣ ਮਨ	Jana Gana Mana
ਤਾਈਪੇ ੧੦੧	Taipei 101
ਰਸਾਇਣਕ ਫ਼ਾਰਮੂਲਾ	Chemical formula
ਪ੍ਰੋਮੀਥੀਅਸ	Prometheus
ਅਫ਼ਰੀਕੀ ਨੈਸ਼ਨਲ ਕਾਂਗਰਸ	African National Congress
ਸ਼ਰੀਨਿਵਾਸ ਰਾਮਾਨੁਜਨ ਆਇੰਗਰ	Srinivasa Ramanujan
ਈਸਟ ਇੰਡੀਆ ਕੰਪਨੀ	East India Company
ਜਾਇਫਲ	Nutmeg
ਜਲਮੰਡਲ	Hydrosphere
ਰੋਮੀਓ ਜੂਲੀਅਟ	Romeo and Juliet
ਕੈਂਡੇਲਾ	Candela
ਜੁਰਮ	Crime
ਹਤਾਏ	Hatay Province
ਮੋਸਲ	Mosul
ਸ਼ੋਰੇ ਦਾ ਤਿਜ਼ਾਬ	Nitric acid
ਗੁਰੂ ਨਾਨਕ ਦੇਵ	Guru Nanak
ਪਾਮੇਲਾ ਐਂਡਰਸਨ	Pamela Anderson
ਲੂਈ ਡ ਬਰੌਈ	Louis de Broglie
ਰੋਬਿਨ ਵਿਲੀਅਮਸ	Robin Williams
ਬਾਰਤੀਨ ਸੂਬਾ	Bartın Province
ਓਰੀਗਾਮੀ	Origami
ਅੰਗੂਠਾ	Thumb
ਸ਼ਾਕਾਹਾਰ	Vegetarianism
ਐਲੀਨੌਰ ਰੂਜ਼ਵੈਲਟ	Eleanor Roosevelt
ਸਪਾਰਟਾਕਸ	Spartacus
ਅਵੈਸਤਾ	Avesta
ਮੇਗਾਡੇਥ	Megadeth
ਸਾਊਥਾਲ	Southall
ਕੁੱਲੂ	Kullu
ਓਲਡ ਟਰੈਫ਼ਡ	Old Trafford
ਦ ਮੈਟਰਿਕਸ (ਫਿਲਮ)	The Matrix
ਬੁੱਧੀ	Intelligence
ਇਜ਼ਾਬੇਲ ਅਲੈਂਦੇ	Isabel Allende
ਸਿੱਖ ਸਲਤਨਤ	Sikh Empire
ਸ਼ਾਹ ਜਹਾਂ	Shah Jahan
ਸ਼ੇਰ ਸ਼ਾਹ ਸੂਰੀ	Sher Shah Suri
ਸ਼ਿਮਲਾ	Shimla
ਅਲਕਸਬਾ ਆਲਮੇਰੀਆ	Alcazaba of Almería
ਅੱਲ੍ਹਾ ਦੇ ਨਾਮ	Names of God in Islam
﻿ਸਾਸਾਨੀ ਸਲਤਨਤ	Sasanian Empire
ਜਨਮ ਅਤੇ ਮੌਤ ਰਜਿਸਟਰੇਸ਼ਨ	Birth certificate
ਕੇਨਜ਼ੀ ਅਰਥਸ਼ਾਸਤਰ	Keynesian economics
ਹਾਂਸ ਕੈਲਜ਼ਨ	Hans Kelsen
ਫ਼ਰਿਟਜੋਫ਼ ਕਾਪਰਾ	Fritjof Capra
ਹੱਥਲਿਖਤ	Manuscript
ਅਫ਼ਰੀਕੀ ਮਹਾਨ ਝੀਲਾਂ	African Great Lakes
ਖ਼ਪਤ ਸੱਭਿਆਚਾਰ	Consumerism
ਸ਼ਟੈਫ਼ਾਨ ਹੈੱਲ	Stefan Hell
ਚਾਂਗਚੁਨ	Changchun
ਜਿਲਿਨ	Jilin City
ਫਰਮਾ:Cite book	Template:Cite book
ਐਲਿਸਜ਼ ਅਡਵੈਂਚਰਜ ਇਨ ਵੰਡਰਲੈਂਡ	Alice's Adventures in Wonderland
ਸੁਭਾਸ਼ ਕਾਕ	Subhash Kak
ਮਿਲਾਨ ਕੁੰਦਰਾ	Milan Kundera
ਗਾਇਆ (ਮਿਥਹਾਸ)	Gaia (mythology)
ਸਲੋਕੀ ਸਲਤਨਤ	Seleucid Empire
ਲੂਈ ਬਰੇਲ	Louis Braille
ਆਂਡਾ	Egg (food)
ਤਲਾਕ	Divorce
ਬਾਲੀਵੁੱਡ	Bollywood
ਗੁਲ ਲਾਲਾ	Tulip
ਰਾਵਲਪਿੰਡੀ	Rawalpindi
ਗਜਿਆਂਤੇਪ	Gaziantep
ਪਰਸੀ ਬਿਸ਼ ਸ਼ੈਲੇ	Percy Bysshe Shelley
ਸੇਮਸ ਜਸਟਿਨ ਹੇਨੀ	Seamus Heaney
ਕ੍ਰਿਸਟੋਫ਼ਰ ਪਾਓਲਿਨੀ	Christopher Paolini
ਚਮਨ ਲਾਲ ਚਮਨ	Chaman Lal Chaman
ਨਗੌਰਨੋ-ਕਾਰਾਬਾਖ ਦਰਾਮ	Nagorno-Karabakh dram
ਜਿਬਰਾਲਟਰ ਸਿਟੀ ਹਾਲ	Gibraltar City Hall
ਭਾਰਤੀ ਖੇਤਰੀ ਜਹਾਜ਼ਰਾਨੀ ਉੱਪਗ੍ਰਹਿ ਪ੍ਰਬੰਧ	Indian Regional Navigation Satellite System
ਤੀਆਨਾਨਮੇਨ ਚੌਕ ਹੱਤਿਆਕਾਂਡ	Tiananmen Square protests of 1989
ਸੁਖੈਨ ਮੌਤ	Euthanasia
ਪਰਿਭਾਸ਼ਾ	Definition
ਪ੍ਰੋਟੋਜ਼ੋਆ	Protozoa
ਰਾਸਤਾਫਾਰੀ ਲਹਿਰ	Rastafari movement
ਐਸਟਰ	Ester
ਐਲਡੀਹਾਈਡ	Aldehyde
ਮਰਾਕਿਸ਼	Marrakesh
ਮੇਰੀ ਵੁਲਸਟਨਕਰਾਫ਼ਟ	Mary Wollstonecraft
ਨਦੀਨ	Weed
ਪਾਵੋ ਨੂਰਮੀ	Paavo Nurmi
ਬੌਖ਼ੂਸੀਆ ਮੋਨਛੇਨਗਲਾਡਬਾਛ	Borussia Mönchengladbach
ਅਪਾਚੀ	Apache
ਨਿਊਕਲੀਆਨ	Nucleon
ਵਗਣਹਾਰ	Fluid
ਅਬਾਜ਼ਾ	Abaza (town)
ਰਸਾਇਣਕ ਸੰਕੇਤ	Chemical symbol
ਹੈਰੀਅਟ ਬੀਚਰ ਸਟੋ	Harriet Beecher Stowe
ਆਡੀਗੇਸਕ	Adygeysk
ਅਲੇਸਕ	Aleysk
ਦੋ-ਅੱਖੀ ਦੂਰਬੀਨ	Binoculars
ਅਬਦੂਲੀਨੋ	Abdulino
ਹੈਰਤਾ ਬਰਲਿਨ	Hertha BSC
ਆਗੀਡੇਲ	Agidel
ਆਗ੍ਰੀਜ਼	Agryz
ਰੱਸਾਕਸ਼ੀ	Tug of war
ਮਧੂ ਮੱਖੀ	Honey bee
ਐਵਾਂ ਗਾਰਦ	Avant-garde
ਮੀਸ਼ੇਲ ਵੇਲਬੇਕ	Michel Houellebecq
ਅਕ-ਡੋਵੂਰਾਕ	Ak-Dovurak
ਅਕਸੈ	Aksay, Rostov Oblast
ਸਾਰਸ (ਰੋਗ)	Severe acute respiratory syndrome
ਅਲਾਗਿਰ	Alagir
ਅਲਾਪਾਏਵਸਕ	Alapayevsk
ਈਥਰ	Ether
ਅਲਾਟਿਰ	Alatyr, Chuvash Republic
ਅਲਦਾਨ	Aldan, Russia
ਖ਼ੋਸੇ ਮਾਰਤੀ	José Martí
ਜੈਨੀਫ਼ਰ ਕੌਨਲੀ	Jennifer Connelly
ਭੌਂ-ਗੁਲਾਮੀ	Serfdom
ਅਲੈਗਜ਼ੈਂਡਰੋਵ	Alexandrov, Vladimir Oblast
ਐਲੈਗਜ਼ੈਂਡ੍ਰੋਵਸਕ	Alexandrovsk, Perm Krai
ਐਲੈਗਜ਼ੈਂਡ੍ਰੋਵਸਕ-ਸਾਖਾਲਿੰਸਕੀ	Alexandrovsk-Sakhalinsky (town)
ਅਲੈਗਜ਼ੈਵਕਾ, ਬੈਲਗੋਰੋਡ	Alexeyevka, Belgorod Oblast
ਅਲੇਕਸਿਨ	Aleksin
ਅਲਜ਼ਾਮੇ	Alzamay
2001: ਅ ਸਪੇਸ ਓਡੀਸੀ (ਫ਼ਿਲਮ)	2001: A Space Odyssey (film)
ਅਲੇਮੇਤਯੇਵਸਕ	Almetyevsk
ਅਮੁਰਸਕ	Amursk
ਅੰਗਾਰਸਕ	Angarsk
ਐਂਡ੍ਰੀਪੋਲ	Andreapol
ਪੰਡਿਤ ਰਵੀ ਸ਼ੰਕਰ	Ravi Shankar
ਮੂਲ ਨਿਵਾਸੀ	Indigenous peoples
ਅਖਤੂਬਿੰਸਕ	Akhtubinsk
ਅਕਿੰਸਕ	Achinsk
ਯੂਕੋਨ ਦਰਿਆ	Yukon River
ਪੂਰਨਮਾਸ਼ੀ	Full moon
ਬਾਈਆ ਲੇਵਾਕੂਜ਼ਨ	Bayer 04 Leverkusen
੧. ਫੁੱਟਬਾਲ ਕਲੱਬ ਕਲਨ	1. FC Köln
ਪ੍ਰਕਾਸ਼ ਤੀਬਰਤਾ	Luminous intensity
ਮੁੱਢਲਾ ਮੇਲ-ਜੋਲ	Fundamental interaction
ਬਿਹਤਰੀਨ ਵਿਦੇਸ਼ੀ ਭਾਸ਼ਾ ਫ਼ਿਲਮ ਲਈ ਅਕਾਦਮੀ ਇਨਾਮ	Academy Award for Best Foreign Language Film
ਹੁੱਕਾ	Hookah
ਬਾਇਰ ਨਾਮ	Bayer designation
ਲੇਡੀ ਗੌਡੀਵਾ	Lady Godiva
ਉੱਤਰੀ ਕੋਰੀਆਈ ਵੌਨ	North Korean won
ਮਾਰਟਿਨ ਹੀਜ਼ਨਬਰਗ	Martin Heisenberg
ਮਾਂਗਨਸ ਕਾਸਨ	Magnus Carlsen
ਵੀਰ-ਜ਼ਾਰਾ	Veer-Zaara
ਯੂਰੇਨੀਅਮ-ਪਾਰ ਤੱਤ	Transuranium element
ਮਿਰਜ਼ਾ ਗ਼ਾਲਿਬ	Ghalib
ਮੁਹੰਮਦ ਇਬਰਾਹਿਮ ਜ਼ੌਕ	Mohammad Ibrahim Zauq
ਜਗਜੀਤ ਸਿੰਘ	Jagjit Singh
ਰਾਜੇਸ਼ ਖੰਨਾ	Rajesh Khanna
ਪਟਸਨ	Jute
ਅਧਰੰਗ	Paralysis
ਸੂਬਾ	Federated state
ਹਰਗੋਬਿੰਦ ਖੁਰਾਣਾ	Har Gobind Khorana
ਭੌਤਿਕ ਮਾਤਰਾ	Physical quantity
ਵਾਲਮੀਰਾ	Valmiera
ਕੁੰਦੂਜ਼	Kunduz
ਸਪਾਰਟਾਕਸ (ਫ਼ਿਲਮ)	Spartacus (film)
ਤੀਰਅੰਦਾਜ਼ੀ	Archery
ਏ. ਆਰ. ਰਹਿਮਾਨ	A. R. Rahman
ਦ ਗ੍ਰੇਟ ਡਿਕਟੇਟਰ	The Great Dictator
ਦੋਗਾਣਾ	Duet
ਟਾਪੂ ਦੇਸ਼	Island country
ਹੁਸੈਨ	Husayn ibn Ali
ਮੈਕਸੀਕੋ ਦੇ ਪ੍ਰਬੰਧਕੀ ਵਿਭਾਗ	Administrative divisions of Mexico
ਕਾਮਦੇਵ	Kamadeva
ਰਾਧਾ	Radha
ਵਿੱਤੀ ਸੰਕਟ	Financial crisis
ਇੰਸਟੀਟਿਊਟ ਡੇ ਡ੍ਰੌਇਟ ਇੰਟਰਨੈਸ਼ਨਲ	Institut de Droit International
ਹਜ਼ਾਰਾ ਲੋਕ	Hazara people
