Aafrika	Africa
Ristpart	Common shelduck
Burgundia ajalugu	History of Burgundy
Sooräts	Short-eared owl
Hallrästas	Fieldfare
Korduv raseduse katkemine	Recurrent miscarriage
Karlskrona	Karlskrona
Žilina	Žilina
Trondheim	Trondheim
Seemnetaimed	Spermatophyte
Hulkjalgsed	Myriapoda
Putuktoidulised	Insectivora
Rahvusvahelised veed	International waters
Devolutsioonisõda	War of Devolution
2. aastatuhat	2nd millennium
1. aastatuhat	1st millennium
Aleksandr Glazunov	Alexander Glazunov
Boriss Berezovski (pianist)	Boris Berezovsky (pianist)
Lõopistrik	Eurasian hobby
Hallhani	Greylag goose
Rääkspart	Gadwall
Antiloobid	Antelope
Jäneslased	Leporidae
Kaldapääsuke	Sand martin
Hiirlased	Muridae
Longyearbyen	Longyearbyen
Merisk	Eurasian oystercatcher
Rähnilised	Piciformes
Luitsnokk-part	Northern shoveler
Eskimo-aleuudi keeled	Eskimo–Aleut languages
Pikatiivalised	Apodiformes
Ğabdelxäy Äxätov	Gabdulkhay Akhatov
Orbitaaljaam	Space station
Põldlõoke	Eurasian skylark
Põldvarblane	Eurasian tree sparrow
Mikko Paananen	Mikko Paananen
Hermann Hesse	Hermann Hesse
Kurvitsalised	Charadriiformes
Kušaani riik	Kushan Empire
Hänilane	Western yellow wagtail
Kesk-Euroopa aeg	Central European Time
Nelgilised	Caryophyllaceae
Puri	Sail
Korvpalli maailmameistrivõistlused	FIBA Basketball World Cup
Sergei Botkin	Sergey Botkin
Harilik loorberipuu	Laurus nobilis
Emerson Burton	Janne Puurtinen
Kaklased	True owl
Rukkirääk	Corn crake
Kaelustuvi	Common wood pigeon
Mika Karppinen	Mika Karppinen
Kanepilind	Common linnet
Borås	Borås
Metsnugis	European pine marten
Rästaslased	Thrush (bird)
Räästapääsuke	Common house martin
Lõuna-Taani piirkond	Region of Southern Denmark
Junkers Ju 52	Junkers Ju 52
Põhja-Jüütimaa piirkond	North Denmark Region
Vitim	Vitim River
Klaas-Jan Huntelaar	Klaas-Jan Huntelaar
Pealinna piirkond	Capital Region of Denmark
Sinihape	Hydrogen cyanide
Irrawaddy	Irrawaddy River
Waddenzee	Wadden Sea
Ištari värav	Ishtar Gate
Šaakali päev	The Day of the Jackal
Tromsø	Tromsø
Väiketiir	Little tern
Üksildane Mägi	Lonely Mountain
Suspensioon	Suspension (chemistry)
Vilepuhuja	Whistleblower
Nurmkana	Grey partridge
Metskurvits	Eurasian woodcock
Love Metal	Love Metal
Al-Hirmil	Hermel
Prešov	Prešov
Öösorrilised	Caprimulgiformes
Väikehüüp	Little bittern
An-Nabaţīyah at-Taḩtā	Nabatieh
Siidisaba	Bohemian waxwing
Õõnetuvi	Stock dove
Dark Light	Dark Light (HIM album)
Naaskelnokk	Pied avocet
Växjö	Växjö
Venus Doom	Venus Doom
De Havilland Comet	De Havilland Comet
An-Nuqāţ al-Khamsi omavalitsus	Nuqat al Khams
24 minutit	24 Minutes
Schleswigi hertsogkond	Duchy of Schleswig
Trnava	Trnava
Sint Eustatius	Sint Eustatius
Kvaternaar	Quaternary
Suur skisma	Western Schism
Rohevint	European greenfinch
Siioni tarkade protokollid	The Protocols of the Elders of Zion
Mustvares	Carrion crow
Talvike	Yellowhammer
Suur-kirjurähn	Great spotted woodpecker
3. aastatuhat	3rd millennium
Asparilaadsed	Asparagales
Esbjerg	Esbjerg
CGS-süsteem	Centimetre–gram–second system of units
Russiini keel	Rusyn language
Madeira	Madeira
2. aastatuhat eKr	2nd millennium BC
Neitsisaared	Virgin Islands
Uneasy Listening Vol. 1	Uneasy Listening Vol. 1
Luleå	Luleå
Purus	Purus River
Sint Maarten	Sint Maarten
Uneasy Listening Vol. 2	Uneasy Listening Vol. 2
Ondatra	Muskrat
UI	UI
Adžaarid	Adjarians
Elektryon	Electryon
Hapu oblikas	Sorrel
Paiseleht	Tussilago
Patryk Dominik Sztyber	Patryk Dominik Sztyber
Seebipuulaadsed	Sapindales
Niccolò Cusano ülikool	Università degli Studi Niccolò Cusano
Carol Greider	Carol W. Greider
Harilik kadakas	Juniperus communis
Elektrostaatika	Electrostatics
Kalmar	Kalmar
Laulurästas	Song thrush
Harilik luuderohi	Hedera helix
Zoran Primorac	Zoran Primorac
Oljokma	Olyokma River
Kuna	Croatian kuna
Podkamennaja Tunguska	Podkamennaya Tunguska River
Nokalised	Hemiptera
Takeshi Kitano	Takeshi Kitano
Faasanlased	Phasianidae
Digital Versatile Doom	Digital Versatile Doom
Iago Aspas	Iago Aspas
Kägulased	Cuckoo
Aatomifüüsika	Atomic physics
Tee ise	Do it yourself
Angerjas	European eel
Kuu faasid	Lunar phase
Poprad	Poprad
Kalā-i Now	Qala i Naw, Afghanistan
Nitra	Nitra
Rahvusringhääling	Public broadcasting
Ahaggar	Hoggar Mountains
Zëri i Popullit	Zëri i Popullit
Variserid	Pharisees
Akashi	Akashi, Hyōgo
Karvasjalg-viu	Rough-legged buzzard
Yokkaichi	Yokkaichi, Mie
Tutkas	Ruff
Hangelind	Snow bunting
Hakodate	Hakodate, Hokkaido
Kivitäks	Northern wheatear
Dordrecht	Dordrecht
Salween	Salween River
Soobel	Sable
Calista Flockhart	Calista Flockhart
Montpelier	Montpelier, Vermont
Kalakajakas	Common gull
Alam-Tunguska	Nizhnyaya Tunguska River
Tilburg	Tilburg
Roo-loorkull	Western marsh harrier
Viljui	Vilyuy River
Arguni jõgi	Argun River (Asia)
Viļaka	Viļaka
Kalli (Koonga)	Kalli, Pärnu County
Tuttvart	Tufted duck
Piccadilly Circuse metroojaam	Piccadilly Circus tube station
Rabahani	Bean goose
Viupart	Eurasian wigeon
Geopolümeerid	Geopolymer
Muaree-efekt	Moiré pattern
Een-reaktsioon	Ene reaction
Väikealk	Little auk
Gregoriuse koraal	Gregorian chant
Sundsvall	Sundsvall
Love Story	Love Story
Tuuletallaja	Common kestrel
Gruusia lipp	Flag of Georgia (country)
Eskilstuna	Eskilstuna
1040. aastad	1040s
Tyleri maakond	Tyler County, Texas
Fyn	Funen
Vanamees ja meri	The Old Man and the Sea
Falun	Falun
Loode	Fetus
Östersund	Östersund
Luis Alberto Suárez	Luis Suárez
Södertälje	Södertälje
Hidalgo maakond	Hidalgo County, Texas
Halmstad	Halmstad
Drammen	Drammen
Kosmosesond	Space probe
Loorberilised	Lauraceae
Tehiskaaslane	Satellite
Aed-mädarõigas	Horseradish
Jakk	Yak
Kuuse-käbilind	Red crossbill
Lapse seksuaalne kuritarvitamine	Child sexual abuse
Higinio Uriarte	Higinio Uriarte
William Kidd	William Kidd
Naarits	European mink
Roskilde	Roskilde
Duchesne'i maakond	Duchesne County, Utah
Karelehelised	Boraginaceae
Zaḩlah	Zahlé
Soo-loorkull	Montagu's harrier
Sinirind	Bluethroat
Tuhkur	European polecat
Brooksi maakond (Texas)	Brooks County, Texas
Kesk-Jüütimaa	Central Denmark Region
Galvestoni maakond	Galveston County, Texas
Sjællandi piirkond	Zealand Region
Tiesenhausen	Tyzenhaus
Aul	Long-tailed duck
Chambersi maakond (Texas)	Chambers County, Texas
Fukuoka	Fukuoka
Väikeluik	Tundra swan
Guadalupe maakond	Guadalupe County, Texas
Kaljukajakas	Black-legged kittiwake
Kanarbik	Calluna
Lepalind	Common redstart
San Juani maakond (Utah)	San Juan County, Utah
Ruiklased	Rallidae
Kurvitslased	Sandpiper
Kane'i maakond (Utah)	Kane County, Utah
Merikajakas	Great black-backed gull
Merivart	Greater scaup
Kaelusrästas	Ring ouzel
Soorüdi	Dunlin
Pöialpoiss	Goldcrest
Punaselg-õgija	Red-backed shrike
Hi-Fi	High fidelity
Suula	Northern gannet
Harrise maakond (Texas)	Harris County, Texas
BMW	BMW
Valgepõsk-lagle	Barnacle goose
Palestiina Vabastusorganisatsioon	Palestine Liberation Organization
Lunn	Atlantic puffin
Aedtill	Dill
Juabi maakond	Juab County, Utah
Punakurk-kaur	Red-throated loon
Garaşsyz, Bitarap, Türkmenistanyň Döwlet Gimni	National anthem of Turkmenistan
Lionel Richie	Lionel Richie
Hahk	Common eider
Võsaraat	Dunnock
Kardinal Richelieu	Cardinal Richelieu
Newtoni binoomvalem	Binomial theorem
Mudanepp	Jack snipe
DeWitti maakond	DeWitt County, Texas
Ba (Fidži)	Ba (town)
Öösorr	European nightjar
Läänegermaani keeled	West Germanic languages
Ironi maakond (Utah)	Iron County, Utah
Harilik kanep	Cannabis sativa
Kanada lagle	Canada goose
Nelk (vürts)	Clove
Józef Gosławski	Józef Gosławski (sculptor)
Garfieldi maakond (Utah)	Garfield County, Utah
Punapea-vart	Common pochard
Harilik vaher	Acer platanoides
Must-lepalind	Black redstart
Oklo georeaktor	Oklo
Sierra Nevada (USA)	Sierra Nevada (U.S.)
Kuusk (perekond)	Spruce
Bergen	Bergen
Junkers Ju 87	Junkers Ju 87
Olenjoki jõgi	Olenyok River
Randtiir	Arctic tern
Ab urbe condita	Ab urbe condita
Danny DeVito	Danny DeVito
Harilik köömen	Caraway
Liivatüll	Common ringed plover
Alentejo	Alentejo
Herodotos	Herodotus
Algarve	Algarve
Bertil Antonsson	Bertil Antonsson
Othello	Othello
Halljänes	European hare
Majasoomukas	Silverfish
Mõõkvaal	Killer whale
Metskalkun	Wild turkey
Galaatia	Galatia
Meririst	Aurelia aurita
Täilised	Sucking louse
Väike lemmel	Lemna minor
Taylor Swift	Taylor Swift
Helsingør	Helsingør
Teraviljakombain	Combine harvester
Davenport	Davenport, Iowa
Croydon	London Borough of Croydon
Kivirullija	Ruddy turnstone
Sierra Nevada	Sierra Nevada
Jää-tormilind	Northern fulmar
Terrelli maakond (Texas)	Terrell County, Texas
Harilik hobukastan	Aesculus hippocastanum
Lumehani	Snow goose
Kasum	Profit (economics)
Randal	Harbor seal
Phokise piirkonnaüksus	Phocis
Khālid ibn al-Walīd	Khalid ibn al-Walid
Alfa Romeo	Alfa Romeo
Lakshadweep	Lakshadweep
Suur takjas	Arctium lappa
Pete Townshend	Pete Townshend
Kristianstad	Kristianstad
Epigeneetika	Epigenetics
Päevalill	Helianthus
Sierra Nevada (Hispaania)	Sierra Nevada (Spain)
Sookiur	Meadow pipit
Rootsiitsitaja	Common reed bunting
Nõmmelõoke	Woodlark
Geeniekspressioon	Gene expression
Pruunselg-põõsalind	Common whitethroat
Tuttlõoke	Crested lark
Naa-dene keeled	Na-Dene languages
Cooki saared	Cook Islands
Hiina Vabariigi ja Paraguay suhted	Paraguay–Taiwan relations
Martin	Martin, Slovakia
Külanõukogu	Selsoviet
Libedik	Abomasum
Bardejov	Bardejov
Trinity maakond	Trinity County, Texas
Mügri	European water vole
Jaapani tähtaniisipuu	Illicium anisatum
Leoni maakond (Texas)	Leon County, Texas
Hobune (perekond)	Equus (genus)
Pringel	Harbour porpoise
Apteegitill	Foeniculum
Duvali maakond (Texas)	Duval County, Texas
Zagrebi maakond	Zagreb County
Grandi maakond (Utah)	Grand County, Utah
Wayne'i maakond (Utah)	Wayne County, Utah
Jooksiklased	Ground beetle
Mustlagle	Brant goose
Cameroni maakond	Cameron County, Texas
Mäger	European badger
Aston Martin	Aston Martin
Mitokondriaalne DNA	Mitochondrial DNA
Harilik soolikarohi	Tansy
Miljondikosa	Parts-per notation
Jaapani meri	Sea of Japan
Atlandi merilest	European plaice
Alk	Razorbill
Vejle	Vejle
Kolding	Kolding
Räusktiir	Caspian tern
Soontaimed	Vascular plant
Al-Hufūf	Hofuf
Aktiivvõimsus	Electric power
Seebipuulised	Sapindaceae
Ærø	Ærø
Tõmmukajakas	Lesser black-backed gull
Kladovo	Kladovo
Harilik härjasilm	Leucanthemum vulgare
Osarõhk	Partial pressure
Randers	Randers
Klaasist võti (auhind)	Glass Key award
Rohunepp	Great snipe
Füüsiline antropoloogia	Biological anthropology
Buqayq	Abqaiq
Mink	American mink
Injupiaki keel	Inupiat language
Lutikalised	Heteroptera
Ela ja lase teistel surra (film)	Live and Let Die (film)
Luukalad	Osteichthyes
Aleuudi keel	Aleut language
Mustviires	Black tern
Kamo jõgi	Kamo River
Halltsiitsitaja	Corn bunting
Nõmmekiur	Tawny pipit
Utah' maakond	Utah County, Utah
Ida-Aasia	East Asia
Kõrkja-roolind	Sedge warbler
Salu-lehelind	Willow warbler
Washingtoni maakond (Utah)	Washington County, Utah
Takjas	Arctium
Kesk-Aasia	Central Asia
Kaneelipuu	Cinnamomum
E (täpsustus)	E (disambiguation)
Lääne-Aasia	Western Asia
Aastate loend	List of centuries
Preisi kuningriik	Kingdom of Prussia
Bertone	Gruppo Bertone
Põhja-Aasia	North Asia
Emakala	Viviparous eelpout
Konnarohulaadsed	Alismatales
Hambaarst	Dentist
Angloameerika	Anglo-America
Jugapuu (perekond)	Taxus
Kivinugis	Beech marten
Hallhüljes	Grey seal
Jääkajakas	Glaucous gull
Põhja-Aafrika	North Africa
Lõuna-Aafrika	Southern Africa
Ida-Aafrika	East Africa
Modern Talking	Modern Talking
Kesk-Aafrika	Central Africa
Mustvaeras	Common scoter
Must-kärbsenäpp	European pied flycatcher
Kütid-korilased	Hunter-gatherer
Uddevalla	Uddevalla
Lõuna-Euroopa	Southern Europe
Frederikshavn	Frederikshavn
Rohukonn	Common frog
Ida-Euroopa	Eastern Europe
Põhja-Euroopa	Northern Europe
Aas-jürilill	Cardamine pratensis
Lääne-Euroopa	Western Europe
Kollane nartsiss	Narcissus pseudonarcissus
Kesk-Euroopa	Central Europe
Langeland	Langeland
Daimler	Daimler AG
Ružomberok	Ružomberok
Tutt-tiir	Sandwich tern
Abasiini keel	Abaza language
Kärbselised	Brachycera
Ferrari	Ferrari
Kajaklased	Gull
AC/DC	AC/DC
Fiat	Fiat Automobiles
Vassili saar	Vasilyevsky Island
Sääselised	Nematocera
Harilik mürkputk	Cicuta virosa
Dezső Kosztolányi	Dezső Kosztolányi
Kesk-Ameerika	Central America
Kadmos	Cadmus
Kesalill	Matricaria
Peterburi Riiklik Ülikool	Saint Petersburg State University
Petrovski staadion	Petrovsky Stadium
Valge pusurohi	Silene latifolia
Substraat (lingvistika)	Stratum (linguistics)
Mihhail Bakunin	Mikhail Bakunin
Harilik äiatar	Knautia arvensis
Filosoofia ajalugu	History of philosophy
Jīzān	Jizan
Rootsi kriminaalkirjanduse auhind	Best Swedish Crime Novel Award
Käosulane	Icterine warbler
Harilik tokkroos	Alcea rosea
Datlipalm (perekond)	Phoenix (plant)
Hotell	Hotel
Euroopa homaar	Homarus gammarus
Emre Can	Emre Can
Madeira (vein)	Madeira wine
Neeva laht	Neva Bay
Toakilk	House cricket
Mittelehikseened	Agaricomycetes
Ritsikalised	Ensifera
Metshobune	Wild horse
Ohakalind (perekond)	Carduelis
Adõgee keel	Adyghe language
Q (täpsustus)	Q (disambiguation)
Inuiti keeled	Inuit languages
Afari keel	Afar language
Kristadelflased	Christadelphians
Suur kastehein	Agrostis gigantea
Oxelösund	Oxelösund
Söödav rannakarp	Blue mussel
Sorø	Sorø
Jayapura	Jayapura
Y (täpsustus)	Y (disambiguation)
Kabekari keel	Cabécar language
Neringa	Neringa municipality
Muusikapedagoogika	Music education
Seanupp	Leontodon
Bass	Bass (voice type)
Tenor	Tenor
Mööbli-toonesepp	Common furniture beetle
Cercopithecus lomamiensis	Lesula
Abel (Taani kuningas)	Abel, King of Denmark
Laulmine	Singing
Harilik soolarohi	Salicornia europaea
Imikas	Anchusa
Porgand (perekond)	Daucus
Naukani keel	Naukan Yupik language
Ainu keel	Ainu language
Jupiki keeled	Yupik languages
Tuneesia jalgpallikoondis	Tunisia national football team
Meripuju	Artemisia maritima
Pooppuu	Sorbus × intermedia
Keksumäng	Hopscotch
Poeedinartsiss	Narcissus poeticus
Harilik käokuld	Helichrysum arenarium
Ümaralehine kellukas	Campanula rotundifolia
Lääne-Kanada inuktituti keel	Inuvialuktun
Alutiigi keel	Alutiiq language
Kesk-Siberi jupiki keel	Central Siberian Yupik language
Akani keel	Akan language
Alfonso Cuarón	Alfonso Cuarón
A (täpsustus)	A (disambiguation)
Raouli saar	Raoul Island
Judi Dench	Judi Dench
ISO 3166-2:US	ISO 3166-2:US
Akavai keel	Kapóng language
Inuinnaqtun	Inuinnaqtun
Adolf Eichmann	Adolf Eichmann
Egiptuse jalgpallikoondis	Egypt national football team
Algonkini keel	Algonquin language
Aa (perekond)	Aa (plant)
Osi	Equisetum
Suitsupääsuke (perekond)	Hirundo
James Krüss	James Krüss
Air Åland	Air Åland
John Shea	John Shea
Sireniki keel	Sirenik Eskimo language
Kaneel	Cinnamon
Jefferson City	Jefferson City, Missouri
Jackson (Mississippi)	Jackson, Mississippi
Põrsashein	Hypochaeris
Augusta (Maine)	Augusta, Maine
Baton Rouge	Baton Rouge, Louisiana
Magrib	Maghreb
Hõbekajakas	European herring gull
Lansing	Lansing, Michigan
Amhara keel	Amharic
Concord	Concord, New Hampshire
Siillased	Erinaceidae
Lincoln (Nebraska)	Lincoln, Nebraska
Annapolis	Annapolis, Maryland
Burleigh' maakond	Burleigh County, North Dakota
Ystad	Ystad
Eddie Redmayne	Eddie Redmayne
Alklased	Auk
Aedseller	Celery
Nunivaki tšupiki murre	Nunivak Cup'ig language
Khvee keel	Khwe language
Liblikalised	Lepidoptera
Örnsköldsvik	Örnsköldsvik
Prantsusmaa ülemerepiirkonnad	Overseas region
Ajurand	Shoal
Widerøe	Widerøe
Lipoproteiidid	Lipoprotein
Magnetiline läbitavus	Permeability (electromagnetism)
Põldvutt	Common quail
Harilik aspar	Asparagus
Kungsbacka	Kungsbacka
Kraad (geomeetria)	Degree (angle)
Bribri keel	Bribri language
Avaari khaaniriik	Avar Khaganate
Poonpei keel	Pohnpeian language
Käsitiivalised	Bat
Teekummel	Matricaria chamomilla
Tülllased	Charadriidae
Naksurlased	Click beetle
Hands-free-seadmed	Handsfree
36	36
Juuksed	Hair
Ümbermõõt	Perimeter
Max Brod	Max Brod
Tsiitsitajalased	Emberizidae
Ralph Fiennes	Ralph Fiennes
Williamsi maakond (Põhja-Dakota)	Williams County, North Dakota
Mortoni maakond	Morton County, North Dakota
Kõrreliselaadsed	Poales
Dunni maakond (Põhja-Dakota)	Dunn County, North Dakota
Toonekurglased	Stork
Austria-Ungari	Austria-Hungary
Springfield	Springfield, Illinois
Tarnobrzeg	Tarnobrzeg
Todor Živkov	Todor Zhivkov
Abbeville	Abbeville
Õisloomad	Anthozoa
Michel Hazanavicius	Michel Hazanavicius
Tševaki tšupiki murre	Chevak Cup’ik language
Maakond	County
Portaal:Keel	Portal:Language
David Petraeus	David Petraeus
Kultuuriantropoloogia	Cultural anthropology
Aramea keel	Aramaic language
Frankfort	Frankfort, Kentucky
Garri Kasparov	Garry Kasparov
GAZ	GAZ
Elukutse	Profession
Birdi saar	Bird Island, Seychelles
Harilik aniis	Anise
Nurisünnitus	Miscarriage
Helsingi Ülikool	University of Helsinki
Nukleosiid	Nucleoside
Kazimierz Funk	Casimir Funk
Aminoglükosiidid	Aminoglycoside
Nukleotiidid	Nucleotide
NADP	Nicotinamide adenine dinucleotide phosphate
Desoksüribonukleotiidid	Deoxyribonucleotide
Varblane	Passer
Tsinksüsielement	Zinc–carbon battery
Sacré-Cœuri kirik	Sacré-Cœur, Paris
Rakendusteadused	Applied science
Yu Hai	Yu Hai
Sändvitš	Sandwich
Kelmus	Fraud
Tekstiil	Textile
Ø	Ø
Fieldsi medal	Fields Medal
Ə	Ə
Saint Paul (Minnesota)	Saint Paul, Minnesota
Stilistika	Stylistics (field of study)
Python (programmeerimiskeel)	Python (programming language)
Islami kalender	Islamic calendar
Lahti	Lahti
Kaitsepühak	Patron saint
Stüreen	Styrene
Luce Irigaray	Luce Irigaray
Denis' saar	Denis Island
Varblaslased	Sparrow
Diagramm	Chart
Iraani ajalugu	History of Iran
Brüsseli lennujaam	Brussels Airport
Pilveatlas (film)	Cloud Atlas (film)
Alfred von Schlieffen	Alfred von Schlieffen
Linnaõigus	Town privileges
Mähkurlased	Tortricidae
Ogane astelsõnajalg	Polystichum aculeatum
Han Feizi	Han Fei
Embrüogenees	Embryogenesis
Christopher Marlowe	Christopher Marlowe
Ermanarich	Ermanaric
Krahv	Graf
Zunyi	Zunyi
Kollektiivne alateadvus	Collective unconscious
‘Abd ar-Raḩmān I	'Abd al-Rahman I
Tšau-tšau	Chow Chow
Mauno Koivisto	Mauno Koivisto
2D	2D
Esko Aho	Esko Aho
3D	3D
Miloš Zeman	Miloš Zeman
Juudapuu	Cercis
Akureyri	Akureyri
Vanderbilti Ülikool	Vanderbilt University
Sacha Baron Cohen	Sacha Baron Cohen
2011. aasta Suurbritannia rahutused	2011 England riots
Welsh Corgi Cardigan	Cardigan Welsh Corgi
Läti NSV lipp	Flag of the Latvian Soviet Socialist Republic
Chesapeake bay retriiver	Chesapeake Bay Retriever
Taks	Dachshund
Bütsantsi-Araabia sõjad	Arab–Byzantine wars
Krasnodari Kuban	FC Kuban Krasnodar
Male rahvusvaheline lennujaam	Ibrahim Nasir International Airport
Peterburi Zenit	FC Zenit Saint Petersburg
Paavo Lipponen	Paavo Lipponen
Moskva Spartak	FC Spartak Moscow
Moskva Lokomotiv	FC Lokomotiv Moscow
Jeju (täpsustus)	Jeju
Küberkuritegevus	Computer crime
Nadeždinski rajoon	Nadezhdinsky District
Liivi ordu	Livonian Order
Prantsuse buldog	French Bulldog
Nutiklaas	Smart glass
Tomáš Rosický	Tomáš Rosický
Akita (koeratõug)	Akita (dog)
Termodünaamika kolmas seadus	Third law of thermodynamics
Jalavägi	Infantry
Tuletis (matemaatika)	Derivative
Francisco Franco	Francisco Franco
Piiskop	Bishop
Supermarine Spitfire	Supermarine Spitfire
Yayi Boni	Thomas Boni Yayi
Sauli Niinistö	Sauli Niinistö
Tarja Halonen	Tarja Halonen
Sumatra ninasarvik	Sumatran rhinoceros
Charles V (täpsustus)	Charles V
Martti Ahtisaari	Martti Ahtisaari
Genesis	Genesis
Bill Murray	Bill Murray
F-15 Eagle	McDonnell Douglas F-15 Eagle
Fatalism	Fatalism
Must kast	Black box
F-35 Lightning II	Lockheed Martin F-35 Lightning II
Esimene Tšetšeenia sõda	First Chechen War
Briti lühikarvaline kass	British Shorthair
Mardipäev	St. Martin's Day
Holden	Holden
Johann Strauß	Johann Strauss (disambiguation)
Palazzo Pitti	Palazzo Pitti
ESCP Europe	ESCP Europe
Willis Tower	Willis Tower
Carl Ritter	Carl Ritter
BT-5	BT tank
Naabrivalve (film)	The Watch (2012 film)
Bagan	Bagan
Septuaginta	Septuagint
Maniche	Maniche
Orienteerumine	Orienteering
Montgomery	Montgomery, Alabama
Aškuni keel	Askunu language
Assami keel	Assamese language
Mut	Mut
Süüria keel	Assyrian Neo-Aramaic
Juneau	Juneau, Alaska
Elizabeth Smarti röövimine	Elizabeth Smart kidnapping
Nartsiss	Narcissus (plant)
Kaaba	Kaaba
Vabariiklik Partei (USA)	Republican Party (United States)
Faust (Goethe)	Goethe's Faust
Viga	Error
Harilik juudapuu	Cercis siliquastrum
Chris Smalling	Chris Smalling
Leukeemia	Leukemia
Theo Walcott	Theo Walcott
Loomuõigus	Natural law
Hurmaa	Persimmon
Vabadus viib rahva barrikaadidele	Liberty Leading the People
Paganlus	Paganism
Tihedus	Density
Kevin Durant	Kevin Durant
Rakumembraan	Cell membrane
Demokraatlik Partei (USA)	Democratic Party (United States)
Soome Vabariigi president	President of Finland
Michael Carrick	Michael Carrick
Beatrix (Madalmaade kuninganna)	Beatrix of the Netherlands
Veebikaamera	Webcam
Moedisain	Fashion design
Avalik huvi	Public interest
Škoda Auto	Škoda Auto
WiFi	Wi-Fi
Irisbus	Irisbus
Šahtarsk	Shakhtarsk
Fano lennujaam	Fano Airport
Lõolased	Lark
Sõtkas	Common goldeneye
Die Welt	Die Welt
Assuan	Aswan
Harilik nõiahammas	Lotus corniculatus
Iveco	Iveco
815	815
816	816
Inuktituti keel	Inuktitut
822	822
840	840
Assuani kubernerkond	Aswan Governorate
Eenetsi keel	Enets language
Aleksandria kubernerkond	Alexandria Governorate
823	823
3. aastatuhat eKr	3rd millennium BC
811	811
771	771
Väike oblikas	Rumex acetosella
Ersa keel	Erzya language
888	888
Lehter	Funnel
768	768
Assiut	Asyut
Assiuti kubernerkond	Asyut Governorate
851	851
205	205
159	159
107	107
162	162
103	103
802	802
Sammaltaimed	Bryophyte
Saarmas	European otter
Elektrivoolu tugevus	Electric current intensity
804	804
Madalmaade Kuningriik	Kingdom of the Netherlands
119	119
Chengdu Shi	Chengdu
118	118
Evengi keel	Evenki language
Eve keel	Ewe language
Raskuskiirendus	Gravitational acceleration
801	801
K (täpsustus)	K (disambiguation)
807	807
Turbasammal	Sphagnum
806	806
Kohvik	Coffeehouse
152	152
Võilill	Taraxacum
Poi	Buoy
240	240
Meemesilane	Western honey bee
Madalvesi	Baseflow
218	218
Apteegikaan	Hirudo medicinalis
655	655
496	496
238	238
197	197
Merivarblane	Cyclopterus lumpus
451	451
775	775
489	489
Kakskeelsus	Multilingualism
784	784
661	661
625	625
Harilik vihmauss	Lumbricus terrestris
653	653
Frederiksberg	Frederiksberg
904	904
921	921
Vähemusgrupp	Minority group
Tirtslased	Bandwing
923	923
1126	1126
668	668
Karjamaa	Pasture
636	636
Korduvkasutatav kanderaketisüsteem	Reusable launch system
408	408
464	464
Makrell	Atlantic mackerel
410	410
956	956
952	952
658	658
Meduus	Jellyfish
650	650
518	518
70	70
Linnapea	Mayor
81	81
Maailmaaeg	Greenwich Mean Time
Lumeleopard	Snow leopard
Padur	Marsh
69	69
87	87
Tuulealused saared (Lõuna-Ameerika)	Leeward Antilles
65	65
Üldine õigus	Common law
66	66
67	67
55	55
34	34
44	44
35	35
64	64
Vapsik	European hornet
504	504
Loivalised	Pinniped
453	453
161	161
169	169
481	481
ERA	ERA
151	151
Lara Gut	Lara Gut
155	155
128	128
129	129
463	463
193	193
674	674
687	687
251	251
337	337
786	786
660	660
50	50
260	260
501	501
45	45
491	491
49	49
Ecser	Ecser
978	978
Sileesia keel	Silesian language
221	221
543	543
536	536
230	230
762	762
610	610
787	787
480	480
209	209
202	202
192	192
Zhengzhou Shi	Zhengzhou
681	681
819	819
173	173
867	867
865	865
827	827
824	824
847	847
883	883
829	829
Rohtlahaukur	Prairie dog
813	813
910	910
850	850
808	808
853	853
872	872
873	873
856	856
858	858
831	831
857	857
828	828
826	826
833	833
848	848
834	834
881	881
852	852
163	163
154	154
201	201
803	803
805	805
52	52
532	532
82	82
84	84
73	73
72	72
62	62
71	71
75	75
74	74
83	83
78	78
77	77
90	90
80	80
627	627
Е	Ye (Cyrillic)
456	456
91	91
190	190
109	109
53	53
270	270
688	688
452	452
795	795
Avril Lavigne	Avril Lavigne
465	465
778	778
846	846
830	830
404	404
President	President
908	908
896	896
897	897
927	927
63	63
555	555
571	571
86	86
401	401
890	890
533	533
264	264
Mihhail Gorbatšov	Mikhail Gorbachev
99	99
415	415
483	483
469	469
462	462
459	459
466	466
402	402
761	761
780	780
675	675
689	689
774	774
759	759
Rabapistrik	Peregrine falcon
758	758
350	350
Ema Teresa	Mother Teresa
Hrazdani jõgi	Hrazdan River
782	782
760	760
785	785
783	783
767	767
766	766
211	211
232	232
204	204
188	188
98	98
894	894
Urbanus II	Pope Urban II
891	891
602	602
Stan Getz	Stan Getz
628	628
892	892
601	601
672	672
682	682
UEFA Meistrite Liiga 2013–2014	2013–14 UEFA Champions League
821	821
Cartago	Cartago, Costa Rica
648	648
686	686
664	664
677	677
Mandžukuo	Manchukuo
640	640
Tera Patrick	Tera Patrick
Al-Buḩayrāti kubernerkond	Beheira Governorate
110	110
Leptodora	Leptodora
Enderbury	Enderbury Island
111	111
137	137
Al-Wādī al-Jadīdi kubernerkond	New Valley Governorate
138	138
122	122
Põhja-Siinai kubernerkond	North Sinai Governorate
140	140
