Afrịka	Africa
Òtù:Template namespace templates	Category:Template namespace templates
Osisioma	Osisioma
Osisioma Ngwa	Osisioma Ngwa
Òtù:Dominika	Category:Dominica
Òtù:Wikimedia Foundation	Category:Wikimedia Foundation
Òtù:Wikipedia how-to	Category:Wikipedia how-to
Òtù:Wikipedia disclaimers	Category:Wikipedia disclaimers
Òtù:Ómárí	Category:Logic
Àtụ:Infobox Language	Template:Infobox language
Progressive Peoples Alliance	Progressive Peoples Alliance
Òtù:Kanyé West	Category:Kanye West
Àtụ:FULLROOTPAGENAME	Template:FULLROOTPAGENAME
Àtụ:Bot ohu	Template:Newbot
Àtụ:H:title	Template:H:title
Àtụ:DMCA	Template:DMCA
Trojany (no na Wołomin County)	Trojany, Masovian Voivodeship
Ubakala	Ubakala
Ugwunagbo	Ugwunagbo
Umudike	Umudike
Umuekwule	Umuekwule
Umukabia	Umukabia
Umuogele	Umuogele
Umuogele Ntigha	Umuogele Ntigha
Uturu	Uturu
Jí	Yam (vegetable)
Òtù:Wikipedia multilingual coordination	Category:Wikipedia multilingual coordination
Òtù:Akwụkwọ nke Momọn	Category:Book of Mormon
Òtù:Spam pages for speedy deletion	Category:Candidates for speedy deletion as spam
Àtụ:TOCleft	Template:TOC left
Òtù:Göttingen	Category:Göttingen
Wikipedia:Bots	Wikipedia:Bot policy
Òtù:President of Naigeria	Category:Presidents of Nigeria
Òtù:Nigerian state capitals	Category:State capitals in Nigeria
Szymon Szurmiej	Szymon Szurmiej
Wikipedia:Medical disclaimer	Wikipedia:Medical disclaimer
Àtụ:Start date	Template:Start date
Àtụ:RfA evu vo	Template:RfA Navigation
Wikipedia:Risk disclaimer	Wikipedia:Risk disclaimer
Àtụ:Oscoor	Template:OS coord
Wikipedia:Legal disclaimer	Wikipedia:Legal disclaimer
Àtụ:Ndọndȯ Naigeria	Template:Politics of Nigeria
Wikipedia:Content disclaimer	Wikipedia:Content disclaimer
Àtụ:Banner Main page	Template:Main Page banner
Òtù:Audio templates	Category:Audio templates
Àtụ:Infobox Language/genetic2	Template:Infobox language/genetic
Ulobibi nke Satyagraha	Satyagraha House
Wikipedia:Request for Bot status/Purbo T	Wikipedia:Bots/Requests for approval/Purbo T
Akwete	Akwete
Ihü kárírí:RecentChanges	Special:RecentChanges
Ozu Abam	Ozu Abam
