ʻApelika	Africa
Cabrejas del Campo	Cabrejas del Campo
Frechilla de Almazán	Frechilla de Almazán
Valdelagua del Cerro	Valdelagua del Cerro
Ciria	Ciria
Buitrago	Buitrago
Talveila	Talveila
Salduero	Salduero
Fuentes de Magaña	Fuentes de Magaña
Viana de Duero	Viana de Duero
Tardelcuende	Tardelcuende
Duruelo de la Sierra	Duruelo de la Sierra
Bayubas de Abajo	Bayubas de Abajo
Fuentearmegil	Fuentearmegil
Fuentelmonge	Fuentelmonge
Rollamienta	Rollamienta
Villar del Ala	Villar del Ala
Velilla de los Ajos	Velilla de los Ajos
Momblona	Momblona
Fresno de Caracena	Fresno de Caracena
Valdegeña	Valdegeña
Velamazán	Velamazán
Torlengua	Torlengua
Fuentecantos	Fuentecantos
Carrascosa de Abajo	Carrascosa de Abajo
Pinilla del Campo	Pinilla del Campo
Serón de Nágima	Serón de Nágima
Blacos	Blacos
Valdeavellano de Tera	Valdeavellano de Tera
Narros	Narros
Valdeprado	Valdeprado
Borjabad	Borjabad
Fuentelsaz de Soria	Fuentelsaz de Soria
San Leonardo de Yagüe	San Leonardo de Yagüe
Muriel de la Fuente	Muriel de la Fuente
Villar del Río	Villar del Río
Valderrodilla	Valderrodilla
Espejón	Espejón
Liceras	Liceras
Matalebreras	Matalebreras
Quintana Redonda	Quintana Redonda
Nafría de Ucero	Nafría de Ucero
Sotillo del Rincón	Sotillo del Rincón
Torrubia de Soria	Torrubia de Soria
Noviercas	Noviercas
Tajueco	Tajueco
Valdenebro	Valdenebro
Villaciervos	Villaciervos
Villanueva de Gormaz	Villanueva de Gormaz
Yelo	Yelo
Montenegro de Cameros	Montenegro de Cameros
Ucero	Ucero
Langa de Duero	Langa de Duero
Quiñonería	Quiñonería
Villar del Campo	Villar del Campo
Portillo de Soria	Portillo de Soria
Gormaz	Gormaz
Santa Cruz de Yanguas	Santa Cruz de Yanguas
Villaseca de Arciel	Villaseca de Arciel
Reznos	Reznos
Cueva de Ágreda	Cueva de Ágreda
Nolay	Nolay, Soria
Cirujales del Río	Cirujales del Río
Caracena	Caracena
Cubo de la Solana	Cubo de la Solana
Miño de San Esteban	Miño de San Esteban
Fuentestrún	Fuentestrún
Espeja de San Marcelino	Espeja de San Marcelino
Matamala de Almazán	Matamala de Almazán
La Póveda de Soria	La Póveda de Soria
Los Rábanos	Los Rábanos
Quintanas de Gormaz	Quintanas de Gormaz
Santa María de Huerta	Santa María de Huerta
San Pedro Manrique	San Pedro Manrique
Velilla de la Sierra	Velilla de la Sierra
Valdemaluque	Valdemaluque
San Felices	San Felices
Renieblas	Renieblas
Toro (Zamora)	Toro, Zamora
Morón de Almazán	Morón de Almazán
Los Villares de Soria	Los Villares de Soria
Torreblacos	Torreblacos
Vizmanos	Vizmanos
Tejado	Tejado
Retortillo de Soria	Retortillo de Soria
Herrera de Soria	Herrera de Soria
Deza	Deza, Soria
Monteagudo de las Vicarías	Monteagudo de las Vicarías
La Riba de Escalote	La Riba de Escalote
Montejo de Tiermes	Montejo de Tiermes
La Losilla	La Losilla
Recuerda	Recuerda
Tajahuerce	Tajahuerce
Santa María de las Hoyas	Santa María de las Hoyas
Fuentepinilla	Fuentepinilla
Golmayo	Golmayo
Rioseco de Soria	Rioseco de Soria
Gómara	Gómara, Soria
Cihuela	Cihuela
Trabadelo	Trabadelo
Caleruega	Caleruega
Hospital de Órbigo	Hospital de Órbigo
Villafranca del Bierzo	Villafranca del Bierzo
Cyclops (Marvel)	Cyclops (comics)
Pōmare II	Pōmare II
Pōmare I	Pōmare I
Pōmare III	Pōmare III
Peñausende	Peñausende
Villadangos del Páramo	Villadangos del Páramo
Vega de Valcarce	Vega de Valcarce
Valverde de la Virgen	Valverde de la Virgen
Barbalos	Barbalos
Susinos del Páramo (Burgos)	Susinos del Páramo
Seregélyes	Seregélyes
Quintanar de la Sierra (Burgos)	Quintanar de la Sierra
Olmedillo de Roa (Burgos)	Olmedillo de Roa
Valle de Valdebezana (Burgos)	Valle de Valdebezana
Calzada del Coto	Calzada del Coto
Valdesamario	Valdesamario
Fuentes de Oñoro	Fuentes de Oñoro
Val de San Lorenzo	Val de San Lorenzo
Baños de Valdearados (Burgos)	Baños de Valdearados
Insane Clown Posse	Insane Clown Posse
Losacino	Losacino
Villaquilambre	Villaquilambre
Pradoluengo (Burgos)	Pradoluengo
Aldearrodrigo	Aldearrodrigo
Padilla de Arriba (Burgos)	Padilla de Arriba
Trabazos	Trabazos
La Cueva de Roa	La Cueva de Roa
Valdemora	Valdemora
Tardajos (Burgos)	Tardajos
Sotragero (Burgos)	Sotragero
Hurones (Burgos)	Hurones
Velasquita Ramírez	Velasquita Ramírez
Villanueva de Teba (Burgos)	Villanueva de Teba
Condado de Treviño	Condado de Treviño
Castildelgado	Castildelgado
Cardeñuela Riopico	Cardeñuela Riopico
Villaveza del Agua	Villaveza del Agua
Alba de Tormes	Alba de Tormes
Espinosa del Camino (Burgos)	Espinosa del Camino
Villares de Órbigo	Villares de Órbigo
Orbaneja Riopico (Burgos)	Orbaneja Riopico
Pozuelo de Tábara	Pozuelo de Tábara
Palazuelos de Muñó (Burgos)	Palazuelos de Muñó
Nebreda (Burgos)	Nebreda
Benavente (Zamora)	Benavente, Zamora
Galbarros (Burgos)	Galbarros
Palacios de la Sierra (Burgos)	Palacios de la Sierra
Peñaranda de Duero (Burgos)	Peñaranda de Duero
Fuentesecas	Fuentesecas
Riego de la Vega	Riego de la Vega
Viloria de Rioja (Burgos)	Viloria de Rioja
Ferreras de Abajo	Ferreras de Abajo
Pinilla de los Barruecos (Burgos)	Pinilla de los Barruecos
Villambistia (Burgos)	Villambistia
Tosantos (Burgos)	Tosantos
Hornillos del Camino (Burgos)	Hornillos del Camino
Villafranca Montes de Oca (Burgos)	Villafranca Montes de Oca
Hontanas (Burgos)	Hontanas
Villahoz (Burgos)	Villahoz
Losacio	Losacio
Mecerreyes (Burgos)	Mecerreyes
Pardilla (Burgos)	Pardilla
Ledesma (Salamanca)	Ledesma, Salamanca
Villafáfila	Villafáfila
Figueruela de Arriba	Figueruela de Arriba
Hontoria del Pinar (Burgos)	Hontoria del Pinar
ʻAinaonao	Anteater
Haʻikū-Paʻuwela	Haiku-Pauwela, Hawaii
Benuza	Benuza
Rabanales	Rabanales
Milles de la Polvorosa	Milles de la Polvorosa
Celada del Camino	Celada del Camino
Forfoleda	Forfoleda
Castrillo Matajudíos	Castrillo Mota de Judíos
Villamanín	Villamanín
Vegalatrave	Vegalatrave
N. C. Wyeth	N. C. Wyeth
Molinos de Duero	Molinos de Duero
Vozmediano	Vozmediano
Hinojosa del Campo	Hinojosa del Campo
Mamo	Hawaii mamo
Garcihernández	Garcihernández
La Alberca	La Alberca
Redecilla del Camino (Burgos)	Redecilla del Camino
Lahaina	Lahaina, Hawaii
Kahului	Kahului, Hawaii
Rabé de las Calzadas (Burgos)	Rabé de las Calzadas
Villalbos	Villalbos
Kīhei	Kihei, Hawaii
Pelanekelina	Franklin (TV series)
Rello	Rello
Rebollar	Rebollar, Soria
Garray	Garray
Iglesias (Burgos)	Iglesias, Province of Burgos
Hua mele hapa ‘umikūmāono	Sixteenth note
Covarrubias	Covarrubias, Province of Burgos
Aldearrubia	Aldearrubia
Llano de Bureba (Burgos)	Llano de Bureba
Adrada de Haza (Burgos)	Adrada de Haza
Cerezo de Río Tirón	Cerezo de Río Tirón
Pele	Pele (deity)
Lōʻihi	Lōʻihi Seamount
Aiga-i-le-Tai	Aiga-i-le-Tai
Kartlis Deda	Kartlis Deda
Bembibre	Bembibre
Santovenia	Santovenia
Wikipedia:Nohona kuhina	Wikipedia:Embassy
Hawaiʻi Aloha	Hawaii Aloha
Kumulipo	Kumulipo
Aloha ʻOe	Aloha ʻOe
Letícia Sabatella	Letícia Sabatella
Poʻe Hawaiʻi	Native Hawaiians
Halemaʻumaʻu	Halemaumau Crater
Manuae	Manuae (Society Islands)
Holoikauaua	Pearl and Hermes Atoll
Alfoz de Lloredo	Alfoz de Lloredo
Cármenes	Cármenes
Ampuero	Ampuero
Palacios del Sil	Palacios del Sil
Cabrillanes	Cabrillanes
Briviesca (Burgos)	Briviesca
Iznalloz	Iznalloz
Māhele:Kelemānia	Category:Germany
Māhele:ʻAmelika Hui Pū ʻia	Category:United States
Māhele:Sepania	Category:Spain
Māhele:Mekiko	Category:Mexico
Gallegos del Pan	Gallegos del Pan
La Bañeza	La Bañeza
Carracedelo	Carracedelo
Carucedo	Carucedo
Corullón	Corullón
Castrocontrigo	Castrocontrigo
Fabero	Fabero
Corrales	Los Corrales de Buelna
Anievas	Anievas
Anguix (Burgos)	Anguix
Arauzo de Miel (Burgos)	Arauzo de Miel
Arauzo de Salce (Burgos)	Arauzo de Salce
Brazacorta (Burgos)	Brazacorta
Aguilar de Bureba (Burgos)	Aguilar de Bureba
Bascuñana (Burgos)	Bascuñana
Altable (Burgos)	Altable
Barbadillo del Pez (Burgos)	Barbadillo del Pez
Bahabón de Esgueva (Burgos)	Bahabón de Esgueva
Alfoz de Quintanadueñas (Burgos)	Alfoz de Quintanadueñas
Barrios de Colina (Burgos)	Barrios de Colina
Berberana (Burgos)	Berberana
Berlangas de Roa (Burgos)	Berlangas de Roa
Aguas Cándidas (Burgos)	Aguas Cándidas
Belbimbre (Burgos)	Belbimbre
Montorio (Burgos)	Montorio, Province of Burgos
Māhele:Pōlani	Category:Poland
Māhele:Wiekanama	Category:Vietnam
Māhele:Hōʻike honua	Category:Geography
Māhele:Akeakamai	Category:Science
Kāneʻohe	Kaneohe, Hawaii
Waiʻaleʻale	Mount Waialeale
Care Bears	Care Bears
Hanauma	Hanauma Bay
Guijuelo	Guijuelo
Vegas del Condado	Vegas del Condado
Borrenes	Borrenes
Santovenia de la Valdoncina	Santovenia de la Valdoncina
La Pola de Gordón	La Pola de Gordón
Villablino	Villablino
Torre del Bierzo	Torre del Bierzo
Vega de Espinareda	Vega de Espinareda
Barjas	Barjas
Cistierna	Cistierna
Babilafuente	Babilafuente
Cereceda de la Sierra	Cereceda de la Sierra
Cardeñajimeno	Cardeñajimeno
Castil de Peones	Castil de Peones
Jurisdicción de Lara (Burgos)	Jurisdicción de Lara
Arganza (León)	Arganza
Valdevimbre	Valdevimbre
Villaturiel	Villaturiel
Valdepolo	Valdepolo
Gumiel de Mercado (Burgos)	Gumiel de Mercado
Oquillas (Burgos)	Oquillas
Villamañán	Villamañán
Puente de Domingo Flórez	Puente de Domingo Flórez
Olmillos de Muñó (Burgos)	Olmillos de Muñó
Encío (Burgos)	Encío
Ibeas de Juarros (Burgos)	Ibeas de Juarros
Santibáñez del Val (Burgos)	Santibáñez del Val
Urdiales del Páramo	Urdiales del Páramo
Sena de Luna	Sena de Luna
Oña (Burgos)	Oña
Grisaleña (Burgos)	Grisaleña
Coruña del Conde	Coruña del Conde
Zazuar (Burgos)	Zazuar
Buniel (Burgos)	Buniel
Arauzo de Torre (Burgos)	Arauzo de Torre
Berzosa de Bureba (Burgos)	Berzosa de Bureba
Alfoz de Santa Gadea (Burgos)	Alfoz de Santa Gadea
Barbadillo de Herreros (Burgos)	Barbadillo de Herreros
Albillos (Burgos)	Albillos
Arenillas de Riopisuerga (Burgos)	Arenillas de Riopisuerga
Barbadillo del Mercado	Barbadillo del Mercado
Arlanzón (Burgos)	Arlanzón, Province of Burgos
Medina de Pomar (Burgos)	Medina de Pomar
Arandilla (Burgos)	Arandilla
Bozoó (Burgos)	Bozoó
Fuentelisendo (Burgos)	Fuentelisendo
Zarzosa de Río Pisuerga (Burgos)	Zarzosa de Río Pisuerga
Alcocero de Mola (Burgos)	Alcocero de Mola
Valle de Mena (Burgos)	Valle de Mena
Zael (Burgos)	Zael, Province of Burgos
Ameyugo (Burgos)	Ameyugo
Lerma (Burgos)	Lerma, Province of Burgos
Villaquejida	Villaquejida
Sariegos	Sariegos
Corbillos de los Oteros	Corbillos de los Oteros
Vega de Infanzones	Vega de Infanzones
Peranzanes	Peranzanes
Sabero	Sabero
Candín (León)	Candín
Valderrueda	Valderrueda
Puebla de Lillo	Puebla de Lillo
Soto y Amío	Soto y Amío
Laguna de Negrillos	Laguna de Negrillos
Villarejo de Órbigo	Villarejo de Órbigo
La Vecilla	La Vecilla
San Andrés del Rabanedo	San Andrés del Rabanedo
Villazala	Villazala
Villamontán de la Valduerna	Villamontán de la Valduerna
Nava de Roa (Burgos)	Nava de Roa
Villasabariego	Villasabariego
Oencia	Oencia
Encinedo	Encinedo
Hiʻiaka	Hiʻiaka
Zuñeda (Burgos)	Zuñeda
Valdeande (Burgos)	Valdeande
Destriana	Destriana
Villagatón	Villagatón
Arija (Burgos)	Arija
Busto de Bureba (Burgos)	Busto de Bureba
Abezames	Abezames
Alcañices	Alcañices
Laguna Dalga	Laguna Dalga
Alaraz	Alaraz
Brincones	Brincones
Aldeadávila de la Ribera	Aldeadávila de la Ribera
Castellanos de Castro	Castellanos de Castro
Cascajares de la Sierra	Cascajares de la Sierra
Iglesiarrubia (Burgos)	Iglesiarrubia
Castrillo de la Vega	Castrillo de la Vega
Sasamón (Burgos)	Sasamón
Torrepadre (Burgos)	Torrepadre
Sotillo de la Ribera (Burgos)	Sotillo de la Ribera
Torrecilla del Monte (Burgos)	Torrecilla del Monte
Linares de Riofrío	Linares de Riofrío
Ahigal de Villarino	Ahigal de Villarino
Gumiel de Izán (Burgos)	Gumiel de Izán
Cabrerizos	Cabrerizos
Cantalapiedra	Cantalapiedra
Ahigal de los Aceiteros	Ahigal de los Aceiteros
Barceo	Barceo
Castellanos de Moriscos	Castellanos de Moriscos
Casafranca	Casafranca
Vizcaínos (Burgos)	Vizcaínos
Casillas de Flores	Casillas de Flores
Los Balbases (Burgos)	Los Balbases
Santibáñez de Esgueva (Burgos)	Santibáñez de Esgueva
San Martín de Rubiales (Burgos)	San Martín de Rubiales
Tórtoles de Esgueva (Burgos)	Tórtoles de Esgueva
Villaescusa de Roa (Burgos)	Villaescusa de Roa
Mamolar (Burgos)	Mamolar
Moradillo de Roa (Burgos)	Moradillo de Roa
Mambrilla de Castrejón (Burgos)	Mambrilla de Castrejón
Pedrosa de Duero (Burgos)	Pedrosa de Duero
Quintanilla del Coco (Burgos)	Quintanilla del Coco
Pinilla de los Moros (Burgos)	Pinilla de los Moros
Valle de Tobalina (Burgos)	Valle de Tobalina
Villanueva de Carazo (Burgos)	Villanueva de Carazo
Quemada (Burgos)	Quemada
Torresandino (Burgos)	Torresandino
Villalba de Duero (Burgos)	Villalba de Duero
Rubena (Burgos)	Rubena
Valluércanes (Burgos)	Valluércanes
Villadiego (Burgos)	Villadiego
Merindad de Río Ubierna (Burgos)	Merindad de Río Ubierna
Mazuela (Burgos)	Mazuela
Valle de Zamanzas (Burgos)	Valle de Zamanzas
Quintana del Pidio (Burgos)	Quintana del Pidio
Vadocondes (Burgos)	Vadocondes
Fuentelcésped (Burgos)	Fuentelcésped
Ciadoncha	Ciadoncha
Merindad de Montija (Burgos)	Merindad de Montija
Pancorbo (Burgos)	Pancorbo
Monterrubio de la Demanda (Burgos)	Monterrubio de la Demanda
Fuentespina (Burgos)	Fuentespina
Cillaperlata	Cillaperlata
Fontioso (Burgos)	Fontioso
La Sequera de Haza (Burgos)	La Sequera de Haza
La Horra (Burgos)	La Horra
Cilleruelo de Arriba	Cilleruelo de Arriba
Jurisdicción de San Zadornil (Burgos)	Jurisdicción de San Zadornil
Cuevas de San Clemente	Cuevas de San Clemente
Fuentemolinos (Burgos)	Fuentemolinos
Hontangas (Burgos)	Hontangas
Hoyales de Roa (Burgos)	Hoyales de Roa
Campolara	Campolara
Carrias	Carrias
Canicosa de la Sierra	Canicosa de la Sierra
Cerralbo	Cerralbo
Cabezón de la Sierra	Cabezón de la Sierra
Cabañes de Esgueva	Cabañes de Esgueva
Cardeñadijo	Cardeñadijo
Castrillo de Riopisuerga	Castrillo de Riopisuerga
Milagros (Burgos)	Milagros, Province of Burgos
La Puebla de Arganzón (Burgos)	La Puebla de Arganzón
Agallas	Agallas
Abusejo	Abusejo
Posada de Valdeón	Posada de Valdeón
Valderrey	Valderrey
Joarilla de las Matas	Joarilla de las Matas
Neila (Burgos)	Neila
Santiago Millas	Santiago Millas
Turcia	Turcia
Prioro	Prioro
Valdelugueros	Valdelugueros
Santas Martas	Santas Martas
Vegaquemada	Vegaquemada
Pobladura de Pelayo García	Pobladura de Pelayo García
Navas de Bureba (Burgos)	Navas de Bureba
Vegacervera	Vegacervera
San Adrián del Valle	San Adrián del Valle
Valdefuentes del Páramo	Valdefuentes del Páramo
Jaramillo Quemado (Burgos)	Jaramillo Quemado
Campillo de Aranda	Campillo de Aranda
Jaramillo de la Fuente (Burgos)	Jaramillo de la Fuente
Carcedo de Bureba	Carcedo de Bureba
La Gallega (Burgos)	La Gallega
Cebrecos	Cebrecos
La Fuente de San Esteban	La Fuente de San Esteban
Aldeanueva de Figueroa	Aldeanueva de Figueroa
Cerezal de Peñahorcada	Cerezal de Peñahorcada
Cabeza del Caballo	Cabeza del Caballo
Lumbrales	Lumbrales
Villabraz	Villabraz
Villamejil	Villamejil
Villaornate y Castro	Villaornate y Castro
Valverde-Enrique	Valverde-Enrique
Villaobispo de Otero	Villaobispo de Otero
Villazanzo de Valderaduey	Villazanzo de Valderaduey
Villanueva de las Manzanas	Villanueva de las Manzanas
Villamandos	Villamandos
Villamol	Villamol
Villaselán	Villaselán
Villamoratiel de las Matas	Villamoratiel de las Matas
Toral de los Guzmanes	Toral de los Guzmanes
Bañobárez	Bañobárez
Barruecopardo	Barruecopardo
Carrascal del Obispo	Carrascal del Obispo
Castillejo de Martín Viejo	Castillejo de Martín Viejo
Fuenteguinaldo	Fuenteguinaldo
Iruelos	Iruelos
Tamames	Tamames
Bóveda del Río Almar	Bóveda del Río Almar
Doñinos de Ledesma	Doñinos de Ledesma
Encina de San Silvestre	Encina de San Silvestre
Canillas de Abajo	Canillas de Abajo
Castellanos de Villiquera	Castellanos de Villiquera
Carpio de Azaba	Carpio de Azaba
Doñinos de Salamanca	Doñinos de Salamanca
Cantaracillo	Cantaracillo
Las Casas del Conde	Las Casas del Conde
Aldeaseca de la Frontera	Aldeaseca de la Frontera
Castraz	Castraz
Cepeda (Salamanca)	Cepeda, Salamanca
El Tornadizo	El Tornadizo
Aldeaseca de Alba	Aldeaseca de Alba
Navamorales	Navamorales
El Cabaco	El Cabaco
Aldeanueva de la Sierra	Aldeanueva de la Sierra
Cipérez	Cipérez
Cantalpino	Cantalpino
Colmenar de Montemayor	Colmenar de Montemayor
Espadaña (Salamanca)	Espadaña
Cespedosa de Tormes	Cespedosa de Tormes
Carbajosa de la Sagrada	Carbajosa de la Sagrada
Cabrillas	Cabrillas
Berrocal de Huebra	Berrocal de Huebra
Calvarrasa de Abajo	Calvarrasa de Abajo
Cilleros de la Bastida	Cilleros de la Bastida
Sotresgudo (Burgos)	Sotresgudo
Arapiles	Arapiles, Salamanca
Benavides	Benavides, León
Tordómar (Burgos)	Tordómar
Torrelara (Burgos)	Torrelara
San Millán de Lara (Burgos)	San Millán de Lara
Sordillos (Burgos)	Sordillos
Santa María del Mercadillo (Burgos)	Santa María del Mercadillo
Santa Cruz de la Salceda (Burgos)	Santa Cruz de la Salceda
Santa Gadea del Cid (Burgos)	Santa Gadea del Cid
Tamarón (Burgos)	Tamarón
San Mamés de Burgos (Burgos)	San Mamés de Burgos
Santa María del Campo (Burgos)	Santa María del Campo
San Vicente del Valle (Burgos)	San Vicente del Valle
Sarracín (Burgos)	Sarracín
Salinillas de Bureba (Burgos)	Salinillas de Bureba
Villazopeque (Burgos)	Villazopeque
Vilviestre del Pinar (Burgos)	Vilviestre del Pinar
Saldaña de Burgos (Burgos)	Saldaña de Burgos
Tejada (Burgos)	Tejada, Province of Burgos
Tobar (Burgos)	Tobar
Santa Olalla de Bureba (Burgos)	Santa Olalla de Bureba
San Adrián de Juarros (Burgos)	San Adrián de Juarros
Santa María del Invierno (Burgos)	Santa María del Invierno
Tinieblas de la Sierra (Burgos)	Tinieblas de la Sierra
Villaquirán de la Puebla (Burgos)	Villaquirán de la Puebla
Villalbilla de Gumiel (Burgos)	Villalbilla de Gumiel
Villanueva de Gumiel (Burgos)	Villanueva de Gumiel
Villaverde del Monte (Burgos)	Villaverde del Monte
Villaescusa la Sombría (Burgos)	Villaescusa la Sombría
Villayerno Morquillas (Burgos)	Villayerno Morquillas
Villegas (Burgos)	Villegas, Province of Burgos
Vileña (Burgos)	Vileña
Rezmondo (Burgos)	Rezmondo
Villafruela (Burgos)	Villafruela
Villariezo (Burgos)	Villariezo
Villagalijo (Burgos)	Villagalijo
Rublacedo de Abajo (Burgos)	Rublacedo de Abajo
Villamayor de Treviño (Burgos)	Villamayor de Treviño
Royuela de Río Franco (Burgos)	Royuela de Río Franco
Retuerta (Burgos)	Retuerta
Villaldemiro (Burgos)	Villaldemiro
Villaverde-Mogina (Burgos)	Villaverde-Mogina
Revillarruz (Burgos)	Revillarruz
Villamayor de los Montes (Burgos)	Villamayor de los Montes
Villamedianilla (Burgos)	Villamedianilla
Villalmanzo (Burgos)	Villalmanzo
Villaespasa (Burgos)	Villaespasa
Valles de Palenzuela (Burgos)	Valles de Palenzuela
Quintanaélez (Burgos)	Quintanaélez
Vallejera (Burgos)	Vallejera
Vallarta de Bureba (Burgos)	Vallarta de Bureba
Redecilla del Campo (Burgos)	Redecilla del Campo
Quintanabureba (Burgos)	Quintanabureba
Quintanaortuño (Burgos)	Quintanaortuño
Quintanapalla (Burgos)	Quintanapalla
Valle de Losa (Burgos)	Valle de Losa
Regumiel de la Sierra (Burgos)	Regumiel de la Sierra
Quintanilla Vivar (Burgos)	Quintanilla Vivar
Poza de la Sal (Burgos)	Poza de la Sal
Quintanilla del Agua y Tordueles (Burgos)	Quintanilla del Agua y Tordueles
Quintanilla de la Mata (Burgos)	Quintanilla de la Mata
Fuentenebro (Burgos)	Fuentenebro
La Revilla y Ahedo (Burgos)	La Revilla y Ahedo
Hacinas (Burgos)	Hacinas
Prádanos de Bureba (Burgos)	Prádanos de Bureba
Fresno de Rodilla (Burgos)	Fresno de Rodilla
La Vid	La Vid y Barrios
Junta de Villalba de Losa (Burgos)	Junta de Villalba de Losa
Hortigüela (Burgos)	Hortigüela
Villangómez (Burgos)	Villangómez
Madrigalejo del Monte (Burgos)	Madrigalejo del Monte
Mahamud (Burgos)	Mahamud
Presencio (Burgos)	Presencio
Cilleruelo de Abajo	Cilleruelo de Abajo
Madrigal del Monte (Burgos)	Madrigal del Monte
Manciles (Burgos)	Manciles
Fuentebureba (Burgos)	Fuentebureba
Padrones de Bureba (Burgos)	Padrones de Bureba
Melgar de Fernamental (Burgos)	Melgar de Fernamental
Ibrillos (Burgos)	Ibrillos
La Vid de Bureba (Burgos)	La Vid de Bureba
Palazuelos de la Sierra (Burgos)	Palazuelos de la Sierra
Merindad de Sotoscueva (Burgos)	Merindad de Sotoscueva
Castrillo del Val	Castrillo del Val
Valdorros (Burgos)	Valdorros
Los Ausines (Burgos)	Los Ausines
Merindad de Cuesta-Urria (Burgos)	Merindad de Cuesta Urria
Los Barrios de Bureba (Burgos)	Los Barrios de Bureba
Valle de Manzanedo (Burgos)	Valle de Manzanedo
Hontoria de Valdearados (Burgos)	Hontoria de Valdearados
Fuentecén (Burgos)	Fuentecén
Miraveche (Burgos)	Miraveche
Fresnillo de las Dueñas (Burgos)	Fresnillo de las Dueñas
Piérnigas (Burgos)	Piérnigas
Ciruelos de Cervera	Ciruelos de Cervera
Pinilla Trasmonte (Burgos)	Pinilla Trasmonte
Valdezate (Burgos)	Valdezate
Trespaderne (Burgos)	Trespaderne
Pineda Trasmonte (Burgos)	Pineda Trasmonte
Peral de Arlanza (Burgos)	Peral de Arlanza
Puentedura (Burgos)	Puentedura
Cogollos	Cogollos
Cerratón de Juarros	Cerratón de Juarros
Mambrillas de Lara (Burgos)	Mambrillas de Lara
Castrillo de la Reina	Castrillo de la Reina
Merindad de Valdivielso (Burgos)	Merindad de Valdivielso
Modúbar de la Emparedada (Burgos)	Modúbar de la Emparedada
Huerta de Rey	Huerta de Rey
Cascajares de Bureba	Cascajares de Bureba
Cayuela	Cayuela
Villalonso	Villalonso
Moraleja del Vino	Moraleja del Vino
Castrogonzalo	Castrogonzalo
El Perdigón	El Perdigón
Santa Cristina de la Polvorosa	Santa Cristina de la Polvorosa
Lubián	Lubián
Valdefinjas	Valdefinjas
Morales del Vino	Morales del Vino
Matilla la Seca	Matilla la Seca
Navasfrías	Navasfrías
Coreses	Coreses
Villalpando	Villalpando
Hermisende	Hermisende
Pobladura de Valderaduey	Pobladura de Valderaduey
Villaralbo	Villaralbo
Galende	Galende
Puebla de Sanabria	Puebla de Sanabria
Roales	Roales
Mayalde	Mayalde
Robleda	Robleda
Granucillo	Granucillo
Bogajo	Bogajo
Tarazona de Guareña	Tarazona de Guareña
Gejuelo del Barro	Gejuelo del Barro
Nava de Francia	Nava de Francia
Tardáguila	Tardáguila
Encinasola de los Comendadores	Encinasola de los Comendadores
Tordillos	Tordillos
Nava de Sotrobal	Nava de Sotrobal
Yecla de Yeltes	Yecla de Yeltes
Navalmoral de Béjar	Navalmoral de Béjar
Trabanca	Trabanca
Garcirrey	Garcirrey
Navarredonda de la Rinconada	Navarredonda de la Rinconada
Tejeda y Segoyuela	Tejeda y Segoyuela
Escurial de la Sierra	Escurial de la Sierra
El Tejado	El Tejado
Barbadillo	Barbadillo
Carrascal de Barregas	Carrascal de Barregas
Campillo de Azaba	Campillo de Azaba
Aldeacipreste	Aldeacipreste
Ejeme	Ejeme
Calzada de Don Diego	Calzada de Don Diego
Alconada	Alconada
Añover de Tormes	Añover de Tormes
Aldeavieja de Tormes	Aldeavieja de Tormes
Torresmenudas	Torresmenudas
Espino de la Orbada	Espino de la Orbada
La Redonda	La Redonda
Moncalvillo (Burgos)	Moncalvillo
Pedralba de la Pradería	Pedralba de la Pradería
Dios le Guarde	Dios le Guarde
Galisancho	Galisancho
Terradillos	Terradillos
Fuenterroble de Salvatierra	Fuenterroble de Salvatierra
Almendra (Salamanca)	Almendra, Salamanca
Estépar (Burgos)	Estépar
Carrizo	Carrizo de la Ribera
Vallecillo	Vallecillo, León
Espinosa de Cervera (Burgos)	Espinosa de Cervera
Úrbel del Castillo (Burgos)	Úrbel del Castillo
Grijalba (Burgos)	Grijalba
Benegiles	Benegiles
Almaraz de Duero	Almaraz de Duero
Arcenillas	Arcenillas
Carbajales de Alba	Carbajales de Alba
Argañín	Argañín
Arrabalde	Arrabalde
Algodre	Algodre
Bermillo de Sayago	Bermillo de Sayago
Arcos de la Polvorosa	Arcos de la Polvorosa
Alcubilla de Nogales	Alcubilla de Nogales
Andavías	Andavías
Aldeatejada	Aldeatejada
Balboa (León)	Balboa, León
Buenamadre	Buenamadre
Alba de Yeltes	Alba de Yeltes
Coca de Alba	Coca de Alba
Aldehuela de la Bóveda	Aldehuela de la Bóveda
Olmedo de Camaces	Olmedo de Camaces
Gomecello	Gomecello
Cordovilla (Salamanca)	Cordovilla
Herguijuela del Campo	Herguijuela del Campo
Fuenteliante	Fuenteliante
Herguijuela de Ciudad Rodrigo	Herguijuela de Ciudad Rodrigo
Herguijuela de la Sierra	Herguijuela de la Sierra
Armenteros	Armenteros
Encinas de Arriba	Encinas de Arriba
Hinojosa de Duero	Hinojosa de Duero
Encinas de Abajo	Encinas de Abajo
Cabezabellosa de la Calzada	Cabezabellosa de la Calzada
Cristóbal de la Sierra (Salamanca)	Cristóbal de la Sierra
La Orbada	La Orbada
La Rinconada de la Sierra	La Rinconada de la Sierra
Chagarcía Medianero	Chagarcía Medianero
Berrocal de Salvatierra	Berrocal de Salvatierra
Manganeses de la Polvorosa	Manganeses de la Polvorosa
Villavendimio	Villavendimio
