આફ્રિકા	Africa
બાર્બાડોસનો રાષ્ટ્રધ્વજ	Flag of Barbados
અર્ધ વિરામ	Semicolon
હુક્કો	Hookah
શોર્ટ સેલ	Short (finance)
છાશ	Buttermilk
મિર્ઝા ગ઼ાલિબ	Ghalib
માર્કની લખેલી સુવાર્તા	Gospel of Mark
રાજ્ય	Federated state
કીટલી	Kettle
ડો. હરગોવિંદ ખુરાના	Har Gobind Khorana
સટ્ટાખોરી	Speculation
ઉત્તર ગોઆ જિલ્લો	North Goa
દક્ષિણ ગોઆ જિલ્લો	South Goa
એ. આર. રહેમાન	A. R. Rahman
હિંગ	Asafoetida
ગિરનારી કાગડો	Jungle crow
રાધા	Radha
બિહારના મુખ્યમંત્રીઓ	List of Chief Ministers of Bihar
કાબર	Common myna
મોર બાજ	Changeable hawk-eagle
તમલુક	Tamluk
લેધરબેક કાચબો	Leatherback sea turtle
ભીમસેન જોશી	Bhimsen Joshi
અલિસિયા કીઝ	Alicia Keys
ગર્ભનિરોધ	Birth control
સીસમ	Rosewood
હિડિંબા	Hidimba
જળવિમાન	Hydroplane (boat)
ગીધ	Vulture
ગોલ્ડફિશ	Goldfish
વેનેસા હજિન્સ	Vanessa Hudgens
વિલુપ્ત જાતિ	Extinction
અવાજની ઝડપ	Speed of sound
ઈડન પાર્ક, લંડન	Eden Park, London
ઝકાત	Zakat
નીલ્સ હેન્રીક અબૅલ	Niels Henrik Abel
સ્કોર્પિયન્સ (બેન્ડ)	Scorpions (band)
અંગોલાનો રાષ્ટ્રધ્વજ	Flag of Angola
મીણ	Wax
સ્લમડોગ મિલિયોનેર	Slumdog Millionaire
અવાક	Black-crowned night heron
ઈરાનનો રાષ્ટ્રધ્વજ	Flag of Iran
સગર્ભાવસ્થા દરમિયાન ડાયાબિટીસ	Gestational diabetes
આંગણવાડી	Kindergarten
ઍરોસ્મિથ	Aerosmith
મેંગલોર	Mangalore
ઝેક ગણરાજ્યનો રાષ્ટ્રધ્વજ	Flag of the Czech Republic
બાંગ્લાદેશનો રાષ્ટ્રધ્વજ	Flag of Bangladesh
બહાદુર શાહ ઝફર	Bahadur Shah II
સંત રવિદાસ નગર જિલ્લો	Sant Ravidas Nagar district
સમઘટકતા	Isomer
ચરબી	Fat
શિયાળ	Golden jackal
ઇન્દ્ર	Indra
ભારતના ભાગલા	Partition of India
ગ્રીસનો રાષ્ટ્રધ્વજ	Flag of Greece
મિથુન રાશી	Gemini (astrology)
હ્યુજ જેકમેન	Hugh Jackman
યતી (હિમ માનવ)	Yeti
૧૮૫૭નો ભારતીય વિપ્લવ	Indian Rebellion of 1857
પ્રસાદ	Prasad
ગદા	Gada (mace)
જ્યોર્જ માઇકલ	George Michael
જાપાનનો ઇતિહાસ	History of Japan
ઇજિપ્તનો રાષ્ટ્રધ્વજ	Flag of Egypt
બહેરીનનો રાષ્ટ્રધ્વજ	Flag of Bahrain
આર્જેન્ટીનાનો રાષ્ટ્રધ્વજ	Flag of Argentina
અન્ના કુર્નિકોવા	Anna Kournikova
વાયુનું પ્રદૂષણ	Air pollution
ચીનનો રાષ્ટ્રધ્વજ	Flag of China
શરીર વજન અનુક્રમ	Body mass index
અક્ષય વિકાસ	Sustainable development
સૌંદર્ય પ્રસાધનો	Cosmetics
મસુર	Lentil
લક્ષ્મી	Lakshmi
વિદ્યુતજનીન	Electric generator
એસોટેરિક (અમુક વ્યક્તિઓ જ સમજી શકે તેવું)	Esotericism
મંત્ર	Mantra
બૂમરેંગ	Boomerang
ભારતનાં રાજ્યો અને કેન્દ્રશાસિત પ્રદેશો	States and union territories of India
ઉચિત વપરાશ	Fair use
વાડી	Farm
જંતુનાશક	Pesticide
રબર	Natural rubber
કાલિ	Kali
સાનિયા મિર્ઝા	Sania Mirza
સત્સ્વરૂપદાસ ગોસ્વામી	Satsvarupa dasa Goswami
ઉત્સવ	Festival
આયુર્વેદ	Ayurveda
અમર્ત્ય સેન	Amartya Sen
રિસાયક્લિંગ	Recycling
જંગલી કૂતરો	Dhole
જીરું	Cumin
બેલારુસનો રાષ્ટ્રધ્વજ	Flag of Belarus
યમુના	Yamuna
ડિસ્લેક્સીયા	Dyslexia
ક્રોએશિયાનો રાષ્ટ્રધ્વજ	Flag of Croatia
પગ	Leg
ભારતનો ઇતિહાસ	History of India
અંધવિશ્વાસ	Superstition
મેથી	Fenugreek
કસિનો	Casino
કમળો	Jaundice
મરકી	Plague (disease)
આધાસિસિ બિમારિ	Migraine
લોબાન	Boswellia sacra
વાઇમેક્સ (WiMAX)	WiMAX
પ્રાથમિક સારવાર	First aid
લિંગ ઉત્થાન	Erection
હીમોફીલિયા	Haemophilia
કન્યા રાશી	Virgo (astrology)
માઇક્રોસોફ્ટ વિઝ્યુઅલ સ્ટુડિયો	Microsoft Visual Studio
રચેલ વેઇઝ	Rachel Weisz
તુલા રાશી	Libra (astrology)
વૃશ્ચિક રાશી	Scorpio (astrology)
તાઓ તે ચીંગ	Tao Te Ching
ગેમ્બિયાનો રાષ્ટ્રધ્વજ	Flag of the Gambia
એન્ટિગુઆ એન્ડ બાર્બુડાનો રાષ્ટ્રધ્વજ	Flag of Antigua and Barbuda
સપ્તપર્ણી	Alstonia scholaris
ભારતની ભાષાઓની સૂચી	Languages of India
ગૂગલ અનુવાદ	Google Translate
ઝીપ કોડ	ZIP code
ચિત્રલિપિ	Ideogram
અંકશાસ્ત્ર	Numerology
ચેતેશ્વર પુજારા	Cheteshwar Pujara
દાંતનું ચોકઠું	Dentures
મહાશ્વેતા દેવી	Mahasweta Devi
ડૉ. ઝાકીર હુસૈન	Zakir Hussain (politician)
સૂર્યવંશી	Suryavansha
વિકિપીડિયા:સ્ટબ	Network topology
સાર્ક	South Asian Association for Regional Cooperation
કઠોળ	Legume
પર્યાવરણીય ઇજનેરી	Environmental engineering
બ્રાન્ડી	Brandy
ઘાબાજરીયુ	Typha angustifolia
ગુરદાસપુર જિલ્લો	Gurdaspur district
હાઉ આઇ મેટ યોર મધર	How I Met Your Mother
હોર્નેડ ગુઆન	Horned guan
કાજોલ	Kajol
સુબ્રમણ્યન ચંદ્રશેખર	Subrahmanyan Chandrasekhar
કબડ્ડી	Kabaddi
પેટ બ્યુકેનન	Pat Buchanan
જિલ્લો	District
અમૃતા શેરગિલ	Amrita Sher-Gil
ચોલ સામ્રાજ્ય	Chola dynasty
સૂરણ	Amorphophallus paeoniifolius
મદદ:સંપાદન	Help:Editing
પાન્ડુ શામા	Blue rock thrush
ટાટા નેનો	Tata Nano
લાઇફ ઓફ પાઇ	Life of Pi (film)
ઇમરાન ખાન	Imran Khan
ઉઝી	Uzi
સમ્મેત શિખર	Shikharji
કરેણ	Nerium
દિવેલી	Castor oil plant
એમ.પી.૫	Heckler & Koch MP5
આઝાદ હિંદ ફોજ	Indian National Army
રજકો	Alfalfa
પેન્શન	Pension
એકેએસ-૭૪યુ	AK-74
મન્ના ડે	Manna Dey
લતા મંગેશકર	Lata Mangeshkar
ડૉ. સર્વપલ્લી રાધાકૃષ્ણન	Sarvepalli Radhakrishnan
માંકડું	Rhesus macaque
મોહમ્મદ રફી	Mohammed Rafi
કફોત્પાદક ગ્રંથિ	Pituitary gland
ઇંગ્લીશ વીલો	Salix alba
સાગ	Teak
યુનિલિવર	Unilever
ચાર્લ્સ લુસિઅન બોનાપાર્ટ	Charles Lucien Bonaparte
રૂખડો (વનસ્પતિ)	Adansonia
ડેઝા વુ	Déjà vu
અરુણા ઈરાની	Aruna Irani
આયેશા ટાકિયા	Ayesha Takia
ગ્વાલિયર	Gwalior
પ્રિયંકા ચોપરા	Priyanka Chopra
વિદ્યા બાલન	Vidya Balan
નરગીસ	Nargis
દીપિકા પદુકોણે	Deepika Padukone
માધ્યમિક શાળા	Secondary school
ડચ ઇસ્ટ ઇંડિયા કંપની	Dutch East India Company
સિંહ રાશી	Leo (astrology)
કેમરૂનનો રાષ્ટ્રધ્વજ	Flag of Cameroon
સંયુક્ત રાષ્ટ્રસંઘના સભ્ય દેશોની યાદી	Member states of the United Nations
બોલપેન	Ballpoint pen
રામ	Rama
કોલમ્બિયાનો રાષ્ટ્રધ્વજ	Flag of Colombia
મહમદ અલી ઝીણા	Muhammad Ali Jinnah
ફુદીનો	Mentha arvensis
લંડન આઇ (વિરાટ ચકડોળ)	London Eye
ઘાનાનો રાષ્ટ્રધ્વજ	Flag of Ghana
ચિત્તભ્રમણા	Delirium
ચીલીનો રાષ્ટ્રધ્વજ	Flag of Chile
પેચીયું (સ્ક્રૂ ડ્રાઇવર)	Screwdriver
શહેરીકરણ	Urbanization
ગરમાળો (વૃક્ષ)	Cassia fistula
ઝરેર (વનસ્પતિ)	Melilotus officinalis
ક્રમચય	Permutation
કર્ક રાશી	Cancer (astrology)
અલ્પ વિરામ	Comma
શિવલીંગી (વનસ્પતિ)	Couroupita guianensis
ઇથોપિયાનો રાષ્ટ્રધ્વજ	Flag of Ethiopia
કુંભ રાશી	Aquarius (astrology)
સ્વચ્છતા	Hygiene
સ્ટેથોસ્કોપ	Stethoscope
અલ્હાબાદ	Allahabad
ધિરાણનું જોખમ	Credit risk
કમ્બોડીયાનો રાષ્ટ્રધ્વજ	Flag of Cambodia
ક્યુબાનો રાષ્ટ્રધ્વજ	Flag of Cuba
સોનિયા ગાંધી	Sonia Gandhi
કોંગોનું ગણતંત્રનો રાષ્ટ્રધ્વજ	Flag of the Republic of the Congo
થ્રિસુર	Thrissur
વોલ્વો	Volvo
સિલિકૉન વૅલી	Silicon Valley
કરિયાતું	Swertia
અમીરાત સ્ટેડિયમ	Emirates Stadium
વૃષભ રાશી	Taurus (astrology)
મકર રાશી	Capricorn (astrology)
કોંગોનું લોકતંત્રીય ગણતંત્રનો રાષ્ટ્રધ્વજ	Flag of the Democratic Republic of the Congo
કરી (મસાલેદાર રસાવાળી વાની)	Curry
મરચું	Chili pepper
પીરોજ	Turquoise
ચિત્રદુર્ગ જિલ્લો	Chitradurga district
કોળું	Pumpkin
કાર્બ્યુરેટર	Carburetor
ગિનિનો રાષ્ટ્રધ્વજ	Flag of Guinea
ઈક્વેડોરનો રાષ્ટ્રધ્વજ	Flag of Ecuador
એડોબ ફ્લેશ	Adobe Flash
મધ્ય આફ્રીકી ગણતંત્રનો રાષ્ટ્રધ્વજ	Flag of the Central African Republic
ચૅડનો રાષ્ટ્રધ્વજ	Flag of Chad
પોલેંડ રાષ્ટ્રીય ફૂટબોલ ટીમ	Poland national football team
સાત ઘોર પાપ (ખ્રિસ્તી ધર્મ)	Seven deadly sins
ઉદ્‌ગારચિહ્ન	Exclamation mark
કોર્પોરેશન	Corporation
રામલીલા	Ramlila
મધ્યમા	Middle finger
ગ્રીનહાઉસ વાયુ	Greenhouse gas
તિરુવનંતપુરમ્	Thiruvananthapuram
ભૂસ્ખલન	Landslide
બાષ્પોત્સર્જન	Transpiration
તાઈ ચી ચુઆન	Tai chi
માયોપીઆ	Myopia
કોમોરોસનો રાષ્ટ્રધ્વજ	Flag of Comoros
જામીનગીરીઓ	Security (finance)
વનનાબૂદી	Deforestation
કેટ હડસન	Kate Hudson
દાર્જિલિંગ	Darjeeling
શ્રીનગર	Srinagar
યાટ	Yacht
ભાગીરથી	Bhagirathi River
કોસ્ટારિકાનો રાષ્ટ્રધ્વજ	Flag of Costa Rica
તાલ	Rhythm
ફિલિપ્સ	Philips
વિશ્વ આર્થિક મંચ	World Economic Forum
સ્ક્રેબલ	Scrabble
અગરતલા	Agartala
લીમડો	Azadirachta indica
પાર્વતી	Parvati
ફેંગ શુઇ	Feng shui
ઈક્વેટોરીયલ ગીનીનો રાષ્ટ્રધ્વજ	Flag of Equatorial Guinea
એરિટ્રિયાનો રાષ્ટ્રધ્વજ	Flag of Eritrea
લસિકા ગાંઠ	Lymph node
ગયાનાનો રાષ્ટ્રધ્વજ	Flag of Guyana
બાણભટ્ટ	Bāṇabhaṭṭa
સ્ટેમ્ફોર્ડ બ્રિજ (સ્ટેડિયમ)	Stamford Bridge (stadium)
દાનીયેલ	Daniel
ભુવનેશ્વર	Bhubaneswar
બ્લેકબેરી	BlackBerry
આગ્રાનો કિલ્લો	Agra Fort
સિંહાકૃતિ	Emblem of India
ફ્રેન્ચાઇઝીંગ	Franchising
ઢોકળાં	Dhokla
પૂર્ણ વિરામ	Full stop
કપૂરથલા જિલ્લો	Kapurthala district
ફિરોઝપુર જિલ્લો	Firozpur district
માનસા જિલ્લો	Mansa district, India
પટિયાલા જિલ્લો	Patiala district
લુધિયાણા જિલ્લો	Ludhiana district
ફતેહગઢ સાહિબ જિલ્લો	Fatehgarh Sahib district
ભટિન્ડા જિલ્લો	Bathinda district
ફરીદકોટ જિલ્લો	Faridkot district
કટની	Katni
વળગાડ મુક્તિ	Exorcism
સાડી	Sari
કટિહાર	Katihar
કૃષિવિજ્ઞાન	Agronomy
ઘોરખોદિયું	Honey badger
સ્વામી સચ્ચિદાનંદ	Satchidananda Saraswati
સિસ્કો	Cisco Systems
મિસ વર્લ્ડ	Miss World
માર્વલ કૉમિક્સ	Marvel Comics
સુવર્ણ માનક	Gold standard
ખાદ્ય પદાર્થની સાચવણી	Food preservation
અલ સાલ્વાડોરનો રાષ્ટ્રધ્વજ	Flag of El Salvador
યરૂશાલેમના હિબ્રુ યુનિવર્સિટી	Hebrew University of Jerusalem
સિવિલ એવિએશન રાષ્ટ્રીય શાળા	École nationale de l'aviation civile
રાંચી	Ranchi
કૌંસ	Bracket
એગોરાફોબિયા	Agoraphobia
મણિરત્નમ	Mani Ratnam
વિકિપીડિયા:અવરોધન નીતિ	Wikipedia:Blocking policy
વિલા પાર્ક	Villa Park
એચએએલ તેજસ	HAL Tejas
હિન્દુ-અરેબીક અંકો	Arabic numerals
ઊંઘને લગતી બીમારી (સ્લીપ ડિસઓર્ડર)	Sleep disorder
મંગળના ચંદ્રો	Moons of Mars
સરસ્વતી નદી	Sarasvati River
મહાવિરામ	Colon (punctuation)
પાતાળ કૂવા	Artesian aquifer
ફુલરિન (Fullerene)	Fullerene
ગ્વાટેમાલાનો રાષ્ટ્રધ્વજ	Flag of Guatemala
નિંદામણનાશક	Herbicide
તર્ક	Reason
સોનેરી પીઠવાળું લક્કડખોદ	Black-rumped flameback
કબજિયાત	Constipation
અહિંસા	Ahimsa
ગૂચી	Gucci
મનુ	Manu (Hinduism)
કાંડા ઘડિયાળ	Watch
રૂપિયો	Rupee
રોજા	Sawm
ખજુરાહો	Khajuraho Group of Monuments
ઍલ્કેમિસ્ટ	The Alchemist (novel)
ફતેહપૂર સિક્રી	Fatehpur Sikri
ડોમિનિકાનો રાષ્ટ્રધ્વજ	Flag of Dominica
ખાવાનો સોડા	Sodium bicarbonate
શિયાળુ મોટી ડુબકી	Red-necked grebe
અવકાશ સંશોધન	Space exploration
રૂપેરી પેણ	Spot-billed pelican
વાદળ ફાટવું	Cloudburst
કચરાનો પ્રબંધ	Waste management
સુવર્ણ મંદિર, અમૃતસર	Harmandir Sahib
યુઇએફએ યૂરો ૨૦૧૨ નામાંકન	UEFA Euro 2012 qualifying
આયર્ન મૅન	Iron Man
એના નિકોલ સ્મિથ	Anna Nicole Smith
ચક્ર	Chakra
મેલાટોનિન	Melatonin
એપોલો ૧૭	Apollo 17
તમાકુ	Nicotiana tabacum
સાંચીનો સ્તુપ	Sanchi
કપૂર	Camphor
વિદેશ નીતિ	Foreign policy
રાણી લક્ષ્મીબાઈ	Rani Lakshmibai
મેટ્રોપોલિટન એરિયા નેટવર્ક	Metropolitan area network
ફીજીનો રાષ્ટ્રધ્વજ	Flag of Fiji
રેકી	Reiki
રામકૃષ્ણ પરમહંસ	Ramakrishna
પાણીનું પ્રદૂષણ	Water pollution
ઓઝોન અવક્ષય	Ozone depletion
એનટીએફએસ	NTFS
વિગતવાર વિજ્ઞાન પોલીટેકનિક ઇન્સ્ટિટ્યુટ	Institut Polytechnique des Sciences Avancées
મોહરમ	Day of Ashura
મોક્ષ	Moksha
કો-ઍક્સિયલ કેબલ	Coaxial cable
હલવો	Halva
મેમરી કાર્ડ	Memory card
વિશ્વ જળ દિન	World Water Day
ૐ	Om
લાલી (લિપસ્ટીક)	Lipstick
સૌથી તેજસ્વી તારાઓ	List of brightest stars
ડોમિનિકન ગણતંત્રનો રાષ્ટ્રધ્વજ	Flag of the Dominican Republic
પેજ રેન્ક	PageRank
ગૉડફ્રે હારૉલ્ડ હાર્ડિ	G. H. Hardy
અજંતાની ગુફાઓ	Ajanta Caves
રૂઢિપ્રયોગ	Idiom
તર્જની	Index finger
કરીના કપૂર	Kareena Kapoor Khan
સિકલસેલ એનીમિયા રોગ	Sickle-cell disease
બ્રાહ્મી લિપિ	Brahmi script
પ્રારંભિક જાહેર ભરણું (આઈપીઓ)	Initial public offering
શિયાળુ નાની ડુબકી	Black-necked grebe
શ્રેણી:મેના-કાબર કુટુંબ	Starling
ટર્બોચાર્જર	Turbocharger
કાંડુ (શરીર)	Wrist
અર્જુન	Arjuna
વૈશ્ય	Vaishya
ફિઝિયોથેરાપી	Physical therapy
અયોધ્યા	Ayodhya
ગંગટોક	Gangtok
ધર્મશાલા	Dharamsala
મેડમ તુસાદ સંગ્રહાલય	Madame Tussauds
વ્હાઈટ હાર્ટ લેન	White Hart Lane
અણુ અપ્રસાર સંધિ	Treaty on the Non-Proliferation of Nuclear Weapons
દાહોદ જિલ્લો	Dahod district
અભિષેક બચ્ચન	Abhishek Bachchan
વિકીમેપિયા	WikiMapia
કુતુબ મિનાર	Qutb Minar
વિગ્રહરેખા	Dash
મોનોરેલ	Monorail
એબીઓ રક્તસમુહ પ્રણાલી	ABO blood group system
પોલિએસ્ટર	Polyester
સાંબાર	Sambar (dish)
કુદરતી સંપત્તિ	Natural resource
હનુમાન	Hanuman
ઝરખ	Striped hyena
પ્રીટિ ઝિન્ટા	Preity Zinta
સહી (હસ્તાક્ષર)	Signature
ખેતર	Field (agriculture)
શિક્ષક દિન	Teachers' Day
મત્સ્યઉછેર	Aquaculture
ઇલોરાની ગુફાઓ	Ellora Caves
હુમાયુનો મકબરો	Humayun's Tomb
અષ્ટાધ્યાયી	Pāṇini
મતદાન	Voting
મલ્ટિમીટર	Multimeter
ઇસ્કોન	International Society for Krishna Consciousness
શરીર વૃદ્ધી અંતઃસ્ત્રાવ	Growth hormone
શક સંવત	Hindu calendar
વેબ ડિઝાઈન	Web design
વિલવણીકરણ	Desalination
સક્રિય કાર્બન	Activated carbon
ચણોઠી	Abrus precatorius
સીતા	Sita
લક્ષ્મી મિત્તલ	Lakshmi Mittal
ગોદાવરી	Godavari River
લૂઈસ વીટન	Louis Vuitton
લૌહ અયસ્ક	Iron ore
કરકરો	Demoiselle crane
સેન્ટ જેમ્સ પાર્ક	St James' Park
નાણાકીય વર્ષ	Fiscal year
ભારતીય વાનગીઓ	Indian cuisine
અનામિકા	Ring finger
વ્યાપાર ચક્ર	Business cycle
ઐઝવાલ	Aizawl
બાળ કામદાર	Child labour
વ્યવસાય	Job
રાજગીધ	King vulture
કાઝીરંગા રાષ્ટ્રીય ઉદ્યાન	Kaziranga National Park
હાર્લી-ડેવિડસન	Harley-Davidson
રસીકરણ	Vaccination
ઋતુ-પ્રવાસ	Animal migration
ગોલ્ડમૅન સૅશ	Goldman Sachs
ક્રોપ સર્કલ	Crop circle
કૃષ્ણા નદી	Krishna River
ખંજરી (વાદ્ય)	Tambourine
બંજી જમ્પિંગ	Bungee jumping
કૃષિ ઈજનેરી	Agricultural engineering
સક્રિય કલા વીજસ્થિતિમાન	Action potential
મંડી	Mandi, Himachal Pradesh
રુપનગર જિલ્લો	Rupnagar district
મૌલાના આઝાદ	Abul Kalam Azad
રાજેન્દ્ર પ્રસાદ	Rajendra Prasad
લીલો દરીયાઈ કાચબો	Green sea turtle
દેહરાદૂન	Dehradun
ગુવાહાટી	Guwahati
લેસર પ્રિન્ટર	Laser printing
વિશાખાપટનમ	Visakhapatnam
વિજયવાડા	Vijayawada
જોધપુર	Jodhpur
અજમેર	Ajmer
ઉજ્જૈન	Ujjain
લુધિયાણા	Ludhiana
નાસિક	Nashik
મેરઠ	Meerut
પારસી	Parsi
મથુરા	Mathura
ઉદયપુર	Udaipur
ફરીદાબાદ	Faridabad
લડાખ	Ladakh
ઔરંગાબાદ	Aurangabad, Maharashtra
જબલપુર	Jabalpur
મોર	Peafowl
પ્રાઇડ પાર્ક સ્ટેડિયમ	Pride Park Stadium
ઓરછા (મધ્ય પ્રદેશ)	Orchha
રામસેતુ	Adam's Bridge
વાર્ટા નદી (યુરોપ)	Warta
અલીગઢ	Aligarh, Uttar Pradesh
પર્સનલ એરિયા નેટવર્ક	Personal area network
અમૃતસર જિલ્લો	Amritsar district
હૃદયસ્તંભતા	Cardiac arrest
જેક સ્પૅરો	Jack Sparrow
વાટાઘાટ	Negotiation
બ્રાયન લારા	Brian Lara
બ્રહ્મગુપ્ત	Brahmagupta
ગુરુ ગ્રંથ સાહેબ	Guru Granth Sahib
વામકુક્ષિ	Siesta
કાળી ચા	Black tea
પોર્ટ બ્લૅર	Port Blair
ખાદ્ય અને ઔષધ વહીવટીતંત્ર	Food and Drug Administration
વિટામિન બી૬	Vitamin B6
હાવડા	Howrah
સિરોહી જિલ્લો	Sirohi district
જેટ વિમાન	Jet aircraft
ગાઝિયાબાદ	Ghaziabad, Uttar Pradesh
રીવર રાફ્ટિંગ	Rafting
કટક	Cuttack
જગન્નાથપુરી	Puri
યુરોપ દિન	Europe Day
અમીર ખુશરો	Amir Khusrow
મહાબલીપુરમ	Mahabalipuram
સૂડો	Rose-ringed parakeet
ઇમ્ફાલ	Imphal
૧૯૬૨નું ભારત-ચીન યુદ્ધ	Sino-Indian War
ઉંચાઇ	Height
ડેલ્ટા ફોર્સ	Delta Force
વિશ્વની અજાયબીઓ	Wonders of the World
કોલ્હાપૂર	Kolhapur
વાઇકિંગ ૧	Viking 1
ઓછી ચિંતાજનક જાતિ	Least-concern species
ચેરાપુંજી	Cherrapunji
ઘાસચારો	Fodder
સુગરી	Ploceidae
છાણીયું ખાતર	Compost
કાંચીપુરમ	Kanchipuram
હરિપ્રસાદ ચૌરસિયા	Hariprasad Chaurasia
અકોલા	Akola
બરેલી	Bareilly
વારંગલ	Warangal
તબલા	Tabla
તિરુનેલવેલી	Tirunelveli
ભારતનું સર્વોચ્ચ ન્યાયાલય	Supreme Court of India
શ્રીલંકાનો આંતરવિગ્રહ	Sri Lankan Civil War
નિસર્ગોપચાર	Naturopathy
હાથીના પગ તળે દેહાંતદંડ	Execution by elephant
બોયઝોન	Boyzone
ગાંધાર	Gandhara
લોંકડી	Bengal fox
યાયાવર પક્ષીઓ	Bird migration
રાગ	Raga
જાહેરાત એજન્સી	Advertising agency
ઘઉંનાં ધનેડાં	Wheat weevil
અય્યાવળિ	Ayyavazhi
એમપી	MP
બહુસમુદાયીત્વ	Polyphyly
ગુર્જીય્ફ	George Gurdjieff
મોરારજી દેસાઈ	Morarji Desai
સાબુદાણા	Sago
નડીઆદ	Nadiad
વુઝૂ	Wudu
સિટીગ્રુપ	Citigroup
જેસ્સી ઐસેનબર્ગ	Jesse Eisenberg
દલિત	Dalit
ઓપન શોર્ટેસ્ટ પાથ ફર્સ્ટ	Open Shortest Path First
વસંતપંચમી	Vasant Panchami
ગૂગલ ઍનલિટિક્સ	Google Analytics
ગટરવ્યવસ્થા	Sewage treatment
મહારાષ્ટ્રના મુખ્યમંત્રીઓ	List of Chief Ministers of Maharashtra
બપૈયો	Common hawk-cuckoo
કન્યાકુમારી	Kanyakumari
રાષ્ટ્રીય ધોરીમાર્ગ 6 (ભારત)	National Highway 6 (India)(old numbering)
કાચબો	Turtle
યુઇએફએ યૂરો ૨૦૧૨ વિભાગ અ	UEFA Euro 2012 Group A
અહમદનગર	Ahmednagar
કુબેર	Kubera
માયા	Maya (illusion)
ઓલ ઈન્ડિયા મુસ્લિમ લીગ	All-India Muslim League
મહર્ષિ દયાનંદ	Dayananda Saraswati
વર્તુળની ત્રિજ્યા	Radius (disambiguation)
અળવી (વનસ્પતિ)	Colocasia esculenta
કનીષ્ઠિકા	Little finger
તાળું	Lock (security device)
યુરોપના દેશોની યાદી	List of sovereign states and dependent territories in Europe
આફ્રિકાના રાષ્ટ્રોની યાદી	List of sovereign states and dependent territories in Africa
મદુરાઇ	Madurai
કળિયુગ	Kali Yuga
કેથોલિક યુનિવર્સિટી ઓફ સેકર્ડ હર્ટ	Università Cattolica del Sacro Cuore
રાષ્ટ્રીય પંચાંગ	Indian national calendar
ઇસરો	Indian Space Research Organisation
સિતાર	Sitar
લોક સભા	Lok Sabha
લેહ	Leh
ઉજળી પટ્ટાઇ	Pallid harrier
અણ્ણા હઝારે	Anna Hazare
ઓરકુટ	Orkut
ડૉ. ભીમરાવ રામજી આંબેડકર	B. R. Ambedkar
માધુરી દીક્ષિત	Madhuri Dixit
જાંબુ (વૃક્ષ)	Syzygium cumini
સમાંતર કમ્પ્યુટિંગ	Parallel computing
અટલ બિહારી વાજપેયી	Atal Bihari Vajpayee
ઋત્વિક રોશન	Hrithik Roshan
ભારતીય અર્થતંત્ર	Economy of India
માન સરોવર	Lake Manasarovar
જામા મસ્જિદ, દિલ્હી	Jama Masjid, Delhi
અક્ષય કુમાર	Akshay Kumar
ક્વિંગઝાંગ રેલ્વે	Qinghai–Tibet Railway
નર્મદા નદી	Narmada River
કોહિમા	Kohima
બીલી	Aegle marmelos
ભારતીય સામ્યવાદી પક્ષ (માર્ક્સવાદી)	Communist Party of India (Marxist)
નમાજ઼	Salat
એ.સી. ભક્તિવેદાંત સ્વામી પ્રભુપાદ	A. C. Bhaktivedanta Swami Prabhupada
સુકો મેવો	Dried fruit
સોનોગ્રાફી પરીક્ષણ	Medical ultrasonography
હજ	Hajj
રાવણ	Ravana
પરંપરાગત સંગીત	Folk music
કેવલાદેવ રાષ્ટ્રીય ઉદ્યાન	Keoladeo National Park
છત્રપતિ શિવાજી ટર્મિનસ	Chhatrapati Shivaji Terminus
ગોખરુ (વનસ્પતિ)	Tribulus terrestris
સુરેન્દ્રનગર જિલ્લો	Surendranagar district
નરસિંહ	Narasimha
સોલાપૂર	Solapur
કલ્પના ચાવલા	Kalpana Chawla
મગધ વિભાગ (પ્રમંડલ)	Magadh division
દાંડી સત્યાગ્રહ	Salt March
શિવાજી	Shivaji
મધ્યમ વર્ગ	Middle class
વસિષ્ઠ	Vashistha
મરીચિ	Marichi
સહરાનપુર	Saharanpur
જેસલમેર	Jaisalmer
બોરડી	Jujube
ભાવનગર	Bhavnagar
ઝાંસી	Jhansi
મખમલ	Velvet
ધનબાદ	Dhanbad
એશિયન રમતોત્સવ ૨૦૧૦	2010 Asian Games
ગોરખપુર	Gorakhpur
લાલ બહાદુર શાસ્ત્રી	Lal Bahadur Shastri
રાજ્ય સભા	Rajya Sabha
મીઠો લીમડો	Curry tree
ઇવૂડ્ પાર્ક	Ewood Park
ઈંડિયા ગેટ	India Gate
ઈન્દ્રકુમાર ગુજરાલ	I. K. Gujral
બ્રાઉનિંગ હાઇ-પાવર	Browning Hi-Power
પરેજીયુક્ત આહાર	Diet food
ગયા	Gaya, India
ચંદ્રવંશી	Lunar dynasty
હેલોવીન	Halloween
સૈફ અલી ખાન	Saif Ali Khan
ફિફા	FIFA
પેટન્ટ	Patent
કોડાયકેનલ	Kodaikanal
આઈવાના બ્રલિચ માઝુરાનિચ	Ivana Brlić-Mažuranić
બાંદ્રા	Bandra
અમરેલી જિલ્લો	Amreli district
મુંગેર વિભાગ (પ્રમંડલ)	Munger division
મોગા (પંજાબ)	Moga, Punjab
જુવાર	Millet
ક્ષેત્રફળ પ્રમાણે વિશ્વના દેશોની યાદી	List of countries and dependencies by area
સાંઇબાબા	Sai Baba of Shirdi
સન્ની લિઓન	Sunny Leone
