Aprika	Africa
Yuzhnouralsk	Yuzhnouralsk
Yurga	Yurga
Yuryev-Polsky	Yuryev-Polsky (town)
Yuryevets, Ivanovo Oblast	Yuryevets, Ivanovo Oblast
Yuryuzan (town)	Yuryuzan, Chelyabinsk Oblast
Yukhnov	Yukhnov
Yadrin	Yadrin
Yanaul	Yanaul
Yaransk	Yaransk
Yarovoye	Yarovoye, Altai Krai
Koptikong Ortodoksong Simbahan ng Alehandriya	Coptic Orthodox Church of Alexandria
Yartsevo	Yartsevo, Smolensk Oblast
Yasnogorsk, Tula Oblast	Yasnogorsk, Tula Oblast
Yasny	Yasny, Orenburg Oblast
Tokyo Ravens	Tokyo Ravens
Jo Eun Ji	Jo Eun-ji
Mga katawang lusak ng Hilagang Europa	Bog body
Leong Nemeo	Nemean lion
Mexicali	Mexicali
Dinastiyang Gurida	Ghurid dynasty
Sargon ng Akkad	Sargon of Akkad
Papa Severino	Pope Severinus
Papa Juan VI	Pope John VI
Papa Juan IV	Pope John IV
Papa Juan VII	Pope John VII
Papa Eugenio I	Pope Eugene I
Ang Dakilang Carlomagno	El Gran Carlemany
Papa Juan V	Pope John V
Harran	Harran
Lungsod ng Ōita	Ōita, Ōita
Papa Vitaliano	Pope Vitalian
Zhuangolohiya	Zhuang studies
Agham pang-aklatan at pang-impormasyon	Library science
Pagbabasa (gawain)	Reading (process)
Staphylococcus	Staphylococcus
Sobyet na Sosyalistang Republika ng Turkmenistan	Turkmen Soviet Socialist Republic
Sosyalistikong Republikang Soviet ng Tajik	Tajik Soviet Socialist Republic
Cyanocitta cristata	Blue jay
Popeye	Popeye
Tacoma, Washington	Tacoma, Washington
Timog Yemen	South Yemen
Khafra	Khafra
Idroksido	Hydroxide
Lalawigan ng Ararat	Ararat Province
Anna Paquin	Anna Paquin
Lungsod ng Kumamoto	Kumamoto
Lalawigan ng Gegharkunik	Gegharkunik Province
Karbala	Karbala
Kagawaran ng Magdalena	Magdalena Department
Tonlé Sap	Tonlé Sap
Alicia Silverstone	Alicia Silverstone
Florianus	Florianus
Taormina	Taormina
Matsuyama, Ehime	Matsuyama, Ehime
Numa Pompilius	Numa Pompilius
Miguel VIII Paleologo	Michael VIII Palaiologos
Dassault Mirage 2000	Dassault Mirage 2000
Morioka, Iwate	Morioka
Lungsod ng Okayama	Okayama
Pelikula ng katatakutan	Horror film
Jonas Salk	Jonas Salk
Hukbong Mapagpalaya ng Bayan	People's Liberation Army
Ludhiana	Ludhiana
Lalawigan ng Vayots Dzor	Vayots Dzor Province
Nekropolis	Necropolis
Walang-pagpatay	Nonkilling
Kitchener, Ontario	Kitchener, Ontario
Lutrinae	Otter
Emperador Jimmu	Emperor Jimmu
Benny Hill	Benny Hill
Meerut	Meerut
Lungsod ng Kōchi	Kōchi, Kōchi
Morelia	Morelia
Kamakura, Kanagawa	Kamakura, Kanagawa
All About Eve	All About Eve
Mathura	Mathura
Ebolusyong komberhente	Convergent evolution
Partido Demokratiko ng Hapon	Democratic Party of Japan
Kasaysayan ng mundo	History of the world
Lalawigan ng Lori	Lori Province
Sinturong pangkaligtasan	Seat belt
John Hurt	John Hurt
Malayang kalakalan	Free trade
Antioquia	Antioch
Jayne Meadows	Jayne Meadows
Roger Y. Tsien	Roger Y. Tsien
Kongkistang Normando	Norman conquest of England
Activision	Activision
Takehara, Hiroshima	Takehara, Hiroshima
Sherpa	Sherpa people
Frank Morgan	Frank Morgan
Tilda Swinton	Tilda Swinton
Yaman	Wealth
Pagdiriwang	Party
Yokosuka, Kanagawa	Yokosuka, Kanagawa
Hayreddin Barbarossa	Hayreddin Barbarossa
Utsunomiya, Tochigi	Utsunomiya
Yawatahama, Ehime	Yawatahama, Ehime
Jafet	Japheth
Takamatsu, Kagawa	Takamatsu, Kagawa
Distribusyong probabilidad	Probability distribution
Lungsod ng Tottori	Tottori, Tottori
Asahikawa, Hokkaido	Asahikawa, Hokkaido
Pambansang Awit ng Mehiko	Himno Nacional Mexicano
Lungsod ng Wakayama	Wakayama, Wakayama
Tassos Papadopoulos	Tassos Papadopoulos
Diperensiyang henetiko	Genetic disorder
Kalkulong bektor	Vector calculus
Magnificat	Magnificat
Jim Caviezel	Jim Caviezel
Carugo	Carugo
Santa Agueda	Agatha of Sicily
Lona-Lases	Lona-Lases
Caldea	Chaldea
Menkaure	Menkaure
Sayawing pambayan	Folk dance
Lana Turner	Lana Turner
Kahariang Romano	Roman Kingdom
Dan Fogelberg	Dan Fogelberg
Rishon LeZion	Rishon LeZion
American Idol	American Idol
Lalawigan ng Shirak	Shirak Province
Toyota, Aitsi	Toyota, Aichi
Lalawigan ng Tavush	Tavush Province
Anna ng Britaniya	Anne of Brittany
Lalawigan ng Armavir	Armavir Province
Kordero ng Diyos (awit)	Lamb of God
Buhay ng Buhay ko	Varicose veins
Mga Palestino	Palestinian people
Shavu’ot	Shavuot
Wang Can	Wang Can
Manok-gubat	Grouse
Orion	Orion (mythology)
Woody Harrelson	Woody Harrelson
Alba	Alba (disambiguation)
Colin McRae	Colin McRae
Tigranes ang Dakila	Tigranes the Great
Archilochus	Archilochus
Gyanendra ng Nepal	Gyanendra of Nepal
Marcion ng Sinope	Marcion of Sinope
Daga-dagaan (sa bisig)	Biceps
Oscar Pistorius	Oscar Pistorius
Deuterokanoniko	Deuterocanonical books
Abigail Breslin	Abigail Breslin
Brian Schmidt	Brian Schmidt
Kasaysayan ng agham	History of science
Juan Sebastián Elcano	Juan Sebastián Elcano
Burete	Burette
Diagnostic and Statistical Manual of Mental Disorders	Diagnostic and Statistical Manual of Mental Disorders
Crimson Spell	Crimson Spell
Jack Jones	Jack Jones (singer)
Mitolohiyang Islabiko	Slavic mythology
Letizia Ortiz	Queen Letizia of Spain
Ar	AR
Maebashi, Gunma	Maebashi
Bompietro	Bompietro
Fukui, Fukui	Fukui, Fukui
Distrito ng Agdam	Agdam District
Kapaimbabawan	Hypocrisy
Nick Jonas	Nick Jonas
Goto, Nagasaki	Gotō, Nagasaki
Lawa ng Volta	Lake Volta
Sosyo-liberalismo	Social liberalism
Jiangjin	Jiangjin District
Manunulat ng kasaysayan	Historian
Balyenang minke	Common minke whale
Jedward	Jedward
Kurt Busch	Kurt Busch
Nemrod	Nimrod
Constantius III	Constantius III
Kōfu, Yamanashi	Kōfu
Sili	Capsicum
Hank Azaria	Hank Azaria
Jaime Kardinal Sin	Jaime Sin
Aklat ni Judit	Book of Judith
Aklat ng Karunungan	Book of Wisdom
Shelley Winters	Shelley Winters
Burt Reynolds	Burt Reynolds
Makoto Kobayashi (pisiko)	Makoto Kobayashi (physicist)
Toshihide Maskawa	Toshihide Maskawa
Walter Matthau	Walter Matthau
Pulo ng Ellis	Ellis Island
Volusianus	Volusianus
Dario II	Darius II
Enero 2008	January 2008
Pederal na Distrito ng Volga	Volga Federal District
Midrash	Midrash
Pambansang Diet	National Diet
Melanogrammus aeglefinus	Haddock
David Ogden Stiers	David Ogden Stiers
Gex, Ain	Gex, Ain
Bâgé-le-Châtel	Bâgé-le-Châtel
Bilog ng Artiko	Polar circle
Beelzebub	Beelzebub
China Town	Chinatown
Ngipin ng karunungan	Wisdom tooth
Paulina Rubio	Paulina Rubio
Glycerius	Glycerius
Ruweda	Ferris wheel
Unang Digmaang Hudyo-Romano	First Jewish–Roman War
Wyclef Jean	Wyclef Jean
Nasasakupang komonwelt	Commonwealth realm
Portoscuso	Portoscuso
Billy Bob Thornton	Billy Bob Thornton
Kate Winslet	Kate Winslet
Vanessa L. Williams	Vanessa L. Williams
RA	RA
Apremont, Ain	Apremont, Ain
Nasasabuhay na guhit-larawan	Animated cartoon
Beterinaryo	Veterinary physician
Ōtsu, Shiga	Ōtsu
Ziggurat ng Ur	Ziggurat of Ur
Kilyawan	Old World oriole
Kingston, Ontario	Kingston, Ontario
Cheka	Cheka
Tsu, Mie	Tsu, Mie
Rafael del Riego	Rafael del Riego
Pohjola	Pohjola
Whistler, British Columbia	Whistler, British Columbia
African trypanosomiasis	African trypanosomiasis
Fratte Rosa	Fratte Rosa
Asiryong Simbahan ng Silangan	Assyrian Church of the East
Kamayang-bola sa Palarong Olimpiko sa Tag-init 2008	Handball at the 2008 Summer Olympics
Avitus	Avitus
Max von Sydow	Max von Sydow
Boris Karloff	Boris Karloff
Sakura Haruno	Sakura Haruno
Tong (kasuotan)	Tanga (clothing)
Athens, Georgia	Athens, Georgia
Shimonoseki, Yamaguchi	Shimonoseki
No	No
Heron	Heron (disambiguation)
Amorreo	Amorites
Heitor Villa-Lobos	Heitor Villa-Lobos
Mate	Mate (beverage)
Parasaurolophus	Parasaurolophus
Pneumothorax	Pneumothorax
Harald III ng Norwega	Harald Hardrada
Kim Possible	Kim Possible
Karong pandigma	Chariot
Robert Guiscard	Robert Guiscard
Tim Roth	Tim Roth
Mariner 4	Mariner 4
Halamang pambahay	Houseplant
Unang Dinastiya ng Ehipto	First Dynasty of Egypt
Indri indri	Indri
Pagiging	Being
Frederick Winslow Taylor	Frederick Winslow Taylor
James Earl Jones	James Earl Jones
Orune	Orune
GameBoy Color	Game Boy Color
Kon-Tiki	Kon-Tiki
Punsiyong hiperbokiko	Hyperbolic function
Filioque	Filioque
Giglio Island	Isola del Giglio
Arbignieu	Arbignieu
Andert-et-Condon	Andert-et-Condon
Ambérieux-en-Dombes	Ambérieux-en-Dombes
Himagsikang Rumano ng 1989	Romanian Revolution
Stuart Sutcliffe	Stuart Sutcliffe
Euryarchaeota	Euryarchaeota
Cuernavaca	Cuernavaca
Mito, Ibaraki	Mito, Ibaraki
Thamphthis	Thamphthis
Katam	Plane (tool)
Lungsod ng Toyama	Toyama, Toyama
Murder Princess	Murder Princess
S/2003 J 3	S/2003 J 3
Frances McDormand	Frances McDormand
Lungsod ng Miyazaki	Miyazaki, Miyazaki
Felis bieti	Chinese mountain cat
Sukhoi Su-30	Sukhoi Su-30
Pandaigdigang Programa sa Pagkain	World Food Programme
L'Abergement-Clémenciat	L'Abergement-Clémenciat
Sorcerous Stabber Orphen	Sorcerous Stabber Orphen
18 Tracks	18 Tracks
FLN	National Liberation Front (Algeria)
Antonio Naelson Matias da Silva	Sinha (footballer)
Modesto, California	Modesto, California
John Gielgud	John Gielgud
Hereford	Hereford
Ungkaya Pukan, Basilan	Ungkaya Pukan, Basilan
Felis nigripes	Black-footed cat
Sasakyang rodilyo	Roller coaster
Theodora (asawa ni Justiniano I)	Theodora (wife of Justinian I)
Paglalangoy sa Palarong Olimpiko sa Tag-init 2008	Swimming at the 2008 Summer Olympics
Terry Labonte	Terry Labonte
597 BC	597 BC
Silbato	Whistle
Hilis	Bow (music)
Perpendikular	Perpendicular
Teoriya ng komputasyonal na kompleksidad	Computational complexity theory
Grasya	Grace (Christianity)
Pagboto ng mga kababaihan	Women's suffrage
Ikalawang Konseho ng Constantinople	Second Council of Constantinople
Plutus	Plutus
Origanum	Origanum
Louis V ng Pransiya	Louis V of France
Janet Leigh	Janet Leigh
Sion	Zion
Osamu Shimomura	Osamu Shimomura
Gawaing panlipunan	Social work
Zipaquirá	Zipaquirá
Theo van Gogh (direktor ng pelikula)	Theo van Gogh (film director)
Balarilang pampanandaan	Algebraic structure
Lungsod ng Yamagata	Yamagata, Yamagata
Kipot ng Singgapura	Singapore Strait
Taft, Silangang Samar	Taft, Eastern Samar
Parazoa	Parazoa
Be	BE
Mitolohiyang Ehipsiyo	Egyptian mythology
Sedimentolohiya	Sedimentology
Tartuffe	Tartuffe
Lijiang	Lijiang
Philosophiæ Naturalis Principia Mathematica	Philosophiæ Naturalis Principia Mathematica
Qiqihar	Qiqihar
Certhiidae	Treecreeper
Candon	Candon
Kasanayan	Skill
Pagkalasing	Alcohol intoxication
Bundok ng mga Olibo	Mount of Olives
Henri Lebesgue	Henri Lebesgue
Enûma Eliš	Enûma Eliš
Willie Nelson	Willie Nelson
Bundok Herzl	Mount Herzl
Eliseo	Elisha
Monterotondo Marittimo	Monterotondo Marittimo
Ang Negosyante ng Benesya	The Merchant of Venice
Prinsipado	Principate
Sodomya	Sodomy
Orinda, California	Orinda, California
Champagne-en-Valromey	Champagne-en-Valromey
Ars-sur-Formans	Ars-sur-Formans
Bettant	Bettant
Bâgé-la-Ville	Bâgé-la-Ville
Ikalawang Pagitang Panahon ng Ehipto	Second Intermediate Period of Egypt
Etruria	Etruria
Luya-luyahan	Curcuma zedoaria
Ziusudra	Ziusudra
Imperyo ng Ghana	Ghana Empire
Angela Lansbury	Angela Lansbury
Sakit pangmayaman	Diseases of affluence
Amyotrophic lateral sclerosis	Amyotrophic lateral sclerosis
Seksuwal na pagpili	Sexual selection
Sophia Bush	Sophia Bush
Musaka	Moussaka
Peptidoglycan	Peptidoglycan
Andy Serkis	Andy Serkis
Es	ES
Makapangyarihang serye	Power series
Frontino, Marche	Frontino, Marche
Catarrhini	Catarrhini
Frontone	Frontone
Gabicce Mare	Gabicce Mare
37 Fides	37 Fides
Gradara	Gradara
36 Atalante	36 Atalante
Badminton sa Palarong Olimpiko sa Tag-init 2008	Badminton at the 2008 Summer Olympics
Neurosiyensiya	Neuroscience
Isola del Piano	Isola del Piano
Dinastiyang Siyarida	Ziyarid dynasty
Lunano	Lunano
Macerata Feltria	Macerata Feltria
Mercatello sul Metauro	Mercatello sul Metauro
Banal na tinapay	Sacramental bread
Hipolito ng Roma	Hippolytus of Rome
Libius Severus	Libius Severus
Damong-gamot	Herb
Mercatino Conca	Mercatino Conca
Komunikasyong hindi pasalita	Nonverbal communication
Mombaroccio	Mombaroccio
Sennacherib	Sennacherib
Mondavio	Mondavio
Pixie Lott	Pixie Lott
Bill Nighy	Bill Nighy
Mondolfo	Mondolfo
Monte Cerignone	Monte Cerignone
Saturnalia	Saturnalia
Zlaté Klasy	Zlaté Klasy
Monte Grimano	Monte Grimano
Talaan ng mga malalapit na bituin	List of nearest stars and brown dwarfs
Monte Porzio	Monte Porzio
Joan Sutherland	Joan Sutherland
Stephen Uroš IV Dušan ng Serbia	Stephen Uroš IV Dušan of Serbia
41 Daphne	41 Daphne
Lungsod ng Tokushima	Tokushima, Tokushima
Susuka, Mie	Suzuka, Mie
Mga Digmaang Rebolusyonaryong Pranses	French Revolutionary Wars
Matsue, Shimane	Matsue
Mga Bisperas na Siciliano	Sicilian Vespers
Lagash	Lagash
Pete Best	Pete Best
Katodong sinag	Cathode ray
Rehovot	Rehovot
Lichfield	Lichfield
Montecalvo in Foglia	Montecalvo in Foglia
Monteciccardo	Monteciccardo
Montecopiolo	Montecopiolo
Montefelcino	Montefelcino
Zsa Zsa Gábor	Zsa Zsa Gabor
Montelabbate	Montelabbate
Tuxtla Gutiérrez	Tuxtla Gutiérrez
Montemaggiore al Metauro	Montemaggiore al Metauro
Pamimisikleta sa Palarong Olimpiko sa Tag-init 2008	Cycling at the 2008 Summer Olympics
Orciano di Pesaro	Orciano di Pesaro
Monreale	Monreale
Brénod	Brénod
Peglio, Marche	Peglio, Marche
Pergola, Marche	Pergola, Marche
Petriano	Petriano
Piagge	Piagge
Bi	BI
Piandimeleto	Piandimeleto
Plaskang Erlenmeyer	Erlenmeyer flask
Pietrarubbia	Pietrarubbia
Piobbico	Piobbico
Talaan ng mga rehiyon ng Hapon	List of regions of Japan
Saltara	Saltara
Lod	Lod
San Costanzo	San Costanzo
San Giorgio di Pesaro	San Giorgio di Pesaro
San Lorenzo in Campo	San Lorenzo in Campo
Sant'Angelo in Lizzola	Sant'Angelo in Lizzola
Sant'Ippolito	Sant'Ippolito
Sassocorvaro	Sassocorvaro
Sassofeltrio	Sassofeltrio
Komposisyong pangmusika	Musical composition
Serra Sant'Abbondio	Serra Sant'Abbondio
Chichester	Chichester
Serrungarina	Serrungarina
Taktikang militar	Military tactics
Heometriyang pangsolido	Solid geometry
Tavoleto	Tavoleto
Tavullia	Tavullia
Docetismo	Docetism
Zelenograd	Zelenograd
Diyorama	Diorama
Isaac Barrow	Isaac Barrow
Abraxas (komiks)	Abraxas
500 (bilang)	500 (number)
Ben 10	Ben 10 (TV series)
Girondista	Girondist
Ikalawang Dinastiya ng Ehipto	Second Dynasty of Egypt
Petisismong seksuwal	Sexual fetishism
Dornod Province	Dornod Province
Lalawigan ng Arkhangai	Arkhangai Province
Forum	Forum
Sonang nakaaantig	Erogenous zone
Elisabeth Shue	Elisabeth Shue
Ambliyopya	Amblyopia
Yayoi	Yayoi period
Lungsod ng Yamaguchi	Yamaguchi, Yamaguchi
Ichihara, Chiba	Ichihara, Chiba
Chilpancingo	Chilpancingo
Kredong Niceno	Nicene Creed
Owl City	Owl City
Tatlong Hiyas	Three Jewels
Hugis	Shape
Eric Roberts	Eric Roberts
Tepic	Tepic
Tala ng mga bansa ayon sa GDP (PPP) bawat kapita	List of countries by GDP (PPP) per capita
Dinastiyang Pahlavi	Pahlavi dynasty
Acrisius	Acrisius
Mudra	Mudra
Ikatlong Konseho ng Constantinople	Third Council of Constantinople
Regresyong analisis	Regression analysis
Pannotia	Pannotia
94 Aurora	94 Aurora
97 Klotho	97 Klotho
Belmont-Luthézieu	Belmont-Luthézieu
Bella Thorne	Bella Thorne
Repormang panglupain	Land reform
Karagatang Tethys	Tethys Ocean
Najd	Najd
Katapangan	Courage
Imperyong Kastila	Puppet state
Diperensiya ng alanganing pagkatao	Borderline personality disorder
Mga Kasulatan	Ketuvim
Nisan	Nisan
Uxbridge (Massachusetts)	Uxbridge, Massachusetts
Tuwa	Pleasure
Av	Av
Tadao Ando	Tadao Ando
Claude Bernard	Claude Bernard
Emperador ng Hapon	Emperor of Japan
Paskwa (bulaklak)	Poinsettia
Tiyubibo	Carousel
Sargon II	Sargon II
Etnomusikolohiya	Ethnomusicology
Pagtutuli ng babae	Female genital mutilation
Panthalassa	Panthalassa
Apollo Lunar Module	Apollo Lunar Module
Tim Allen	Tim Allen
Mary-Kate at Ashley Olsen	Mary-Kate and Ashley Olsen
Tambol na snare	Snare drum
Argis	Argis
Bohas-Meyriat-Rignat	Bohas-Meyriat-Rignat
Châtillon-sur-Chalaronne	Châtillon-sur-Chalaronne
Balbula	Valve
Vallejo, California	Vallejo, California
Thousand Oaks, California	Thousand Oaks, California
Sunnyvale, California	Sunnyvale, California
Reseptor (biokemistri)	Receptor (biochemistry)
Edom	Edom
Sanhedrin	Sanhedrin
Talaang panlahatang panahon ng medalya ng Palarong Olimpiko	All-time Olympic Games medal table
Labanan sa Dunkirk	Battle of Dunkirk
Talinghaga	Parable
Andie MacDowell	Andie MacDowell
Asnières-sur-Saône	Asnières-sur-Saône
L'Abergement-de-Varey	L'Abergement-de-Varey
Arbigny	Arbigny
Entoprocta	Entoprocta
Kristin Scott Thomas	Kristin Scott Thomas
Sistemang ekwatoryal ng mga koordinato	Equatorial coordinate system
Eksperimentong Miller-Urey	Miller–Urey experiment
Paul Giamatti	Paul Giamatti
79 Eurynome	79 Eurynome
Baao, Camarines Sur	Baao, Camarines Sur
Balatan, Camarines Sur	Balatan, Camarines Sur
Bato, Camarines Sur	Bato, Camarines Sur
Rupert Everett	Rupert Everett
Bombon, Camarines Sur	Bombon, Camarines Sur
Buhi, Camarines Sur	Buhi, Camarines Sur
Ligaw-biro	Flirting
Hukbong Pandagat ng Chile	Chilean Navy
Bula, Camarines Sur	Bula, Camarines Sur
Cabusao, Camarines Sur	Cabusao, Camarines Sur
Bat Yam	Bat Yam
Kulugo sa ari	Genital wart
Calabanga, Camarines Sur	Calabanga, Camarines Sur
Camaligan, Camarines Sur	Camaligan, Camarines Sur
Canaman, Camarines Sur	Canaman, Camarines Sur
Nikephoros I	Nikephoros I
Caramoan, Camarines Sur	Caramoan, Camarines Sur
Merlion	Merlion
Del Gallego, Camarines Sur	Del Gallego, Camarines Sur
Gainza, Camarines Sur	Gainza, Camarines Sur
Garchitorena, Camarines Sur	Garchitorena, Camarines Sur
Goa, Camarines Sur	Goa, Camarines Sur
Lagonoy, Camarines Sur	Lagonoy, Camarines Sur
Lamarckismo	Lamarckism
Libmanan, Camarines Sur	Libmanan, Camarines Sur
Fuchū, Tokyo	Fuchū, Tokyo
René Préval	René Préval
Lupi, Camarines Sur	Lupi, Camarines Sur
Magarao, Camarines Sur	Magarao, Camarines Sur
Milaor, Camarines Sur	Milaor, Camarines Sur
Gilbert N. Lewis	Gilbert N. Lewis
Hachiōji, Tokyo	Hachiōji, Tokyo
Minalabac, Camarines Sur	Minalabac, Camarines Sur
Nabua, Camarines Sur	Nabua, Camarines Sur
Ocampo, Camarines Sur	Ocampo, Camarines Sur
Halldór Ásgrímsson	Halldór Ásgrímsson
Pamplona, Camarines Sur	Pamplona, Camarines Sur
Pasacao, Camarines Sur	Pasacao, Camarines Sur
Pili, Camarines Sur	Pili, Camarines Sur
Presentacion, Camarines Sur	Presentacion, Camarines Sur
Ragay, Camarines Sur	Ragay, Camarines Sur
Sagñay, Camarines Sur	Sagñay, Camarines Sur
San Fernando, Camarines Sur	San Fernando, Camarines Sur
San Jose, Camarines Sur	San Jose, Camarines Sur
Sipocot, Camarines Sur	Sipocot, Camarines Sur
Siruma, Camarines Sur	Siruma, Camarines Sur
Tigaon, Camarines Sur	Tigaon, Camarines Sur
Santa Marta	Santa Marta
Tinambac, Camarines Sur	Tinambac, Camarines Sur
Toluca	Toluca
Arbent	Arbent
Billiat	Billiat
Attignat	Attignat
Chalamont	Chalamont
Kim Cattrall	Kim Cattrall
Ely	Ely, Cambridgeshire
James Mason	James Mason
Pilosopiya ng relihiyon	Philosophy of religion
Instagram	Instagram
Oxnard, California	Oxnard, California
Lymphoma ni Hodgkin	Hodgkin's lymphoma
Djedefre	Djedefre
Zoom (komiks)	Zoom (comics)
60 Echo	60 Echo
1000 Piazzia	1000 Piazzia
91 Aegina	91 Aegina
Telly Savalas	Telly Savalas
140 Siwa	140 Siwa
143 Adria	143 Adria
Kyle Busch	Kyle Busch
Eyes Wide Shut	Eyes Wide Shut
93 Minerva	93 Minerva
99 Dike	99 Dike
Aladdin	Aladdin
Lucille Ball	Lucille Ball
Tokoname, Aitsi	Tokoname, Aichi
Markwis	Marquess
Ikalawang Aklat ng mga Macabeo	2 Maccabees
Lungsod ng Saga	Saga, Saga
Lalawigan ng Bulgan	Bulgan Province
Sagamihara, Kanagawa	Sagamihara
Ichikawa, Chiba	Ichikawa, Chiba
Dighay	Burping
Himeji, Hyōgo	Himeji, Hyōgo
Kaugaliang sali't saling sabi	Oral tradition
Tamban	Clupea
Agent Cody Banks 2: Destination London	Agent Cody Banks 2: Destination London
Calcarea	Calcareous sponge
Majulah Singapura	Majulah Singapura
Araw ng mga Nagkakaisang Bansa	United Nations Day
Lantad	Exposure
Eridu	Eridu
Tiglath-Pileser III	Tiglath-Pileser III
Ceyzériat	Ceyzériat
Champdor	Champdor
Charix	Charix
Lindol sa Kashmir, 2005	2005 Kashmir earthquake
Agape	Agape
Babylon 5	Babylon 5
Peter Fonda	Peter Fonda
Hanami	Hanami
Panunumpang Olimpiko	Olympic Oath
Ambato, Ekwador	Ambato, Ecuador
Tagapaglinang ng bidyong laro	Video game developer
Kevin Jonas	Kevin Jonas
Hipolita	Hippolyta
Nezahualcóyotl	Ciudad Nezahualcóyotl
Diyosesis ng Tandag	Roman Catholic Diocese of Tandag
Linguaglossa	Linguaglossa
Mark Hamill	Mark Hamill
Christina Hendricks	Christina Hendricks
Yantai	Yantai
Daily Mail	Daily Mail
Simbahang Ortodoksong Syriac	Syriac Orthodox Church
Hinuhang atomiko	Atomic theory
Luigi	Luigi
Babaeng nakikipagtalik sa kapwa babae	Women who have sex with women
Machida, Tokyo	Machida, Tokyo
Musashino, Tokyo	Musashino, Tokyo
Chōfu, Tokyo	Chōfu, Tokyo
Panahong Asuka	Asuka period
Ebanghelyo sa Pagkasanggol ni Hesus ni Tomas	Infancy Gospel of Thomas
Auguste Piccard	Auguste Piccard
Paghimod sa puwitan	Anilingus
Didache	Didache
Acheulean	Acheulean
2254 Requiem	2254 Requiem
Pagkakaiba-ibang pangsihay	Cellular differentiation
Danaus	Danaus
Villahermosa	Villahermosa
Baneins	Baneins
Chanay	Chanay
Bellignat	Bellignat
Bénonces	Bénonces
Coligny, Ain	Coligny, Ain
Biziat	Biziat
Champfromier	Champfromier
Béon, Ain	Béon, Ain
Pangilin	Abstinence
Ikaapat na Dinastiya ng Ehipto	Fourth Dynasty of Egypt
Gameto	Gamete
Salungat na interes	Conflict of interest
Béligneux	Béligneux
Brens, Ain	Brens, Ain
Ellen Burstyn	Ellen Burstyn
Singit (anatomiya)	Groin
Tamako Market	Tamako Market
136 Austria	136 Austria
92 Undina	92 Undina
Yinchuan	Yinchuan
Ray Liotta	Ray Liotta
Bob Hoskins	Bob Hoskins
Elementaryong alhebra	Elementary algebra
Tom Wilkinson	Tom Wilkinson
Lycurgus ng Sparta	Lycurgus of Sparta
Pita	Pita
Ikasiyam ng Av	Tisha B'Av
Matsa	Matzo
Pulo ng Leyte	Leyte
Magnus Maximus	Magnus Maximus
Edward James Olmos	Edward James Olmos
Aprodisyak	Aphrodisiac
Kabisayaan	Visayas
Kumpay	Fodder
Antiochus I Soter	Antiochus I Soter
Diaghilev	Sergei Diaghilev
Albert Rothstein	Albert Rothstein
Ken Watanabe	Ken Watanabe
Kim Dong Hyun	Kim Dong-hyun (footballer born 1984)
Arandas, Ain	Arandas, Ain
Brégnier-Cordon	Brégnier-Cordon
MIRC	MIRC
Briord	Briord
Belleydoux	Belleydoux
Aklat ni Baruc	Book of Baruch
Culiacán	Culiacán
Anthemius	Anthemius
Papa Esteban II	Pope Stephen II
Mindoro	Mindoro
Dundgovi Province	Dundgovi Province
Oshawa, Ontario	Oshawa
Mga boson na W at Z	W and Z bosons
Shalmaneser III	Shalmaneser III
Auld Lang Syne	Auld Lang Syne
Panahon ng Yule	Yule
Jon Stewart	Jon Stewart
Kleptomanya	Kleptomania
Mira Sorvino	Mira Sorvino
Bacillus	Bacillus
Paelya	Paella
NHK	NHK
AKEL	Progressive Party of Working People
Roger Ebert	Roger Ebert
Codex Gigas	Codex Gigas
Ampatuan, Maguindanao	Ampatuan, Maguindanao
Liam Aiken	Liam Aiken
Barira, Maguindanao	Barira, Maguindanao
Buldon, Maguindanao	Buldon, Maguindanao
Buluan, Maguindanao	Buluan, Maguindanao
Wells	Wells, Somerset
Datu Abdullah Sangki, Maguindanao	Datu Abdullah Sangki, Maguindanao
Glandulang malangis	Sebaceous gland
Datu Anggal Midtimbang, Maguindanao	Datu Anggal Midtimbang, Maguindanao
Datu Blah T. Sinsuat, Maguindanao	Datu Blah T. Sinsuat, Maguindanao
Boko Haram	Boko Haram
Naoki Tanaka	Naoki Tanaka
Pagpapalabas na pambabae	Female ejaculation
Datu Hoffer Ampatuan, Maguindanao	Datu Hoffer Ampatuan, Maguindanao
Danaus plexippus	Monarch butterfly
Datu Montawal, Maguindanao	Datu Montawal, Maguindanao
Golpo ng Tonkin	Gulf of Tonkin
Datu Odin Sinsuat, Maguindanao	Datu Odin Sinsuat, Maguindanao
Mga palakasang Olimpiko	Olympic sports
Iyyar	Iyar
Datu Paglas, Maguindanao	Datu Paglas, Maguindanao
Datu Piang, Maguindanao	Datu Piang, Maguindanao
Akishima, Tokyo	Akishima, Tokyo
Datu Salibo, Maguindanao	Datu Salibo, Maguindanao
Patrick Dempsey	Patrick Dempsey
Datu Saudi-Ampatuan, Maguindanao	Datu Saudi-Ampatuan, Maguindanao
Datu Unsay, Maguindanao	Datu Unsay, Maguindanao
General Salipada K. Pendatun, Maguindanao	General Salipada K. Pendatun, Maguindanao
Conzieu	Conzieu
Guindulungan, Maguindanao	Guindulungan, Maguindanao
La Boisse	La Boisse
Brénaz	Brénaz
Kabuntalan, Maguindanao	Kabuntalan, Maguindanao
Ceyzérieu	Ceyzérieu
Lindol sa Valdivia noong 1960	1960 Valdivia earthquake
